1,船越 健吾,船越 健吾.1,2,井川 大作,井川 大作.1,3,鈴木 峻佑,鈴木 峻佑.1,4,嘉手苅　徹哉,嘉手苅　徹哉.1,5,新田 智彰,新田 智彰.1,6,宮崎 奨,宮崎 奨.1
2.0,3.0,14.3,1.0,3.0,58.8,1.0,2.0,73.9,1.0,2.0,526.3,1.0,2.0,87.9,1.0,2.0,80.1
2.0,4.0,78.1,1.0,4.0,234.1,1.0,4.0,214.6,1.0,3.0,533.2,1.0,3.0,94.0,1.0,3.0,104.2
2.0,5.0,16.0,1.0,5.0,60.7,1.0,5.0,55.5,1.0,5.0,394.3,1.0,4.0,348.8,1.0,4.0,306.4
2.0,6.0,12.7,1.0,6.0,47.1,1.0,6.0,53.4,1.0,6.0,361.3,1.0,6.0,46.2,1.0,5.0,70.5
3.0,2.0,18.2,3.0,1.0,101.5,2.0,1.0,120.5,2.0,1.0,747.2,2.0,1.0,151.6,2.0,1.0,127.1
3.0,4.0,73.6,3.0,4.0,321.0,2.0,4.0,314.4,2.0,3.0,858.5,2.0,3.0,185.3,2.0,3.0,195.5
3.0,5.0,18.9,3.0,5.0,94.9,2.0,5.0,87.3,2.0,5.0,676.2,2.0,4.0,699.7,2.0,4.0,476.5
3.0,6.0,17.0,3.0,6.0,86.8,2.0,6.0,79.1,2.0,6.0,432.3,2.0,6.0,86.1,2.0,5.0,122.2
4.0,2.0,155.5,4.0,1.0,617.6,4.0,1.0,445.0,3.0,1.0,761.3,3.0,1.0,136.1,3.0,1.0,163.5
4.0,3.0,165.8,4.0,3.0,676.2,4.0,2.0,540.4,3.0,2.0,751.8,3.0,2.0,171.4,3.0,2.0,210.8
4.0,5.0,144.2,4.0,5.0,542.8,4.0,5.0,328.9,3.0,5.0,637.1,3.0,4.0,530.9,3.0,4.0,590.5
4.0,6.0,157.8,4.0,6.0,430.7,4.0,6.0,310.3,3.0,6.0,637.1,3.0,6.0,96.9,3.0,5.0,155.5
5.0,2.0,27.5,5.0,1.0,102.5,5.0,1.0,74.4,5.0,1.0,462.0,4.0,1.0,605.2,4.0,1.0,691.7
5.0,3.0,31.7,5.0,3.0,128.5,5.0,2.0,89.6,5.0,2.0,488.1,4.0,2.0,807.0,4.0,2.0,602.2
5.0,4.0,152.0,5.0,4.0,463.8,5.0,4.0,250.6,5.0,3.0,687.8,4.0,3.0,742.6,4.0,3.0,751.8
5.0,6.0,19.6,5.0,6.0,65.5,5.0,6.0,53.8,5.0,6.0,276.3,4.0,6.0,304.9,4.0,5.0,441.7
6.0,2.0,27.7,6.0,1.0,89.5,6.0,1.0,77.2,6.0,1.0,469.1,6.0,1.0,55.7,5.0,1.0,87.0
6.0,3.0,35.8,6.0,3.0,113.8,6.0,2.0,93.0,6.0,2.0,471.0,6.0,2.0,67.6,5.0,2.0,88.0
6.0,4.0,164.4,6.0,4.0,417.4,6.0,4.0,316.8,6.0,3.0,665.1,6.0,3.0,86.1,5.0,3.0,119.0
6.0,5.0,27.9,6.0,5.0,87.0,6.0,5.0,66.4,6.0,5.0,348.8,6.0,4.0,280.8,5.0,4.0,335.3
