1,鳥居塚　孝博,鳥居塚　孝博.1,2,一宮 稔弘,一宮 稔弘.1,3,野相 弘司,野相 弘司.1,4,山下 昂大,山下 昂大.1,5,守屋 大地,守屋 大地.1,6,田中 宏典,田中 宏典.1
2.0,3.0,10.7,1.0,3.0,36.2,1.0,2.0,126.9,1.0,2.0,43.3,1.0,2.0,222.3,1.0,2.0,890.5
2.0,4.0,6.4,1.0,4.0,19.9,1.0,4.0,95.0,1.0,3.0,82.7,1.0,3.0,401.2,1.0,3.0,1343.0
2.0,5.0,19.0,1.0,5.0,51.0,1.0,5.0,188.9,1.0,5.0,57.5,1.0,4.0,204.0,1.0,4.0,862.2
2.0,6.0,44.5,1.0,6.0,95.1,1.0,6.0,322.5,1.0,6.0,98.4,1.0,6.0,374.2,1.0,5.0,1103.0
3.0,2.0,15.6,3.0,1.0,109.9,2.0,1.0,192.6,2.0,1.0,68.0,2.0,1.0,345.2,2.0,1.0,1007.0
3.0,4.0,12.5,3.0,4.0,105.5,2.0,4.0,168.2,2.0,3.0,190.1,2.0,3.0,928.5,2.0,3.0,1943.0
3.0,5.0,30.6,3.0,5.0,181.6,2.0,5.0,267.6,2.0,5.0,112.3,2.0,4.0,392.5,2.0,4.0,1311.0
3.0,6.0,74.3,3.0,6.0,368.6,2.0,6.0,476.8,2.0,6.0,189.3,2.0,6.0,751.5,2.0,5.0,2100.0
4.0,2.0,9.4,4.0,1.0,47.8,4.0,1.0,181.3,3.0,1.0,188.0,3.0,1.0,860.9,3.0,1.0,1439.0
4.0,3.0,14.3,4.0,3.0,98.1,4.0,2.0,269.4,3.0,2.0,291.4,3.0,2.0,1391.0,3.0,2.0,2305.0
4.0,5.0,18.3,4.0,5.0,84.2,4.0,5.0,406.3,3.0,5.0,415.0,3.0,4.0,1201.0,3.0,4.0,2335.0
4.0,6.0,42.1,4.0,6.0,166.3,4.0,6.0,608.6,3.0,6.0,590.1,3.0,6.0,1466.0,3.0,5.0,2615.0
5.0,2.0,46.4,5.0,1.0,199.4,5.0,1.0,546.2,5.0,1.0,86.4,4.0,1.0,237.4,4.0,1.0,925.3
5.0,3.0,65.2,5.0,3.0,384.7,5.0,2.0,801.3,5.0,2.0,120.5,4.0,2.0,329.9,4.0,2.0,1507.0
5.0,4.0,45.9,5.0,4.0,213.0,5.0,4.0,701.1,5.0,3.0,293.6,4.0,3.0,809.6,4.0,3.0,2375.0
5.0,6.0,90.2,5.0,6.0,458.3,5.0,6.0,946.2,5.0,6.0,149.8,4.0,6.0,478.9,4.0,5.0,1831.0
6.0,2.0,154.6,6.0,1.0,481.5,6.0,1.0,964.7,6.0,1.0,253.1,6.0,1.0,762.0,5.0,1.0,1929.0
6.0,3.0,210.4,6.0,3.0,874.7,6.0,2.0,1395.0,6.0,2.0,343.2,6.0,2.0,1195.0,5.0,2.0,2615.0
6.0,4.0,153.7,6.0,4.0,491.5,6.0,4.0,1317.0,6.0,3.0,771.7,6.0,3.0,1831.0,5.0,3.0,2566.0
6.0,5.0,192.8,6.0,5.0,804.8,6.0,5.0,1705.0,6.0,5.0,334.6,6.0,4.0,966.4,5.0,4.0,2108.0
