1,江夏 満,江夏 満.1,2,久田 敏之,久田 敏之.1,3,尾上 雅也,尾上 雅也.1,4,北川 潤二,北川 潤二.1,5,為本 智也,為本 智也.1,6,正木 聖賢,正木 聖賢.1
2.0,3.0,8.6,1.0,3.0,38.1,1.0,2.0,37.8,1.0,2.0,152.2,1.0,2.0,160.2,1.0,2.0,301.1
2.0,4.0,8.2,1.0,4.0,40.8,1.0,4.0,54.5,1.0,3.0,188.4,1.0,3.0,140.6,1.0,3.0,344.1
2.0,5.0,14.4,1.0,5.0,66.3,1.0,5.0,44.5,1.0,5.0,242.2,1.0,4.0,217.8,1.0,4.0,410.5
2.0,6.0,21.2,1.0,6.0,68.9,1.0,6.0,101.0,1.0,6.0,266.4,1.0,6.0,334.3,1.0,5.0,649.7
3.0,2.0,13.4,3.0,1.0,85.5,2.0,1.0,61.6,2.0,1.0,216.9,2.0,1.0,278.9,2.0,1.0,377.2
3.0,4.0,19.8,3.0,4.0,174.1,2.0,4.0,103.8,2.0,3.0,385.4,2.0,3.0,328.9,2.0,3.0,538.5
3.0,5.0,26.7,3.0,5.0,179.4,2.0,5.0,88.9,2.0,5.0,426.9,2.0,4.0,505.8,2.0,4.0,390.1
3.0,6.0,43.1,3.0,6.0,224.4,2.0,6.0,188.8,2.0,6.0,347.4,2.0,6.0,592.5,2.0,5.0,861.6
4.0,2.0,17.1,4.0,1.0,116.0,4.0,1.0,136.3,3.0,1.0,318.5,3.0,1.0,164.1,3.0,1.0,480.2
4.0,3.0,25.8,4.0,3.0,196.6,4.0,2.0,177.3,3.0,2.0,478.1,3.0,2.0,221.0,3.0,2.0,591.0
4.0,5.0,30.3,4.0,5.0,219.9,4.0,5.0,180.2,3.0,5.0,543.3,3.0,4.0,303.5,3.0,4.0,729.9
4.0,6.0,38.1,4.0,6.0,189.5,4.0,6.0,278.7,3.0,6.0,615.8,3.0,6.0,347.6,3.0,5.0,807.8
5.0,2.0,33.5,5.0,1.0,221.4,5.0,1.0,66.4,5.0,1.0,389.6,4.0,1.0,470.1,4.0,1.0,619.8
5.0,3.0,40.8,5.0,3.0,277.5,5.0,2.0,88.0,5.0,2.0,536.0,4.0,2.0,706.2,4.0,2.0,559.6
5.0,4.0,43.1,5.0,4.0,328.0,5.0,4.0,130.5,5.0,3.0,561.0,4.0,3.0,626.1,4.0,3.0,840.1
5.0,6.0,78.2,5.0,6.0,403.4,5.0,6.0,195.5,5.0,6.0,678.5,4.0,6.0,893.6,4.0,5.0,992.3
6.0,2.0,66.8,6.0,1.0,200.2,6.0,1.0,247.6,6.0,1.0,414.3,6.0,1.0,667.1,5.0,1.0,1030.0
6.0,3.0,85.2,6.0,3.0,268.0,6.0,2.0,333.8,6.0,2.0,452.1,6.0,2.0,816.6,5.0,2.0,1113.0
6.0,4.0,83.3,6.0,4.0,246.9,6.0,4.0,439.5,6.0,3.0,650.3,6.0,3.0,650.3,5.0,3.0,999.6
6.0,5.0,121.5,6.0,5.0,448.5,6.0,5.0,385.0,6.0,5.0,751.9,6.0,4.0,1057.0,5.0,4.0,1254.0
