1,小野 信樹,小野 信樹.1,2,奥田 誠,奥田 誠.1,3,大熊 辰弥,大熊 辰弥.1,4,松尾 宣邦,松尾 宣邦.1,5,石田 豪,石田 豪.1,6,渡邊 哲也,渡邊 哲也.1
2.0,3.0,15.4,1.0,3.0,44.3,1.0,2.0,175.0,1.0,2.0,22.6,1.0,2.0,124.1,1.0,2.0,1007.0
2.0,4.0,8.2,1.0,4.0,17.2,1.0,4.0,163.3,1.0,3.0,82.7,1.0,3.0,247.2,1.0,3.0,1542.0
2.0,5.0,17.4,1.0,5.0,30.9,1.0,5.0,176.9,1.0,5.0,26.1,1.0,4.0,109.6,1.0,4.0,914.3
2.0,6.0,73.3,1.0,6.0,110.2,1.0,6.0,495.4,1.0,6.0,70.7,1.0,6.0,259.8,1.0,5.0,1481.0
3.0,2.0,34.5,3.0,1.0,136.2,2.0,1.0,279.4,2.0,1.0,33.9,2.0,1.0,143.9,2.0,1.0,1214.0
3.0,4.0,36.4,3.0,4.0,141.7,2.0,4.0,283.2,2.0,3.0,80.2,2.0,3.0,274.3,2.0,3.0,2146.0
3.0,5.0,48.5,3.0,5.0,197.2,2.0,5.0,262.6,2.0,5.0,39.6,2.0,4.0,134.0,2.0,4.0,1000.0
3.0,6.0,201.5,3.0,6.0,530.9,2.0,6.0,510.7,2.0,6.0,83.2,2.0,6.0,345.2,2.0,5.0,800.6
4.0,2.0,11.2,4.0,1.0,35.6,4.0,1.0,247.7,3.0,1.0,240.8,3.0,1.0,396.0,3.0,1.0,2389.0
4.0,3.0,32.5,4.0,3.0,98.2,4.0,2.0,250.6,3.0,2.0,198.8,3.0,2.0,457.1,3.0,2.0,1923.0
4.0,5.0,18.4,4.0,5.0,46.4,4.0,5.0,238.5,3.0,5.0,218.7,3.0,4.0,468.7,3.0,4.0,2029.0
4.0,6.0,68.7,4.0,6.0,131.9,4.0,6.0,630.3,3.0,6.0,495.4,3.0,6.0,796.3,3.0,5.0,2001.0
5.0,2.0,46.3,5.0,1.0,94.7,5.0,1.0,307.3,5.0,1.0,29.2,4.0,1.0,70.1,4.0,1.0,886.9
5.0,3.0,80.5,5.0,3.0,173.4,5.0,2.0,345.2,5.0,2.0,36.9,4.0,2.0,99.4,4.0,2.0,1050.0
5.0,4.0,51.4,5.0,4.0,83.3,5.0,4.0,326.9,5.0,3.0,121.9,4.0,3.0,237.7,4.0,3.0,1806.0
5.0,6.0,161.0,5.0,6.0,253.2,5.0,6.0,484.0,5.0,6.0,49.5,4.0,6.0,104.3,4.0,5.0,1089.0
6.0,2.0,255.8,6.0,1.0,558.9,6.0,1.0,1358.0,6.0,1.0,196.9,6.0,1.0,612.0,5.0,1.0,1742.0
6.0,3.0,424.4,6.0,3.0,961.8,6.0,2.0,1481.0,6.0,2.0,211.3,6.0,2.0,667.2,5.0,2.0,1683.0
6.0,4.0,275.3,6.0,4.0,425.6,6.0,4.0,1397.0,6.0,3.0,521.5,6.0,3.0,1058.0,5.0,3.0,1923.0
6.0,5.0,342.0,6.0,5.0,485.6,6.0,5.0,925.7,6.0,5.0,178.2,6.0,4.0,507.2,5.0,4.0,1065.0
