1,寺島 吉彦,寺島 吉彦.1,2,大熊 辰弥,大熊 辰弥.1,3,芝田 浩治,芝田 浩治.1,4,萩原 秀人,萩原 秀人.1,5,笹木 香吾,笹木 香吾.1,6,酒見 峻介,酒見 峻介.1
2.0,3.0,61.8,1.0,3.0,392.0,1.0,2.0,106.1,1.0,2.0,88.5,1.0,2.0,1106.0,1.0,2.0,143.0
2.0,4.0,69.8,1.0,4.0,365.3,1.0,4.0,18.7,1.0,3.0,19.4,1.0,3.0,982.2,1.0,3.0,54.7
2.0,5.0,316.4,1.0,5.0,1288.0,1.0,5.0,152.0,1.0,5.0,94.6,1.0,4.0,1033.0,1.0,4.0,40.7
2.0,6.0,132.3,1.0,6.0,672.0,1.0,6.0,43.7,1.0,6.0,20.5,1.0,6.0,1274.0,1.0,5.0,204.8
3.0,2.0,43.9,3.0,1.0,659.6,2.0,1.0,328.9,2.0,1.0,312.8,2.0,1.0,1302.0,2.0,1.0,302.1
3.0,4.0,7.3,3.0,4.0,686.1,2.0,4.0,263.1,2.0,3.0,384.5,2.0,3.0,2261.0,2.0,3.0,436.3
3.0,5.0,83.9,3.0,5.0,2019.0,2.0,5.0,1033.0,2.0,5.0,864.2,2.0,4.0,2643.0,2.0,4.0,378.0
3.0,6.0,16.8,3.0,6.0,1171.0,2.0,6.0,449.4,2.0,6.0,372.5,2.0,6.0,3021.0,2.0,5.0,1063.0
4.0,2.0,39.9,4.0,1.0,591.3,4.0,1.0,24.8,3.0,1.0,32.6,3.0,1.0,1163.0,3.0,1.0,83.5
4.0,3.0,7.0,4.0,3.0,773.1,4.0,2.0,122.7,3.0,2.0,157.2,3.0,2.0,1583.0,3.0,2.0,282.1
4.0,5.0,59.5,4.0,5.0,2192.0,4.0,5.0,122.5,3.0,5.0,133.5,3.0,4.0,1235.0,3.0,4.0,77.0
4.0,6.0,10.3,4.0,6.0,642.0,4.0,6.0,34.2,3.0,6.0,33.2,3.0,6.0,1720.0,3.0,5.0,365.7
5.0,2.0,573.3,5.0,1.0,2808.0,5.0,1.0,558.2,5.0,1.0,204.3,4.0,1.0,798.9,4.0,1.0,49.9
5.0,3.0,373.3,5.0,3.0,2643.0,5.0,2.0,1206.0,5.0,2.0,616.6,4.0,2.0,2192.0,4.0,2.0,217.7
5.0,4.0,283.0,5.0,4.0,3559.0,5.0,4.0,416.5,5.0,3.0,293.4,4.0,3.0,1210.0,4.0,3.0,66.3
5.0,6.0,372.1,5.0,6.0,3865.0,5.0,6.0,596.2,5.0,6.0,152.5,4.0,6.0,783.2,4.0,5.0,174.0
6.0,2.0,133.4,6.0,1.0,1307.0,6.0,1.0,94.3,6.0,1.0,30.9,6.0,1.0,1336.0,5.0,1.0,531.8
6.0,3.0,39.9,6.0,3.0,1569.0,6.0,2.0,321.8,6.0,2.0,167.4,6.0,2.0,2514.0,5.0,2.0,1182.0
6.0,4.0,31.0,6.0,4.0,1248.0,6.0,4.0,75.9,6.0,3.0,42.5,6.0,3.0,1605.0,5.0,3.0,860.0
6.0,5.0,202.7,6.0,5.0,3745.0,6.0,5.0,392.9,6.0,5.0,93.0,6.0,4.0,1045.0,5.0,4.0,567.9
