1,芝田 浩治,芝田 浩治.1,2,大崎 翔,大崎 翔.1,3,内山 文典,内山 文典.1,4,竹田 辰也,竹田 辰也.1,5,西舘 健,西舘 健.1,6,川原 正明,川原 正明.1
2.0,3.0,17.3,1.0,3.0,129.3,1.0,2.0,149.4,1.0,2.0,58.3,1.0,2.0,565.5,1.0,2.0,210.5
2.0,4.0,10.7,1.0,4.0,99.4,1.0,4.0,79.3,1.0,3.0,54.8,1.0,3.0,616.1,1.0,3.0,252.3
2.0,5.0,37.9,1.0,5.0,247.9,1.0,5.0,189.8,1.0,5.0,66.8,1.0,4.0,399.8,1.0,4.0,136.7
2.0,6.0,17.2,1.0,6.0,147.9,1.0,6.0,120.6,1.0,6.0,34.3,1.0,6.0,371.3,1.0,5.0,356.0
3.0,2.0,19.0,3.0,1.0,271.5,2.0,1.0,316.1,2.0,1.0,166.7,2.0,1.0,1261.0,2.0,1.0,404.2
3.0,4.0,11.1,3.0,4.0,465.7,2.0,4.0,458.0,2.0,3.0,393.3,2.0,3.0,1989.0,2.0,3.0,787.3
3.0,5.0,37.5,3.0,5.0,770.2,2.0,5.0,827.6,2.0,5.0,401.3,2.0,4.0,1596.0,2.0,4.0,537.7
3.0,6.0,19.2,3.0,6.0,546.0,2.0,6.0,540.9,2.0,6.0,218.1,2.0,6.0,1207.0,2.0,5.0,1062.0
4.0,2.0,10.4,4.0,1.0,231.9,4.0,1.0,125.5,3.0,1.0,118.2,3.0,1.0,1111.0,3.0,1.0,493.4
4.0,3.0,10.9,4.0,3.0,499.2,4.0,2.0,373.2,3.0,2.0,375.2,3.0,2.0,2015.0,3.0,2.0,960.5
4.0,5.0,23.9,4.0,5.0,742.3,4.0,5.0,368.3,3.0,5.0,403.8,3.0,4.0,1630.0,3.0,4.0,589.3
4.0,6.0,10.2,4.0,6.0,368.1,4.0,6.0,215.5,3.0,6.0,199.9,3.0,6.0,1432.0,3.0,5.0,1329.0
5.0,2.0,76.0,5.0,1.0,875.6,5.0,1.0,546.7,5.0,1.0,133.9,4.0,1.0,557.9,4.0,1.0,177.4
5.0,3.0,88.9,5.0,3.0,1100.0,5.0,2.0,1003.0,5.0,2.0,283.7,4.0,2.0,1140.0,4.0,2.0,450.2
5.0,4.0,63.8,5.0,4.0,1127.0,5.0,4.0,760.6,5.0,3.0,360.1,4.0,3.0,1495.0,4.0,3.0,489.2
5.0,6.0,55.5,5.0,6.0,942.8,5.0,6.0,630.9,5.0,6.0,121.7,4.0,6.0,589.3,4.0,5.0,599.3
6.0,2.0,29.7,6.0,1.0,385.7,6.0,1.0,321.8,6.0,1.0,59.0,6.0,1.0,674.8,5.0,1.0,642.4
6.0,3.0,40.8,6.0,3.0,789.3,6.0,2.0,652.4,6.0,2.0,147.5,6.0,2.0,1150.0,5.0,2.0,1193.0
6.0,4.0,23.3,6.0,4.0,557.6,6.0,4.0,400.6,6.0,3.0,179.0,6.0,3.0,1284.0,5.0,3.0,1385.0
6.0,5.0,55.4,6.0,5.0,1094.0,6.0,5.0,755.7,6.0,5.0,128.1,6.0,4.0,767.0,5.0,4.0,834.4
