1,松本 晶恵,松本 晶恵.1,2,新田 芳美,新田 芳美.1,3,山下 友貴,山下 友貴.1,4,伊藤 玲奈,伊藤 玲奈.1,5,福島 陽子,福島 陽子.1,6,大瀧　明日香,大瀧　明日香.1
2.0,3.0,9.8,1.0,3.0,76.9,1.0,2.0,101.8,1.0,2.0,105.6,1.0,2.0,221.2,1.0,2.0,76.9
2.0,4.0,16.8,1.0,4.0,88.1,1.0,4.0,127.3,1.0,3.0,163.7,1.0,3.0,292.9,1.0,3.0,101.1
2.0,5.0,30.4,1.0,5.0,125.7,1.0,5.0,155.2,1.0,5.0,99.9,1.0,4.0,258.4,1.0,4.0,106.2
2.0,6.0,11.2,1.0,6.0,57.6,1.0,6.0,82.5,1.0,6.0,54.3,1.0,6.0,129.3,1.0,5.0,123.8
3.0,2.0,13.1,3.0,1.0,217.8,2.0,1.0,222.4,2.0,1.0,231.1,2.0,1.0,397.9,2.0,1.0,180.3
3.0,4.0,19.3,3.0,4.0,499.2,2.0,4.0,483.5,2.0,3.0,627.6,2.0,3.0,874.4,2.0,3.0,369.6
3.0,5.0,29.8,3.0,5.0,560.0,2.0,5.0,612.8,2.0,5.0,451.7,2.0,4.0,782.8,2.0,4.0,454.1
3.0,6.0,12.5,3.0,6.0,314.1,2.0,6.0,343.3,2.0,6.0,214.5,2.0,6.0,501.3,2.0,5.0,553.3
4.0,2.0,26.6,4.0,1.0,238.8,4.0,1.0,251.1,3.0,1.0,315.4,3.0,1.0,440.4,3.0,1.0,195.9
4.0,3.0,33.9,4.0,3.0,533.5,4.0,2.0,527.9,3.0,2.0,730.3,3.0,2.0,1036.0,3.0,2.0,443.3
4.0,5.0,41.9,4.0,5.0,512.9,4.0,5.0,508.6,3.0,5.0,750.4,3.0,4.0,1143.0,3.0,4.0,526.5
4.0,6.0,20.9,4.0,6.0,260.9,4.0,6.0,355.3,3.0,6.0,464.3,3.0,6.0,835.3,3.0,5.0,628.9
5.0,2.0,52.6,5.0,1.0,366.0,5.0,1.0,373.8,5.0,1.0,129.7,4.0,1.0,305.1,4.0,1.0,172.2
5.0,3.0,65.9,5.0,3.0,702.8,5.0,2.0,667.5,5.0,2.0,312.5,4.0,2.0,595.7,4.0,2.0,401.4
5.0,4.0,66.5,5.0,4.0,777.8,5.0,4.0,766.8,5.0,3.0,523.7,4.0,3.0,880.9,4.0,3.0,548.2
5.0,6.0,39.3,5.0,6.0,434.3,5.0,6.0,534.5,5.0,6.0,106.4,4.0,6.0,251.5,4.0,5.0,385.3
6.0,2.0,18.0,6.0,1.0,144.9,6.0,1.0,165.5,6.0,1.0,70.0,6.0,1.0,171.1,5.0,1.0,219.4
6.0,3.0,22.6,6.0,3.0,342.5,6.0,2.0,349.7,6.0,2.0,149.7,6.0,2.0,403.3,5.0,2.0,599.9
6.0,4.0,28.8,6.0,4.0,335.4,6.0,4.0,427.8,6.0,3.0,307.0,6.0,3.0,585.2,5.0,3.0,674.3
6.0,5.0,37.4,6.0,5.0,368.9,6.0,5.0,462.2,6.0,5.0,115.0,6.0,4.0,292.6,5.0,4.0,474.3
