1,宇野 弥生,宇野 弥生.1,2,盛本 真輔,盛本 真輔.1,3,芝田 浩治,芝田 浩治.1,4,北村 征嗣,北村 征嗣.1,5,黒柳 浩孝,黒柳 浩孝.1,6,金子 貴志,金子 貴志.1
2.0,3.0,11.3,1.0,3.0,23.4,1.0,2.0,58.5,1.0,2.0,59.9,1.0,2.0,472.8,1.0,2.0,2083.0
2.0,4.0,10.5,1.0,4.0,22.8,1.0,4.0,34.3,1.0,3.0,58.9,1.0,3.0,393.1,1.0,3.0,2096.0
2.0,5.0,33.4,1.0,5.0,119.1,1.0,5.0,98.4,1.0,5.0,75.8,1.0,4.0,305.2,1.0,4.0,1835.0
2.0,6.0,85.0,1.0,6.0,238.0,1.0,6.0,205.2,1.0,6.0,194.2,1.0,6.0,604.1,1.0,5.0,1642.0
3.0,2.0,12.0,3.0,1.0,38.7,2.0,1.0,116.7,2.0,1.0,155.0,2.0,1.0,727.1,2.0,1.0,2889.0
3.0,4.0,6.8,3.0,4.0,38.0,2.0,4.0,93.1,2.0,3.0,206.1,2.0,3.0,808.3,2.0,3.0,2726.0
3.0,5.0,21.5,3.0,5.0,204.8,2.0,5.0,221.9,2.0,5.0,251.7,2.0,4.0,727.7,2.0,4.0,2521.0
3.0,6.0,58.8,3.0,6.0,354.1,2.0,6.0,342.9,2.0,6.0,439.8,2.0,6.0,1255.0,2.0,5.0,3663.0
4.0,2.0,13.7,4.0,1.0,109.3,4.0,1.0,76.3,3.0,1.0,101.3,3.0,1.0,663.5,3.0,1.0,2855.0
4.0,3.0,10.7,4.0,3.0,41.4,4.0,2.0,98.6,3.0,2.0,199.2,3.0,2.0,907.2,3.0,2.0,2924.0
4.0,5.0,21.2,4.0,5.0,209.1,4.0,5.0,114.3,3.0,5.0,146.7,3.0,4.0,466.0,3.0,4.0,2176.0
4.0,6.0,57.8,4.0,6.0,364.1,4.0,6.0,227.5,3.0,6.0,332.5,3.0,6.0,1406.0,3.0,5.0,4453.0
5.0,2.0,63.8,5.0,1.0,344.9,5.0,1.0,287.6,5.0,1.0,126.5,4.0,1.0,382.5,4.0,1.0,1989.0
5.0,3.0,55.6,5.0,3.0,424.3,5.0,2.0,411.5,5.0,2.0,251.7,4.0,2.0,657.2,4.0,2.0,2609.0
5.0,4.0,54.0,5.0,4.0,420.2,5.0,4.0,225.0,5.0,3.0,177.9,4.0,3.0,394.7,4.0,3.0,2216.0
5.0,6.0,138.5,5.0,6.0,845.6,5.0,6.0,591.2,5.0,6.0,237.3,4.0,6.0,771.0,4.0,5.0,2541.0
6.0,2.0,292.2,6.0,1.0,1027.0,6.0,1.0,853.8,6.0,1.0,504.0,6.0,1.0,1249.0,5.0,1.0,1907.0
6.0,3.0,283.6,6.0,3.0,1004.0,6.0,2.0,986.5,6.0,2.0,728.2,6.0,2.0,2052.0,5.0,2.0,3777.0
6.0,4.0,238.1,6.0,4.0,1157.0,6.0,4.0,779.7,6.0,3.0,668.6,6.0,3.0,1949.0,5.0,3.0,4131.0
6.0,5.0,318.2,6.0,5.0,1290.0,6.0,5.0,1171.0,6.0,5.0,593.7,6.0,4.0,1431.0,5.0,4.0,2689.0
