1,柴田 光,柴田 光.1,2,佐藤 悠,佐藤 悠.1,3,森定 晃史,森定 晃史.1,4,磯村 匠,磯村 匠.1,5,池田 雄祐,池田 雄祐.1,6,田中 勇輔,田中 勇輔.1
2.0,3.0,12.9,1.0,3.0,79.5,1.0,2.0,49.4,1.0,2.0,227.7,1.0,2.0,66.4,1.0,2.0,984.2
2.0,4.0,29.7,1.0,4.0,144.6,1.0,4.0,46.8,1.0,3.0,194.4,1.0,3.0,39.7,1.0,3.0,716.8
2.0,5.0,17.0,1.0,5.0,85.3,1.0,5.0,22.0,1.0,5.0,120.8,1.0,4.0,82.2,1.0,4.0,1080.0
2.0,6.0,103.8,1.0,6.0,392.5,1.0,6.0,109.3,1.0,6.0,310.9,1.0,6.0,85.6,1.0,5.0,574.5
3.0,2.0,10.2,3.0,1.0,142.3,2.0,1.0,134.8,2.0,1.0,413.8,2.0,1.0,156.2,2.0,1.0,1657.0
3.0,4.0,14.0,3.0,4.0,238.6,2.0,4.0,269.1,2.0,3.0,543.1,2.0,3.0,199.9,2.0,3.0,1219.0
3.0,5.0,6.6,3.0,5.0,158.3,2.0,5.0,153.6,2.0,5.0,346.2,2.0,4.0,311.7,2.0,4.0,1365.0
3.0,6.0,52.9,3.0,6.0,685.1,2.0,6.0,577.0,2.0,6.0,797.9,2.0,6.0,318.6,2.0,5.0,1520.0
4.0,2.0,41.4,4.0,1.0,367.5,4.0,1.0,131.8,3.0,1.0,276.8,3.0,1.0,72.1,3.0,1.0,1526.0
4.0,3.0,32.7,4.0,3.0,453.5,4.0,2.0,276.8,3.0,2.0,531.9,3.0,2.0,167.5,3.0,2.0,2142.0
4.0,5.0,31.8,4.0,5.0,383.9,4.0,5.0,140.0,3.0,5.0,234.6,3.0,4.0,174.2,3.0,4.0,1803.0
4.0,6.0,98.9,4.0,6.0,967.0,4.0,6.0,376.8,3.0,6.0,680.3,3.0,6.0,227.1,3.0,5.0,986.7
5.0,2.0,19.1,5.0,1.0,200.3,5.0,1.0,49.4,5.0,1.0,114.0,4.0,1.0,121.7,4.0,1.0,1532.0
5.0,3.0,11.9,5.0,3.0,225.5,5.0,2.0,124.4,5.0,2.0,185.9,4.0,2.0,211.3,4.0,2.0,2393.0
5.0,4.0,30.1,5.0,4.0,391.7,5.0,4.0,113.6,5.0,3.0,178.7,4.0,3.0,180.7,4.0,3.0,1332.0
5.0,6.0,48.7,5.0,6.0,694.9,5.0,6.0,228.2,5.0,6.0,149.4,4.0,6.0,153.0,4.0,5.0,823.3
6.0,2.0,218.2,6.0,1.0,1292.0,6.0,1.0,635.7,6.0,1.0,560.4,6.0,1.0,173.8,5.0,1.0,781.8
6.0,3.0,154.4,6.0,3.0,1820.0,6.0,2.0,1007.0,6.0,2.0,850.4,6.0,2.0,294.0,5.0,2.0,1150.0
6.0,4.0,230.6,6.0,4.0,1754.0,6.0,4.0,955.1,6.0,3.0,925.5,6.0,3.0,229.4,5.0,3.0,753.0
6.0,5.0,126.1,6.0,5.0,1238.0,6.0,5.0,612.6,6.0,5.0,352.2,6.0,4.0,261.1,5.0,4.0,702.5
