1,上野 秀和,上野 秀和.1,2,平池 仁志,平池 仁志.1,3,大塚 康雅,大塚 康雅.1,4,宮武 英司,宮武 英司.1,5,盛本 真輔,盛本 真輔.1,6,笠 雅雄,笠 雅雄.1
2.0,3.0,23.8,1.0,3.0,72.2,1.0,2.0,57.3,1.0,2.0,71.6,1.0,2.0,201.4,1.0,2.0,550.4
2.0,4.0,21.8,1.0,4.0,61.4,1.0,4.0,24.7,1.0,3.0,44.1,1.0,3.0,178.5,1.0,3.0,481.2
2.0,5.0,44.9,1.0,5.0,120.0,1.0,5.0,33.0,1.0,5.0,41.6,1.0,4.0,157.9,1.0,4.0,317.9
2.0,6.0,80.5,1.0,6.0,187.6,1.0,6.0,90.5,1.0,6.0,76.7,1.0,6.0,193.4,1.0,5.0,572.0
3.0,2.0,23.8,3.0,1.0,170.5,2.0,1.0,124.8,2.0,1.0,138.1,2.0,1.0,350.5,2.0,1.0,843.7
3.0,4.0,11.6,3.0,4.0,155.5,2.0,4.0,100.9,2.0,3.0,173.6,2.0,3.0,410.5,2.0,3.0,1082.0
3.0,5.0,20.1,3.0,5.0,232.6,2.0,5.0,154.8,2.0,5.0,164.3,2.0,4.0,334.5,2.0,4.0,728.9
3.0,6.0,50.1,3.0,6.0,366.5,2.0,6.0,236.2,2.0,6.0,193.4,2.0,6.0,450.8,2.0,5.0,1328.0
4.0,2.0,22.0,4.0,1.0,130.1,4.0,1.0,36.5,3.0,1.0,68.1,3.0,1.0,224.9,3.0,1.0,630.3
4.0,3.0,14.6,4.0,3.0,162.0,4.0,2.0,76.4,3.0,2.0,140.3,3.0,2.0,343.1,3.0,2.0,1043.0
4.0,5.0,19.0,4.0,5.0,204.2,4.0,5.0,30.8,3.0,5.0,63.4,3.0,4.0,148.3,3.0,4.0,472.0
4.0,6.0,33.9,4.0,6.0,225.1,4.0,6.0,82.8,3.0,6.0,113.7,3.0,6.0,305.8,3.0,5.0,797.7
5.0,2.0,68.9,5.0,1.0,306.7,5.0,1.0,90.5,5.0,1.0,56.2,4.0,1.0,162.2,4.0,1.0,340.9
5.0,3.0,49.3,5.0,3.0,314.8,5.0,2.0,152.7,5.0,2.0,116.5,4.0,2.0,261.3,4.0,2.0,589.8
5.0,4.0,44.3,5.0,4.0,328.3,5.0,4.0,61.1,5.0,3.0,57.9,4.0,3.0,162.0,4.0,3.0,439.7
5.0,6.0,91.5,5.0,6.0,565.0,5.0,6.0,113.2,5.0,6.0,66.7,4.0,6.0,172.6,4.0,5.0,465.2
6.0,2.0,155.5,6.0,1.0,611.1,6.0,1.0,257.6,6.0,1.0,122.1,6.0,1.0,336.9,5.0,1.0,763.6
6.0,3.0,151.7,6.0,3.0,747.6,6.0,2.0,415.3,6.0,2.0,194.7,6.0,2.0,494.5,5.0,2.0,1246.0
6.0,4.0,104.9,6.0,4.0,479.1,6.0,4.0,187.0,6.0,3.0,158.3,6.0,3.0,439.1,5.0,3.0,813.8
6.0,5.0,152.5,6.0,5.0,895.5,6.0,5.0,237.6,6.0,5.0,126.7,6.0,4.0,304.4,5.0,4.0,561.0
