1,中 亮太,中 亮太.1,2,大場 敏,大場 敏.1,3,森 智也,森 智也.1,4,繁野谷　圭介,繁野谷　圭介.1,5,金子 猛志,金子 猛志.1,6,丹下 将,丹下 将.1
2.0,3.0,8.1,1.0,3.0,41.5,1.0,2.0,153.0,1.0,2.0,65.7,1.0,2.0,304.0,1.0,2.0,134.8
2.0,4.0,6.2,1.0,4.0,26.6,1.0,4.0,167.0,1.0,3.0,177.8,1.0,3.0,614.8,1.0,3.0,353.2
2.0,5.0,19.4,1.0,5.0,63.5,1.0,5.0,281.0,1.0,5.0,149.1,1.0,4.0,466.1,1.0,4.0,240.6
2.0,6.0,10.9,1.0,6.0,37.9,1.0,6.0,247.3,1.0,6.0,90.8,1.0,6.0,418.8,1.0,5.0,440.8
3.0,2.0,14.3,3.0,1.0,151.4,2.0,1.0,267.1,2.0,1.0,118.5,2.0,1.0,465.3,2.0,1.0,175.3
3.0,4.0,17.7,3.0,4.0,235.8,2.0,4.0,309.1,2.0,3.0,336.1,2.0,3.0,1210.0,2.0,3.0,509.9
3.0,5.0,45.1,3.0,5.0,556.9,2.0,5.0,850.5,2.0,5.0,386.4,2.0,4.0,1015.0,2.0,4.0,354.5
3.0,6.0,32.3,3.0,6.0,332.9,2.0,6.0,459.1,2.0,6.0,215.6,2.0,6.0,769.4,2.0,5.0,691.1
4.0,2.0,10.7,4.0,1.0,80.4,4.0,1.0,355.6,3.0,1.0,435.5,3.0,1.0,1072.0,3.0,1.0,707.6
4.0,3.0,20.0,4.0,3.0,229.3,4.0,2.0,412.4,3.0,2.0,551.9,3.0,2.0,1702.0,3.0,2.0,892.7
4.0,5.0,36.1,4.0,5.0,315.2,4.0,5.0,850.5,3.0,5.0,1054.0,3.0,4.0,1975.0,3.0,4.0,949.6
4.0,6.0,18.6,4.0,6.0,144.8,4.0,6.0,504.5,3.0,6.0,606.2,3.0,6.0,1948.0,3.0,5.0,1509.0
5.0,2.0,49.0,5.0,1.0,292.1,5.0,1.0,814.4,5.0,1.0,262.7,4.0,1.0,633.8,4.0,1.0,389.5
5.0,3.0,101.6,5.0,3.0,758.5,5.0,2.0,1224.0,5.0,2.0,397.8,4.0,2.0,958.1,4.0,2.0,431.6
5.0,4.0,80.2,5.0,4.0,587.6,5.0,4.0,1450.0,5.0,3.0,825.3,4.0,3.0,1676.0,4.0,3.0,856.4
5.0,6.0,83.3,5.0,6.0,480.3,5.0,6.0,1405.0,5.0,6.0,284.8,4.0,6.0,826.8,4.0,5.0,886.3
6.0,2.0,33.7,6.0,1.0,143.5,6.0,1.0,704.7,6.0,1.0,199.0,6.0,1.0,648.1,5.0,1.0,739.7
6.0,3.0,66.5,6.0,3.0,430.3,6.0,2.0,832.4,6.0,2.0,245.5,6.0,2.0,813.6,5.0,2.0,891.8
6.0,4.0,51.6,6.0,4.0,263.5,6.0,4.0,847.1,6.0,3.0,537.1,6.0,3.0,1592.0,5.0,3.0,1387.0
6.0,5.0,109.9,6.0,5.0,500.4,6.0,5.0,1575.0,6.0,5.0,348.7,6.0,4.0,979.8,5.0,4.0,1042.0
