1,守屋 美穂,守屋 美穂.1,2,吉田 俊彦,吉田 俊彦.1,3,宮地 博士,宮地 博士.1,4,宇佐見 淳,宇佐見 淳.1,5,杉村 賢也,杉村 賢也.1,6,坂井 滉哉,坂井 滉哉.1
2.0,3.0,8.4,1.0,3.0,62.1,1.0,2.0,331.3,1.0,2.0,39.8,1.0,2.0,467.7,1.0,2.0,375.3
2.0,4.0,3.4,1.0,4.0,22.2,1.0,4.0,353.1,1.0,3.0,151.2,1.0,3.0,954.1,1.0,3.0,917.4
2.0,5.0,22.4,1.0,5.0,85.6,1.0,5.0,701.5,1.0,5.0,97.4,1.0,4.0,534.0,1.0,4.0,432.8
2.0,6.0,18.4,1.0,6.0,68.0,1.0,6.0,668.8,1.0,6.0,79.5,1.0,6.0,792.2,1.0,5.0,1212.0
3.0,2.0,21.7,3.0,1.0,247.0,2.0,1.0,500.4,2.0,1.0,60.6,2.0,1.0,822.5,2.0,1.0,508.7
3.0,4.0,22.5,3.0,4.0,315.7,2.0,4.0,516.0,2.0,3.0,252.2,2.0,3.0,2104.0,2.0,3.0,1567.0
3.0,5.0,77.1,3.0,5.0,637.0,2.0,5.0,1226.0,2.0,5.0,195.3,2.0,4.0,949.9,2.0,4.0,550.4
3.0,6.0,75.4,3.0,6.0,620.4,2.0,6.0,1219.0,2.0,6.0,132.5,2.0,6.0,1212.0,2.0,5.0,1470.0
4.0,2.0,6.1,4.0,1.0,51.0,4.0,1.0,616.9,3.0,1.0,516.0,3.0,1.0,1626.0,3.0,1.0,1590.0
4.0,3.0,20.4,4.0,3.0,171.2,4.0,2.0,557.6,3.0,2.0,542.1,3.0,2.0,2683.0,3.0,2.0,2586.0
4.0,5.0,29.2,4.0,5.0,197.5,4.0,5.0,1084.0,3.0,5.0,993.9,3.0,4.0,2752.0,3.0,4.0,2496.0
4.0,6.0,22.2,4.0,6.0,148.4,4.0,6.0,1057.0,3.0,6.0,819.4,3.0,6.0,2862.0,3.0,5.0,3354.0
5.0,2.0,81.2,5.0,1.0,354.2,5.0,1.0,1277.0,5.0,1.0,169.8,4.0,1.0,664.6,4.0,1.0,609.9
5.0,3.0,163.0,5.0,3.0,879.8,5.0,2.0,1212.0,5.0,2.0,202.3,4.0,2.0,694.7,4.0,2.0,635.1
5.0,4.0,91.3,5.0,4.0,509.9,5.0,4.0,1367.0,5.0,3.0,732.7,4.0,3.0,1804.0,4.0,3.0,2084.0
5.0,6.0,161.5,5.0,6.0,578.6,5.0,6.0,1219.0,5.0,6.0,241.2,4.0,6.0,804.0,4.0,5.0,1759.0
6.0,2.0,70.9,6.0,1.0,233.6,6.0,1.0,1376.0,6.0,1.0,183.6,6.0,1.0,764.0,5.0,1.0,2125.0
6.0,3.0,169.8,6.0,3.0,1027.0,6.0,2.0,2555.0,6.0,2.0,214.0,6.0,2.0,758.6,5.0,2.0,1916.0
6.0,4.0,77.3,6.0,4.0,390.3,6.0,4.0,1555.0,6.0,3.0,677.2,6.0,3.0,993.9,5.0,3.0,3204.0
6.0,5.0,200.8,6.0,5.0,828.9,6.0,5.0,2824.0,6.0,5.0,338.0,6.0,4.0,720.4,5.0,4.0,2064.0
