1,藤丸 光一,藤丸 光一.1,2,井上 恵一,井上 恵一.1,3,植田 太一,植田 太一.1,4,村上 彰一,村上 彰一.1,5,安部 慎一,安部 慎一.1,6,富永 大一,富永 大一.1
2.0,3.0,12.0,1.0,3.0,25.2,1.0,2.0,20.0,1.0,2.0,112.0,1.0,2.0,359.2,1.0,2.0,233.6
2.0,4.0,20.7,1.0,4.0,41.8,1.0,4.0,21.7,1.0,3.0,107.7,1.0,3.0,298.9,1.0,3.0,180.2
2.0,5.0,51.1,1.0,5.0,96.7,1.0,5.0,48.9,1.0,5.0,199.9,1.0,4.0,393.1,1.0,4.0,315.2
2.0,6.0,33.9,1.0,6.0,57.7,1.0,6.0,26.0,1.0,6.0,131.9,1.0,6.0,313.2,1.0,5.0,409.5
3.0,2.0,10.0,3.0,1.0,45.1,2.0,1.0,37.9,2.0,1.0,181.9,2.0,1.0,556.2,2.0,1.0,348.3
3.0,4.0,11.3,3.0,4.0,98.7,2.0,4.0,67.5,2.0,3.0,241.7,2.0,3.0,767.7,2.0,3.0,373.6
3.0,5.0,29.5,3.0,5.0,188.0,2.0,5.0,114.6,2.0,5.0,465.0,2.0,4.0,874.0,2.0,4.0,549.9
3.0,6.0,16.4,3.0,6.0,115.1,2.0,6.0,67.7,2.0,6.0,276.5,2.0,6.0,761.8,2.0,5.0,665.9
4.0,2.0,36.6,4.0,1.0,111.8,4.0,1.0,44.9,3.0,1.0,129.4,3.0,1.0,415.6,3.0,1.0,206.0
4.0,3.0,33.5,4.0,3.0,157.0,4.0,2.0,82.0,3.0,2.0,218.2,3.0,2.0,701.7,3.0,2.0,295.3
4.0,5.0,76.5,4.0,5.0,349.6,4.0,5.0,114.4,3.0,5.0,266.3,3.0,4.0,661.4,3.0,4.0,365.2
4.0,6.0,53.5,4.0,6.0,193.2,4.0,6.0,61.8,3.0,6.0,199.5,3.0,6.0,505.9,3.0,5.0,593.2
5.0,2.0,103.3,5.0,1.0,312.2,5.0,1.0,136.8,5.0,1.0,322.5,4.0,1.0,539.3,4.0,1.0,543.8
5.0,3.0,93.7,5.0,3.0,469.5,5.0,2.0,222.4,5.0,2.0,509.8,4.0,2.0,978.9,4.0,2.0,711.9
5.0,4.0,127.3,5.0,4.0,556.2,5.0,4.0,179.6,5.0,3.0,429.3,4.0,3.0,725.1,4.0,3.0,574.1
5.0,6.0,115.1,5.0,6.0,496.9,5.0,6.0,161.4,5.0,6.0,350.8,4.0,6.0,582.6,4.0,5.0,822.6
6.0,2.0,78.7,6.0,1.0,193.8,6.0,1.0,66.5,6.0,1.0,271.9,6.0,1.0,496.9,5.0,1.0,627.5
6.0,3.0,62.0,6.0,3.0,247.2,6.0,2.0,108.4,6.0,2.0,402.0,6.0,2.0,881.9,5.0,2.0,1186.0
6.0,4.0,99.4,6.0,4.0,381.6,6.0,4.0,107.9,6.0,3.0,347.7,6.0,3.0,654.8,5.0,3.0,840.2
6.0,5.0,132.4,6.0,5.0,623.5,6.0,5.0,177.8,6.0,5.0,426.5,6.0,4.0,619.5,5.0,4.0,829.5
