1,青木　幸太郎,青木　幸太郎.1,2,川原 正明,川原 正明.1,3,船越 健吾,船越 健吾.1,4,出畑 孝成,出畑 孝成.1,5,小野 信樹,小野 信樹.1,6,宮地 秀祈,宮地 秀祈.1
2.0,3.0,5.1,1.0,3.0,14.2,1.0,2.0,57.9,1.0,2.0,282.1,1.0,2.0,94.8,1.0,2.0,235.4
2.0,4.0,56.7,1.0,4.0,77.7,1.0,4.0,308.4,1.0,3.0,541.2,1.0,3.0,212.7,1.0,3.0,485.1
2.0,5.0,8.6,1.0,5.0,14.8,1.0,5.0,106.0,1.0,5.0,516.6,1.0,4.0,414.4,1.0,4.0,736.7
2.0,6.0,7.9,1.0,6.0,24.3,1.0,6.0,162.0,1.0,6.0,520.0,1.0,6.0,168.9,1.0,5.0,580.7
3.0,2.0,10.7,3.0,1.0,39.9,2.0,1.0,73.8,2.0,1.0,410.1,2.0,1.0,122.9,2.0,1.0,282.1
3.0,4.0,98.5,3.0,4.0,266.1,2.0,4.0,330.1,2.0,3.0,846.4,2.0,3.0,240.3,2.0,3.0,680.0
3.0,5.0,19.0,3.0,5.0,65.3,2.0,5.0,131.9,2.0,5.0,704.1,2.0,4.0,750.6,2.0,4.0,1560.0
3.0,6.0,28.8,3.0,6.0,91.4,2.0,6.0,170.3,2.0,6.0,1020.0,2.0,6.0,250.2,2.0,5.0,663.0
4.0,2.0,156.0,4.0,1.0,330.1,4.0,1.0,704.1,3.0,1.0,1033.0,3.0,1.0,353.6,3.0,1.0,716.8
4.0,3.0,358.4,4.0,3.0,811.9,4.0,2.0,811.9,3.0,2.0,772.5,3.0,2.0,356.8,3.0,2.0,1007.0
4.0,5.0,320.8,4.0,5.0,482.2,4.0,5.0,1120.0,3.0,5.0,1187.0,3.0,4.0,1243.0,3.0,4.0,1989.0
4.0,6.0,342.9,4.0,6.0,560.3,4.0,6.0,750.6,3.0,6.0,1420.0,3.0,6.0,652.1,3.0,5.0,1136.0
5.0,2.0,23.1,5.0,1.0,58.5,5.0,1.0,229.3,5.0,1.0,680.0,4.0,1.0,864.8,4.0,1.0,1501.0
5.0,3.0,33.9,5.0,3.0,100.2,5.0,2.0,256.6,5.0,2.0,884.0,4.0,2.0,1224.0,4.0,2.0,1808.0
5.0,4.0,206.1,5.0,4.0,393.9,5.0,4.0,970.3,5.0,3.0,1657.0,4.0,3.0,1729.0,4.0,3.0,2040.0
5.0,6.0,49.5,5.0,6.0,138.1,5.0,6.0,452.0,5.0,6.0,1262.0,4.0,6.0,1560.0,4.0,5.0,2093.0
6.0,2.0,35.0,6.0,1.0,107.6,6.0,1.0,323.4,6.0,1.0,1105.0,6.0,1.0,358.4,5.0,1.0,621.6
6.0,3.0,52.9,6.0,3.0,166.1,6.0,2.0,412.2,6.0,2.0,1153.0,6.0,2.0,395.8,5.0,2.0,723.3
6.0,4.0,319.5,6.0,4.0,556.4,6.0,4.0,1623.0,6.0,3.0,1560.0,6.0,3.0,602.7,5.0,3.0,1348.0
6.0,5.0,86.7,6.0,5.0,226.0,6.0,5.0,874.3,6.0,5.0,994.6,6.0,4.0,884.0,5.0,4.0,1560.0
