1,宗行 治哉,宗行 治哉.1,2,原田 秀弥,原田 秀弥.1,3,竹上 真司,竹上 真司.1,4,百武 翔,百武 翔.1,5,長畑 友輔,長畑 友輔.1,6,森 雄利,森 雄利.1
2.0,3.0,8.0,1.0,3.0,58.6,1.0,2.0,142.0,1.0,2.0,80.4,1.0,2.0,52.1,1.0,2.0,1593.0
2.0,4.0,6.3,1.0,4.0,46.6,1.0,4.0,121.4,1.0,3.0,123.9,1.0,3.0,87.9,1.0,3.0,2949.0
2.0,5.0,9.8,1.0,5.0,62.3,1.0,5.0,144.7,1.0,5.0,62.1,1.0,4.0,57.7,1.0,4.0,2013.0
2.0,6.0,181.3,1.0,6.0,439.5,1.0,6.0,771.3,1.0,6.0,430.5,1.0,6.0,227.5,1.0,5.0,2155.0
3.0,2.0,12.5,3.0,1.0,214.0,2.0,1.0,255.3,2.0,1.0,159.6,2.0,1.0,107.9,2.0,1.0,1899.0
3.0,4.0,14.6,3.0,4.0,353.6,2.0,4.0,364.3,2.0,3.0,488.0,2.0,3.0,356.2,2.0,3.0,4203.0
3.0,5.0,18.1,3.0,5.0,440.1,2.0,5.0,537.2,2.0,5.0,279.7,2.0,4.0,240.0,2.0,4.0,3396.0
3.0,6.0,221.6,3.0,6.0,1827.0,2.0,6.0,1715.0,2.0,6.0,923.8,2.0,6.0,595.2,2.0,5.0,3736.0
4.0,2.0,11.0,4.0,1.0,142.6,4.0,1.0,267.5,3.0,1.0,216.4,3.0,1.0,205.3,3.0,1.0,5095.0
4.0,3.0,18.3,4.0,3.0,340.0,4.0,2.0,450.7,3.0,2.0,537.2,3.0,2.0,718.5,3.0,2.0,7006.0
4.0,5.0,12.3,4.0,5.0,280.7,4.0,5.0,418.2,3.0,5.0,481.7,3.0,4.0,632.1,3.0,4.0,4736.0
4.0,6.0,151.3,4.0,6.0,1171.0,4.0,6.0,1837.0,3.0,6.0,1514.0,3.0,6.0,1383.0,3.0,5.0,6725.0
5.0,2.0,16.2,5.0,1.0,183.8,5.0,1.0,279.5,5.0,1.0,82.6,4.0,1.0,105.4,4.0,1.0,3029.0
5.0,3.0,27.3,5.0,3.0,454.4,5.0,2.0,607.0,5.0,2.0,189.9,4.0,2.0,248.0,4.0,2.0,3296.0
5.0,4.0,18.1,5.0,4.0,347.4,5.0,4.0,497.4,5.0,3.0,349.5,4.0,3.0,478.3,4.0,3.0,4544.0
5.0,6.0,158.1,5.0,6.0,1339.0,5.0,6.0,1788.0,5.0,6.0,452.6,4.0,6.0,633.3,4.0,5.0,4151.0
6.0,2.0,549.4,6.0,1.0,2319.0,6.0,1.0,2899.0,6.0,1.0,1329.0,6.0,1.0,625.0,5.0,1.0,2547.0
6.0,3.0,793.1,6.0,3.0,4606.0,6.0,2.0,3956.0,6.0,2.0,1455.0,6.0,2.0,1009.0,5.0,2.0,3142.0
6.0,4.0,658.1,6.0,4.0,2668.0,6.0,4.0,3910.0,6.0,3.0,2472.0,6.0,3.0,1474.0,5.0,3.0,5173.0
6.0,5.0,476.3,6.0,5.0,3577.0,6.0,5.0,3956.0,6.0,5.0,1407.0,6.0,4.0,1334.0,5.0,4.0,4544.0
