1,板橋 侑我,板橋 侑我.1,2,中野 仁照,中野 仁照.1,3,石田 貴洋,石田 貴洋.1,4,森清 友翔,森清 友翔.1,5,楠 将太郎,楠 将太郎.1,6,中村 駿平,中村 駿平.1
2.0,3.0,4.3,1.0,3.0,25.0,1.0,2.0,26.8,1.0,2.0,245.7,1.0,2.0,448.3,1.0,2.0,193.1
2.0,4.0,22.8,1.0,4.0,98.0,1.0,4.0,80.9,1.0,3.0,332.8,1.0,3.0,495.2,1.0,3.0,194.1
2.0,5.0,27.1,1.0,5.0,133.6,1.0,5.0,76.6,1.0,5.0,387.6,1.0,4.0,814.6,1.0,4.0,630.0
2.0,6.0,15.3,1.0,6.0,59.6,1.0,6.0,40.8,1.0,6.0,342.2,1.0,6.0,698.5,1.0,5.0,773.2
3.0,2.0,4.5,3.0,1.0,47.4,2.0,1.0,49.5,2.0,1.0,380.5,2.0,1.0,843.1,2.0,1.0,302.5
3.0,4.0,18.7,3.0,4.0,211.4,2.0,4.0,205.2,2.0,3.0,526.7,2.0,3.0,1147.0,2.0,3.0,387.6
3.0,5.0,18.7,3.0,5.0,240.0,2.0,5.0,206.2,2.0,5.0,567.0,2.0,4.0,1563.0,2.0,4.0,1296.0
3.0,6.0,11.0,3.0,6.0,104.1,2.0,6.0,103.0,2.0,6.0,669.4,2.0,6.0,1302.0,2.0,5.0,1475.0
4.0,2.0,63.3,4.0,1.0,299.7,4.0,1.0,269.7,3.0,1.0,567.0,3.0,1.0,840.7,3.0,1.0,287.2
4.0,3.0,64.7,4.0,3.0,412.5,4.0,2.0,345.5,3.0,2.0,592.6,3.0,2.0,1083.0,3.0,2.0,420.3
4.0,5.0,163.3,4.0,5.0,642.6,4.0,5.0,549.8,3.0,5.0,1047.0,3.0,4.0,1691.0,3.0,4.0,1383.0
4.0,6.0,105.0,4.0,6.0,385.6,4.0,6.0,416.7,3.0,6.0,840.7,3.0,6.0,1285.0,3.0,5.0,1671.0
5.0,2.0,90.2,5.0,1.0,595.0,5.0,1.0,324.9,5.0,1.0,678.8,4.0,1.0,1257.0,4.0,1.0,1063.0
5.0,3.0,72.7,5.0,3.0,631.4,5.0,2.0,395.0,5.0,2.0,751.1,4.0,2.0,1490.0,4.0,2.0,1424.0
5.0,4.0,247.1,5.0,4.0,1087.0,5.0,4.0,823.9,5.0,3.0,993.8,4.0,3.0,1742.0,4.0,3.0,1742.0
5.0,6.0,178.6,5.0,6.0,690.2,5.0,6.0,572.6,5.0,6.0,658.7,4.0,6.0,1364.0,4.0,5.0,1877.0
6.0,2.0,39.7,6.0,1.0,190.1,6.0,1.0,121.5,6.0,1.0,660.2,6.0,1.0,1390.0,5.0,1.0,1403.0
6.0,3.0,36.8,6.0,3.0,237.6,6.0,2.0,174.7,6.0,2.0,845.6,6.0,2.0,1643.0,5.0,2.0,2095.0
6.0,4.0,154.4,6.0,4.0,655.8,6.0,4.0,512.7,6.0,3.0,997.2,6.0,3.0,1785.0,5.0,3.0,2207.0
6.0,5.0,191.6,6.0,5.0,792.3,6.0,5.0,528.7,6.0,5.0,889.8,6.0,4.0,1643.0,5.0,4.0,1853.0
