1,土性 雅也,土性 雅也.1,2,鈴木 賢一,鈴木 賢一.1,3,高山 智至,高山 智至.1,4,中尾 優香,中尾 優香.1,5,野中 義生,野中 義生.1,6,田路 朋史,田路 朋史.1
2.0,3.0,9.5,1.0,3.0,36.8,1.0,2.0,101.5,1.0,2.0,174.5,1.0,2.0,158.5,1.0,2.0,26.0
2.0,4.0,35.1,1.0,4.0,104.7,1.0,4.0,201.1,1.0,3.0,265.8,1.0,3.0,214.2,1.0,3.0,48.4
2.0,5.0,26.3,1.0,5.0,62.5,1.0,5.0,146.8,1.0,5.0,200.8,1.0,4.0,364.8,1.0,4.0,93.3
2.0,6.0,11.3,1.0,6.0,33.1,1.0,6.0,86.5,1.0,6.0,127.9,1.0,6.0,111.6,1.0,5.0,59.8
3.0,2.0,19.3,3.0,1.0,84.2,2.0,1.0,115.2,2.0,1.0,264.8,2.0,1.0,216.3,2.0,1.0,37.7
3.0,4.0,56.7,3.0,4.0,201.2,2.0,4.0,272.4,2.0,3.0,365.3,2.0,3.0,354.8,2.0,3.0,68.1
3.0,5.0,39.4,3.0,5.0,140.7,2.0,5.0,182.2,2.0,5.0,406.5,2.0,4.0,672.1,2.0,4.0,160.7
3.0,6.0,22.2,3.0,6.0,72.7,2.0,6.0,104.7,2.0,6.0,222.8,2.0,6.0,175.9,2.0,5.0,90.8
4.0,2.0,60.0,4.0,1.0,240.6,4.0,1.0,399.6,3.0,1.0,486.3,3.0,1.0,384.5,3.0,1.0,112.3
4.0,3.0,95.2,4.0,3.0,297.4,4.0,2.0,403.0,3.0,2.0,490.4,3.0,2.0,531.6,3.0,2.0,116.5
4.0,5.0,111.9,4.0,5.0,403.0,4.0,5.0,433.0,3.0,5.0,559.8,3.0,4.0,833.2,3.0,4.0,329.4
4.0,6.0,64.4,4.0,6.0,185.6,4.0,6.0,308.0,3.0,6.0,427.2,3.0,6.0,279.6,3.0,5.0,237.4
5.0,2.0,56.3,5.0,1.0,147.6,5.0,1.0,221.9,5.0,1.0,239.6,4.0,1.0,400.2,4.0,1.0,173.5
5.0,3.0,65.3,5.0,3.0,174.5,5.0,2.0,269.6,5.0,2.0,320.5,4.0,2.0,580.4,4.0,2.0,219.7
5.0,4.0,162.8,5.0,4.0,413.6,5.0,4.0,518.1,5.0,3.0,442.5,4.0,3.0,678.5,4.0,3.0,376.9
5.0,6.0,46.2,5.0,6.0,123.7,5.0,6.0,185.6,5.0,6.0,145.7,4.0,6.0,249.7,4.0,5.0,254.9
6.0,2.0,17.7,6.0,1.0,52.6,6.0,1.0,123.3,6.0,1.0,134.9,6.0,1.0,109.7,5.0,1.0,103.2
6.0,3.0,31.3,6.0,3.0,74.3,6.0,2.0,120.4,6.0,2.0,184.9,6.0,2.0,151.0,5.0,2.0,119.9
6.0,4.0,65.8,6.0,4.0,184.6,6.0,4.0,303.4,6.0,3.0,279.9,6.0,3.0,205.7,5.0,3.0,219.7
6.0,5.0,41.8,6.0,5.0,111.5,6.0,5.0,182.6,6.0,5.0,154.1,6.0,4.0,254.4,5.0,4.0,246.7
