1,大澤 風葵,大澤 風葵.1,2,重冨 勇哉,重冨 勇哉.1,3,西丸　侑太朗,西丸　侑太朗.1,4,田村 慶,田村 慶.1,5,安河内鈴之介,安河内鈴之介.1,6,石田 貴洋,石田 貴洋.1
2.0,3.0,20.2,1.0,3.0,183.2,1.0,2.0,158.1,1.0,2.0,77.4,1.0,2.0,334.3,1.0,2.0,104.6
2.0,4.0,20.8,1.0,4.0,167.2,1.0,4.0,68.8,1.0,3.0,67.5,1.0,3.0,263.1,1.0,3.0,94.9
2.0,5.0,56.0,1.0,5.0,324.5,1.0,5.0,124.2,1.0,5.0,56.9,1.0,4.0,189.3,1.0,4.0,59.6
2.0,6.0,18.1,1.0,6.0,142.5,1.0,6.0,69.8,1.0,6.0,44.7,1.0,6.0,249.1,1.0,5.0,147.1
3.0,2.0,23.2,3.0,1.0,397.8,2.0,1.0,404.3,2.0,1.0,197.1,2.0,1.0,706.5,2.0,1.0,259.1
3.0,4.0,11.7,3.0,4.0,661.5,2.0,4.0,536.1,2.0,3.0,394.0,2.0,3.0,1303.0,2.0,3.0,551.0
3.0,5.0,32.3,3.0,5.0,1073.0,2.0,5.0,680.4,2.0,5.0,284.1,2.0,4.0,992.2,2.0,4.0,296.1
3.0,6.0,11.8,3.0,6.0,620.3,2.0,6.0,571.2,2.0,6.0,217.3,2.0,6.0,1166.0,2.0,5.0,786.9
4.0,2.0,23.9,4.0,1.0,364.6,4.0,1.0,157.2,3.0,1.0,163.1,3.0,1.0,489.7,3.0,1.0,234.9
4.0,3.0,16.6,4.0,3.0,779.5,4.0,2.0,485.0,3.0,2.0,429.7,3.0,2.0,1264.0,3.0,2.0,586.0
4.0,5.0,33.0,4.0,5.0,772.2,4.0,5.0,288.2,3.0,5.0,247.4,3.0,4.0,649.4,3.0,4.0,257.9
4.0,6.0,14.0,4.0,6.0,379.9,4.0,6.0,159.5,3.0,6.0,159.4,3.0,6.0,763.9,3.0,5.0,676.7
5.0,2.0,112.7,5.0,1.0,795.7,5.0,1.0,340.0,5.0,1.0,74.0,4.0,1.0,195.6,4.0,1.0,89.1
5.0,3.0,69.0,5.0,3.0,1379.0,5.0,2.0,1031.0,5.0,2.0,157.8,4.0,2.0,436.9,4.0,2.0,210.0
5.0,4.0,63.1,5.0,4.0,1200.0,5.0,4.0,490.7,5.0,3.0,160.6,4.0,3.0,376.7,4.0,3.0,185.0
5.0,6.0,70.1,5.0,6.0,1293.0,5.0,6.0,567.3,5.0,6.0,100.2,4.0,6.0,241.9,4.0,5.0,175.1
6.0,2.0,21.3,6.0,1.0,316.0,6.0,1.0,170.1,6.0,1.0,74.4,6.0,1.0,473.9,5.0,1.0,387.6
6.0,3.0,16.9,6.0,3.0,694.7,6.0,2.0,500.6,6.0,2.0,177.6,6.0,2.0,945.2,5.0,2.0,996.2
6.0,4.0,13.5,6.0,4.0,401.0,6.0,4.0,205.4,6.0,3.0,153.5,6.0,3.0,908.9,5.0,3.0,800.8
6.0,5.0,40.5,6.0,5.0,819.2,6.0,5.0,425.7,6.0,5.0,126.5,6.0,4.0,462.0,5.0,4.0,327.9
