1,谷 勝幸,谷 勝幸.1,2,粟田 祥,粟田 祥.1,3,高山 敬悟,高山 敬悟.1,4,永田 啓二,永田 啓二.1,5,松本 博昭,松本 博昭.1,6,森 智哉,森 智哉.1
2.0,3.0,95.6,1.0,3.0,244.8,1.0,2.0,356.1,1.0,2.0,35.2,1.0,2.0,97.0,1.0,2.0,1158.0
2.0,4.0,42.0,1.0,4.0,82.0,1.0,4.0,143.3,1.0,3.0,47.6,1.0,3.0,154.4,1.0,3.0,1449.0
2.0,5.0,66.3,1.0,5.0,131.6,1.0,5.0,195.2,1.0,5.0,11.4,1.0,4.0,32.4,1.0,4.0,510.0
2.0,6.0,163.5,1.0,6.0,296.5,1.0,6.0,442.6,1.0,6.0,24.3,1.0,6.0,58.6,1.0,5.0,667.1
3.0,2.0,88.9,3.0,1.0,527.6,2.0,1.0,520.1,2.0,1.0,85.3,2.0,1.0,250.1,2.0,1.0,1705.0
3.0,4.0,49.6,3.0,4.0,630.6,2.0,4.0,643.8,2.0,3.0,258.9,2.0,3.0,483.3,2.0,3.0,2245.0
3.0,5.0,67.7,3.0,5.0,844.6,2.0,5.0,622.1,2.0,5.0,72.8,2.0,4.0,167.5,2.0,4.0,1416.0
3.0,6.0,158.1,3.0,6.0,1334.0,2.0,6.0,1219.0,2.0,6.0,139.3,2.0,6.0,302.8,2.0,5.0,1601.0
4.0,2.0,23.8,4.0,1.0,133.2,4.0,1.0,194.0,3.0,1.0,123.0,3.0,1.0,286.3,3.0,1.0,2273.0
4.0,3.0,30.4,4.0,3.0,437.3,4.0,2.0,462.6,3.0,2.0,325.3,3.0,2.0,624.2,3.0,2.0,2877.0
4.0,5.0,11.2,4.0,5.0,134.9,4.0,5.0,160.8,3.0,5.0,98.8,3.0,4.0,226.7,3.0,4.0,2218.0
4.0,6.0,27.4,4.0,6.0,341.6,4.0,6.0,363.2,3.0,6.0,177.5,3.0,6.0,452.4,3.0,5.0,2488.0
5.0,2.0,56.6,5.0,1.0,314.7,5.0,1.0,284.1,5.0,1.0,10.2,4.0,1.0,26.4,4.0,1.0,475.8
5.0,3.0,63.1,5.0,3.0,662.3,5.0,2.0,705.5,5.0,2.0,27.3,4.0,2.0,58.2,4.0,2.0,944.3
5.0,4.0,19.0,5.0,4.0,262.3,5.0,4.0,228.1,5.0,3.0,49.8,4.0,3.0,108.5,4.0,3.0,1296.0
5.0,6.0,57.0,5.0,6.0,622.1,5.0,6.0,450.2,5.0,6.0,11.4,4.0,6.0,28.0,4.0,5.0,236.6
6.0,2.0,346.1,6.0,1.0,920.7,6.0,1.0,1364.0,6.0,1.0,69.5,6.0,1.0,117.9,5.0,1.0,594.0
6.0,3.0,310.0,6.0,3.0,2069.0,6.0,2.0,2069.0,6.0,2.0,144.9,6.0,2.0,213.8,5.0,2.0,930.0
6.0,4.0,110.3,6.0,4.0,934.7,6.0,4.0,1089.0,6.0,3.0,233.3,6.0,3.0,323.0,5.0,3.0,1416.0
6.0,5.0,150.4,6.0,5.0,1129.0,6.0,5.0,1252.0,6.0,5.0,37.8,6.0,4.0,74.8,5.0,4.0,252.5
