1,水摩 敦,水摩 敦.1,2,堤 昇,堤 昇.1,3,岡村 将也,岡村 将也.1,4,大西 賢,大西 賢.1,5,天野 誠,天野 誠.1,6,森林 太,森林 太.1
2.0,3.0,3.2,1.0,3.0,13.2,1.0,2.0,31.6,1.0,2.0,322.2,1.0,2.0,903.6,1.0,2.0,724.6
2.0,4.0,8.7,1.0,4.0,28.0,1.0,4.0,60.4,1.0,3.0,435.4,1.0,3.0,1056.0,1.0,3.0,1376.0
2.0,5.0,26.4,1.0,5.0,84.3,1.0,5.0,103.5,1.0,5.0,1111.0,1.0,4.0,1579.0,1.0,4.0,3371.0
2.0,6.0,22.4,1.0,6.0,61.8,1.0,6.0,115.8,1.0,6.0,890.2,1.0,6.0,1744.0,1.0,5.0,3947.0
3.0,2.0,5.3,3.0,1.0,42.3,2.0,1.0,60.9,2.0,1.0,483.1,2.0,1.0,1244.0,2.0,1.0,911.9
3.0,4.0,10.7,3.0,4.0,128.2,2.0,4.0,185.5,2.0,3.0,657.9,2.0,3.0,2013.0,2.0,3.0,2054.0
3.0,5.0,25.8,3.0,5.0,315.8,2.0,5.0,402.1,2.0,5.0,2013.0,2.0,4.0,2040.0,2.0,4.0,3797.0
3.0,6.0,24.2,3.0,6.0,251.6,2.0,6.0,364.5,2.0,6.0,1333.0,2.0,6.0,2752.0,2.0,5.0,5882.0
4.0,2.0,33.6,4.0,1.0,156.9,4.0,1.0,242.7,3.0,1.0,742.6,3.0,1.0,1613.0,3.0,1.0,2098.0
4.0,3.0,38.1,4.0,3.0,242.3,4.0,2.0,301.2,3.0,2.0,750.0,3.0,2.0,2040.0,3.0,2.0,2752.0
4.0,5.0,144.3,4.0,5.0,692.8,4.0,5.0,928.8,3.0,5.0,2381.0,3.0,4.0,3658.0,3.0,4.0,4477.0
4.0,6.0,106.8,4.0,6.0,480.8,4.0,6.0,755.7,3.0,6.0,2500.0,3.0,6.0,3571.0,3.0,5.0,5454.0
5.0,2.0,113.5,5.0,1.0,477.7,5.0,1.0,643.8,5.0,1.0,2040.0,4.0,1.0,3448.0,4.0,1.0,4286.0
5.0,3.0,130.7,5.0,3.0,869.6,5.0,2.0,1017.0,5.0,2.0,2941.0,4.0,2.0,3529.0,4.0,2.0,5357.0
5.0,4.0,258.8,5.0,4.0,1271.0,5.0,4.0,1657.0,5.0,3.0,3030.0,4.0,3.0,4477.0,4.0,3.0,6818.0
5.0,6.0,256.4,5.0,6.0,1067.0,5.0,6.0,1485.0,5.0,6.0,2112.0,4.0,6.0,4762.0,4.0,5.0,5660.0
6.0,2.0,105.8,6.0,1.0,374.0,6.0,1.0,606.1,6.0,1.0,2000.0,6.0,1.0,3571.0,5.0,1.0,3846.0
6.0,3.0,128.1,6.0,3.0,611.0,6.0,2.0,810.8,6.0,2.0,2027.0,6.0,2.0,3703.0,5.0,2.0,5769.0
6.0,4.0,226.4,6.0,4.0,647.9,6.0,4.0,1224.0,6.0,3.0,2098.0,6.0,3.0,4286.0,5.0,3.0,5263.0
6.0,5.0,351.7,6.0,5.0,1158.0,6.0,5.0,1960.0,6.0,5.0,2884.0,6.0,4.0,4412.0,5.0,4.0,5263.0
