1,宮野 仁,宮野 仁.1,2,石丸 海渡,石丸 海渡.1,3,和合 俊介,和合 俊介.1,4,角浜 修,角浜 修.1,5,長尾　京志郎,長尾　京志郎.1,6,前原 大道,前原 大道.1
2.0,3.0,11.1,1.0,3.0,21.5,1.0,2.0,195.1,1.0,2.0,180.8,1.0,2.0,243.5,1.0,2.0,176.2
2.0,4.0,6.6,1.0,4.0,14.2,1.0,4.0,360.7,1.0,3.0,683.8,1.0,3.0,563.3,1.0,3.0,744.9
2.0,5.0,7.6,1.0,5.0,14.9,1.0,5.0,351.7,1.0,5.0,296.0,1.0,4.0,457.6,1.0,4.0,727.3
2.0,6.0,7.6,1.0,6.0,12.7,1.0,6.0,353.7,1.0,6.0,280.0,1.0,6.0,347.9,1.0,5.0,566.6
3.0,2.0,31.5,3.0,1.0,82.6,2.0,1.0,242.8,2.0,1.0,204.9,2.0,1.0,260.2,2.0,1.0,188.2
3.0,4.0,73.6,3.0,4.0,152.7,2.0,4.0,461.0,2.0,3.0,741.5,2.0,3.0,851.9,2.0,3.0,683.8
3.0,5.0,74.6,3.0,5.0,132.5,2.0,5.0,398.0,2.0,5.0,330.9,2.0,4.0,603.4,2.0,4.0,602.6
3.0,6.0,72.6,3.0,6.0,127.6,2.0,6.0,360.9,2.0,6.0,287.7,2.0,6.0,368.0,2.0,5.0,590.4
4.0,2.0,26.8,4.0,1.0,65.2,4.0,1.0,871.5,3.0,1.0,1282.0,3.0,1.0,1367.0,3.0,1.0,1443.0
4.0,3.0,96.4,4.0,3.0,180.4,4.0,2.0,890.4,3.0,2.0,1360.0,3.0,2.0,1338.0,3.0,2.0,1289.0
4.0,5.0,64.8,4.0,5.0,114.7,4.0,5.0,1065.0,3.0,5.0,1510.0,3.0,4.0,2104.0,3.0,4.0,2462.0
4.0,6.0,59.8,4.0,6.0,92.7,4.0,6.0,1084.0,3.0,6.0,1553.0,3.0,6.0,1663.0,3.0,5.0,2499.0
5.0,2.0,30.3,5.0,1.0,73.0,5.0,1.0,815.2,5.0,1.0,434.6,4.0,1.0,770.5,4.0,1.0,1234.0
5.0,3.0,115.5,5.0,3.0,180.0,5.0,2.0,823.4,5.0,2.0,455.0,4.0,2.0,805.8,4.0,2.0,1015.0
5.0,4.0,89.2,5.0,4.0,156.7,5.0,4.0,1295.0,5.0,3.0,1155.0,4.0,3.0,1893.0,4.0,3.0,2966.0
5.0,6.0,63.6,5.0,6.0,96.6,5.0,6.0,959.8,5.0,6.0,431.1,4.0,6.0,782.8,4.0,5.0,1663.0
6.0,2.0,35.9,6.0,1.0,51.3,6.0,1.0,774.2,6.0,1.0,509.2,6.0,1.0,630.4,5.0,1.0,927.3
6.0,3.0,135.6,6.0,3.0,155.1,6.0,2.0,746.0,6.0,2.0,478.9,6.0,2.0,579.9,5.0,2.0,811.2
6.0,4.0,111.4,6.0,4.0,152.3,6.0,4.0,1461.0,6.0,3.0,1272.0,6.0,3.0,1414.0,5.0,3.0,1844.0
6.0,5.0,88.8,6.0,5.0,120.1,6.0,5.0,1295.0,6.0,5.0,591.8,6.0,4.0,1049.0,5.0,4.0,1323.0
