1,前田　健太郎,前田　健太郎.1,2,青木　幸太郎,青木　幸太郎.1,3,藤丸 光一,藤丸 光一.1,4,篠崎 元志,篠崎 元志.1,5,小川 晃司,小川 晃司.1,6,溝口　海義也,溝口　海義也.1
2.0,3.0,78.3,1.0,3.0,93.8,1.0,2.0,245.8,1.0,2.0,46.7,1.0,2.0,838.8,1.0,2.0,131.6
2.0,4.0,39.0,1.0,4.0,38.5,1.0,4.0,153.3,1.0,3.0,104.6,1.0,3.0,1750.0,1.0,3.0,261.4
2.0,5.0,116.1,1.0,5.0,116.4,1.0,5.0,272.5,1.0,5.0,73.2,1.0,4.0,688.2,1.0,4.0,87.0
2.0,6.0,66.8,1.0,6.0,55.7,1.0,6.0,202.0,1.0,6.0,31.9,1.0,6.0,953.0,1.0,5.0,197.6
3.0,2.0,113.5,3.0,1.0,173.3,2.0,1.0,256.0,2.0,1.0,52.6,2.0,1.0,789.5,2.0,1.0,126.2
3.0,4.0,78.2,3.0,4.0,56.7,2.0,4.0,101.0,2.0,3.0,68.8,2.0,3.0,915.1,2.0,3.0,136.6
3.0,5.0,180.7,3.0,5.0,126.1,2.0,5.0,154.4,2.0,5.0,47.4,2.0,4.0,508.0,2.0,4.0,46.9
3.0,6.0,148.8,3.0,6.0,72.3,2.0,6.0,121.4,2.0,6.0,21.0,2.0,6.0,495.5,2.0,5.0,108.7
4.0,2.0,36.9,4.0,1.0,41.2,4.0,1.0,174.4,3.0,1.0,182.8,3.0,1.0,1809.0,3.0,1.0,418.3
4.0,3.0,62.1,4.0,3.0,44.2,4.0,2.0,120.1,3.0,2.0,114.0,3.0,2.0,1059.0,3.0,2.0,241.4
4.0,5.0,60.3,4.0,5.0,36.8,4.0,5.0,126.9,3.0,5.0,99.8,3.0,4.0,1080.0,3.0,4.0,165.8
4.0,6.0,32.9,4.0,6.0,16.7,4.0,6.0,91.8,3.0,6.0,69.3,3.0,6.0,1066.0,3.0,5.0,296.6
5.0,2.0,356.3,5.0,1.0,314.5,5.0,1.0,809.3,5.0,1.0,161.2,4.0,1.0,621.8,4.0,1.0,64.6
5.0,3.0,498.6,5.0,3.0,364.3,5.0,2.0,540.4,5.0,2.0,91.7,4.0,2.0,397.6,4.0,2.0,38.0
5.0,4.0,193.8,5.0,4.0,126.0,5.0,4.0,341.2,5.0,3.0,187.4,4.0,3.0,715.8,4.0,3.0,100.4
5.0,6.0,276.7,5.0,6.0,163.8,5.0,6.0,417.2,5.0,6.0,47.5,4.0,6.0,241.4,4.0,5.0,47.6
6.0,2.0,85.9,6.0,1.0,75.7,6.0,1.0,352.4,6.0,1.0,27.6,6.0,1.0,880.1,5.0,1.0,380.7
6.0,3.0,139.5,6.0,3.0,81.3,6.0,2.0,208.3,6.0,2.0,16.1,6.0,2.0,475.1,5.0,2.0,243.6
6.0,4.0,57.0,6.0,4.0,27.1,6.0,4.0,127.8,6.0,3.0,49.5,6.0,3.0,970.2,5.0,3.0,492.5
6.0,5.0,152.0,6.0,5.0,70.6,6.0,5.0,217.6,6.0,5.0,18.1,6.0,4.0,267.0,5.0,4.0,135.6
