1,大西 賢,大西 賢.1,2,川上 清人,川上 清人.1,3,津留　浩一郎,津留　浩一郎.1,4,宮下 元胤,宮下 元胤.1,5,今村 暢孝,今村 暢孝.1,6,田中 孝明,田中 孝明.1
2.0,3.0,70.0,1.0,3.0,211.1,1.0,2.0,158.1,1.0,2.0,103.2,1.0,2.0,33.3,1.0,2.0,1416.0
2.0,4.0,83.7,1.0,4.0,155.2,1.0,4.0,95.8,1.0,3.0,87.8,1.0,3.0,26.1,1.0,3.0,1261.0
2.0,5.0,62.0,1.0,5.0,148.3,1.0,5.0,79.7,1.0,5.0,39.2,1.0,4.0,15.6,1.0,4.0,1320.0
2.0,6.0,343.5,1.0,6.0,404.7,1.0,6.0,212.0,1.0,6.0,212.7,1.0,6.0,108.5,1.0,5.0,1123.0
3.0,2.0,107.6,3.0,1.0,255.2,2.0,1.0,254.8,2.0,1.0,161.0,2.0,1.0,63.3,2.0,1.0,2355.0
3.0,4.0,72.1,3.0,4.0,142.1,2.0,4.0,133.8,2.0,3.0,129.2,2.0,3.0,44.7,2.0,3.0,1329.0
3.0,5.0,67.0,3.0,5.0,162.0,2.0,5.0,142.6,2.0,5.0,84.9,2.0,4.0,32.6,2.0,4.0,1539.0
3.0,6.0,313.2,3.0,6.0,339.3,2.0,6.0,254.8,2.0,6.0,208.4,2.0,6.0,182.3,2.0,5.0,1551.0
4.0,2.0,89.1,4.0,1.0,194.5,4.0,1.0,91.1,3.0,1.0,77.4,3.0,1.0,45.0,3.0,1.0,1104.0
4.0,3.0,79.4,4.0,3.0,143.0,4.0,2.0,103.4,3.0,2.0,89.0,3.0,2.0,49.0,3.0,2.0,926.5
4.0,5.0,35.0,4.0,5.0,95.8,4.0,5.0,41.4,3.0,5.0,34.4,3.0,4.0,23.1,3.0,4.0,628.5
4.0,6.0,261.3,4.0,6.0,267.4,4.0,6.0,95.7,3.0,6.0,90.7,3.0,6.0,95.6,3.0,5.0,676.4
5.0,2.0,32.8,5.0,1.0,118.5,5.0,1.0,61.0,5.0,1.0,30.5,4.0,1.0,22.7,4.0,1.0,1492.0
5.0,3.0,30.0,5.0,3.0,113.6,5.0,2.0,76.6,5.0,2.0,49.3,4.0,2.0,32.2,4.0,2.0,1320.0
5.0,4.0,19.7,5.0,4.0,60.9,5.0,4.0,36.8,5.0,3.0,27.6,4.0,3.0,18.2,4.0,3.0,811.1
5.0,6.0,146.3,5.0,6.0,276.5,5.0,6.0,93.6,5.0,6.0,79.0,4.0,6.0,72.2,4.0,5.0,671.7
6.0,2.0,884.5,6.0,1.0,972.5,6.0,1.0,252.9,6.0,1.0,304.0,6.0,1.0,397.3,5.0,1.0,1143.0
6.0,3.0,475.6,6.0,3.0,700.6,6.0,2.0,264.8,6.0,2.0,307.8,6.0,2.0,439.3,5.0,2.0,1123.0
6.0,4.0,451.4,6.0,4.0,605.2,6.0,4.0,163.1,6.0,3.0,210.2,6.0,3.0,271.5,5.0,3.0,772.6
6.0,5.0,463.2,6.0,5.0,804.4,6.0,5.0,136.5,6.0,5.0,176.5,6.0,4.0,227.5,5.0,4.0,614.7
