1,堀之内紀代子,堀之内紀代子.1,2,渡邉　真奈美,渡邉　真奈美.1,3,藤原 菜希,藤原 菜希.1,4,大澤 真菜,大澤 真菜.1,5,寺田 千恵,寺田 千恵.1,6,蜂須 瑞生,蜂須 瑞生.1
2.0,3.0,13.0,1.0,3.0,115.2,1.0,2.0,47.0,1.0,2.0,426.4,1.0,2.0,127.1,1.0,2.0,1020.0
2.0,4.0,65.1,1.0,4.0,295.7,1.0,4.0,64.9,1.0,3.0,337.3,1.0,3.0,50.8,1.0,3.0,688.3
2.0,5.0,16.9,1.0,5.0,129.3,1.0,5.0,17.1,1.0,5.0,290.0,1.0,4.0,237.8,1.0,4.0,1708.0
2.0,6.0,49.2,1.0,6.0,308.7,1.0,6.0,42.4,1.0,6.0,470.3,1.0,6.0,84.6,1.0,5.0,527.7
3.0,2.0,8.7,3.0,1.0,206.9,2.0,1.0,143.2,2.0,1.0,762.9,2.0,1.0,350.9,2.0,1.0,1623.0
3.0,4.0,21.8,3.0,4.0,843.6,2.0,4.0,505.3,2.0,3.0,1256.0,2.0,3.0,550.5,2.0,3.0,2684.0
3.0,5.0,4.3,3.0,5.0,349.3,2.0,5.0,172.4,2.0,5.0,1135.0,2.0,4.0,1230.0,2.0,4.0,2861.0
3.0,6.0,15.1,3.0,6.0,890.0,2.0,6.0,430.7,2.0,6.0,1402.0,2.0,6.0,740.9,2.0,5.0,2495.0
4.0,2.0,110.3,4.0,1.0,772.8,4.0,1.0,204.9,3.0,1.0,487.7,3.0,1.0,75.6,3.0,1.0,946.5
4.0,3.0,69.1,4.0,3.0,1356.0,4.0,2.0,486.0,3.0,2.0,1080.0,3.0,2.0,330.6,3.0,2.0,2479.0
4.0,5.0,71.7,4.0,5.0,1409.0,4.0,5.0,214.5,3.0,5.0,609.7,3.0,4.0,442.7,3.0,4.0,2710.0
4.0,6.0,129.8,4.0,6.0,1773.0,4.0,6.0,381.7,3.0,6.0,1021.0,3.0,6.0,181.2,3.0,5.0,902.7
5.0,2.0,21.5,5.0,1.0,286.9,5.0,1.0,37.9,5.0,1.0,320.5,4.0,1.0,489.6,4.0,1.0,2420.0
5.0,3.0,9.2,5.0,3.0,487.5,5.0,2.0,135.8,5.0,2.0,746.3,4.0,2.0,1033.0,4.0,2.0,2989.0
5.0,4.0,58.1,5.0,4.0,1263.0,5.0,4.0,175.7,5.0,3.0,535.1,4.0,3.0,699.3,4.0,3.0,3147.0
5.0,6.0,20.7,5.0,6.0,1105.0,5.0,6.0,78.2,5.0,6.0,413.1,4.0,6.0,562.2,4.0,5.0,1891.0
6.0,2.0,122.3,6.0,1.0,922.6,6.0,1.0,214.0,6.0,1.0,965.8,6.0,1.0,184.3,5.0,1.0,610.4
6.0,3.0,73.9,6.0,3.0,1900.0,6.0,2.0,597.8,6.0,2.0,1500.0,6.0,2.0,534.9,5.0,2.0,1860.0
6.0,4.0,196.6,6.0,4.0,2380.0,6.0,4.0,648.5,6.0,3.0,1510.0,6.0,3.0,250.8,5.0,3.0,801.2
6.0,5.0,68.9,6.0,5.0,1680.0,6.0,5.0,211.0,6.0,5.0,797.8,6.0,4.0,571.0,5.0,4.0,1558.0
