1,高井 雄基,高井 雄基.1,2,胡本 悟志,胡本 悟志.1,3,角 ひとみ,角 ひとみ.1,4,大塚 浩二,大塚 浩二.1,5,丸岡 正典,丸岡 正典.1,6,石原 翼,石原 翼.1
2.0,3.0,47.0,1.0,3.0,299.2,1.0,2.0,332.9,1.0,2.0,428.9,1.0,2.0,39.3,1.0,2.0,314.7
2.0,4.0,68.4,1.0,4.0,327.4,1.0,4.0,355.0,1.0,3.0,609.0,1.0,3.0,26.7,1.0,3.0,272.0
2.0,5.0,21.7,1.0,5.0,194.8,1.0,5.0,96.1,1.0,5.0,178.8,1.0,4.0,53.6,1.0,4.0,403.5
2.0,6.0,53.9,1.0,6.0,342.7,1.0,6.0,172.3,1.0,6.0,244.5,1.0,6.0,12.8,1.0,5.0,84.6
3.0,2.0,46.7,3.0,1.0,567.1,2.0,1.0,583.0,2.0,1.0,860.6,2.0,1.0,134.7,2.0,1.0,761.3
3.0,4.0,55.5,3.0,4.0,1171.0,2.0,4.0,885.6,2.0,3.0,1516.0,2.0,3.0,302.2,2.0,3.0,1207.0
3.0,5.0,12.5,3.0,5.0,812.9,2.0,5.0,710.7,2.0,5.0,674.4,2.0,4.0,325.3,2.0,4.0,1160.0
3.0,6.0,27.7,3.0,6.0,1164.0,2.0,6.0,958.5,2.0,6.0,912.2,2.0,6.0,144.0,2.0,5.0,510.1
4.0,2.0,89.8,4.0,1.0,722.4,4.0,1.0,809.6,3.0,1.0,1196.0,3.0,1.0,83.4,3.0,1.0,504.9
4.0,3.0,97.7,4.0,3.0,1337.0,4.0,2.0,1196.0,3.0,2.0,1858.0,3.0,2.0,277.8,3.0,2.0,1306.0
4.0,5.0,37.5,4.0,5.0,695.7,4.0,5.0,767.2,3.0,5.0,1310.0,3.0,4.0,289.1,3.0,4.0,1337.0
4.0,6.0,64.7,4.0,6.0,947.1,4.0,6.0,963.2,3.0,6.0,1413.0,3.0,6.0,102.9,3.0,5.0,440.8
5.0,2.0,14.9,5.0,1.0,255.0,5.0,1.0,131.5,5.0,1.0,152.9,4.0,1.0,100.0,4.0,1.0,515.4
5.0,3.0,9.2,5.0,3.0,577.9,5.0,2.0,497.3,5.0,2.0,344.5,4.0,2.0,244.9,4.0,2.0,1061.0
5.0,4.0,23.8,5.0,4.0,566.3,5.0,4.0,402.3,5.0,3.0,438.4,4.0,3.0,300.1,4.0,3.0,1188.0
5.0,6.0,6.7,5.0,6.0,285.6,5.0,6.0,155.6,5.0,6.0,104.2,4.0,6.0,80.6,4.0,5.0,327.4
6.0,2.0,83.9,6.0,1.0,788.6,6.0,1.0,314.4,6.0,1.0,315.9,6.0,1.0,19.7,5.0,1.0,74.9
6.0,3.0,51.8,6.0,3.0,1328.0,6.0,2.0,979.9,6.0,2.0,657.6,6.0,2.0,60.6,5.0,2.0,223.4
6.0,4.0,87.7,6.0,4.0,1118.0,6.0,4.0,621.5,6.0,3.0,637.5,6.0,3.0,52.2,5.0,3.0,218.0
6.0,5.0,22.2,6.0,5.0,478.7,6.0,5.0,237.6,6.0,5.0,167.6,6.0,4.0,59.7,5.0,4.0,211.4
