1,植田 太一,植田 太一.1,2,安河内 将,安河内 将.1,3,丸岡 正典,丸岡 正典.1,4,大野 芳顕,大野 芳顕.1,5,坂東 満,坂東 満.1,6,池田 雷太,池田 雷太.1
2.0,3.0,4.7,1.0,3.0,14.9,1.0,2.0,41.2,1.0,2.0,68.7,1.0,2.0,367.6,1.0,2.0,1135.0
2.0,4.0,6.1,1.0,4.0,15.9,1.0,4.0,49.6,1.0,3.0,136.2,1.0,3.0,499.3,1.0,3.0,2181.0
2.0,5.0,26.3,1.0,5.0,65.1,1.0,5.0,100.7,1.0,5.0,153.7,1.0,4.0,481.7,1.0,4.0,2118.0
2.0,6.0,62.3,1.0,6.0,116.6,1.0,6.0,197.3,1.0,6.0,233.7,1.0,6.0,917.7,1.0,5.0,2659.0
3.0,2.0,8.6,3.0,1.0,34.7,2.0,1.0,56.5,2.0,1.0,90.7,2.0,1.0,611.8,2.0,1.0,1412.0
3.0,4.0,14.5,3.0,4.0,49.9,2.0,4.0,80.8,2.0,3.0,183.8,2.0,3.0,1111.0,2.0,3.0,2580.0
3.0,5.0,40.7,3.0,5.0,176.5,2.0,5.0,225.5,2.0,5.0,237.8,2.0,4.0,951.2,2.0,4.0,2787.0
3.0,6.0,94.4,3.0,6.0,265.8,2.0,6.0,339.3,2.0,6.0,340.2,2.0,6.0,1424.0,2.0,5.0,2714.0
4.0,2.0,14.3,4.0,1.0,51.3,4.0,1.0,120.5,3.0,1.0,253.2,3.0,1.0,843.4,3.0,1.0,2530.0
4.0,3.0,25.4,4.0,3.0,95.3,4.0,2.0,149.3,3.0,2.0,276.8,3.0,2.0,1262.0,3.0,2.0,2458.0
4.0,5.0,49.6,4.0,5.0,238.6,4.0,5.0,337.1,3.0,5.0,599.8,3.0,4.0,1848.0,3.0,4.0,3452.0
4.0,6.0,92.6,4.0,6.0,304.6,4.0,6.0,495.5,3.0,6.0,782.6,3.0,6.0,2237.0,3.0,5.0,3777.0
5.0,2.0,77.5,5.0,1.0,275.9,5.0,1.0,392.8,5.0,1.0,213.0,4.0,1.0,556.9,4.0,1.0,2380.0
5.0,3.0,102.7,5.0,3.0,410.1,5.0,2.0,546.9,5.0,2.0,295.8,4.0,2.0,836.7,4.0,2.0,2758.0
5.0,4.0,122.8,5.0,4.0,530.8,5.0,4.0,795.8,5.0,3.0,499.7,4.0,3.0,1353.0,4.0,3.0,3197.0
5.0,6.0,252.3,5.0,6.0,965.3,5.0,6.0,1187.0,5.0,6.0,398.8,4.0,6.0,985.3,4.0,5.0,2632.0
6.0,2.0,289.4,6.0,1.0,641.9,6.0,1.0,972.5,6.0,1.0,644.3,6.0,1.0,1841.0,5.0,1.0,2928.0
6.0,3.0,419.3,6.0,3.0,1028.0,6.0,2.0,1226.0,6.0,2.0,801.9,6.0,2.0,2162.0,5.0,2.0,3013.0
6.0,4.0,401.5,6.0,4.0,952.9,6.0,4.0,1493.0,6.0,3.0,1274.0,6.0,3.0,2276.0,5.0,3.0,3407.0
6.0,5.0,548.7,6.0,5.0,1654.0,6.0,5.0,1829.0,6.0,5.0,897.2,6.0,4.0,1916.0,5.0,4.0,2555.0
