1,北山 康介,北山 康介.1,2,真庭 明志,真庭 明志.1,3,野末 智一,野末 智一.1,4,阪本 勇介,阪本 勇介.1,5,深山 祐二,深山 祐二.1,6,檀 将太,檀 将太.1
2.0,3.0,5.1,1.0,3.0,32.6,1.0,2.0,93.0,1.0,2.0,45.9,1.0,2.0,377.9,1.0,2.0,361.6
2.0,4.0,6.0,1.0,4.0,42.6,1.0,4.0,140.8,1.0,3.0,79.8,1.0,3.0,604.7,1.0,3.0,957.5
2.0,5.0,20.6,1.0,5.0,126.4,1.0,5.0,259.4,1.0,5.0,49.7,1.0,4.0,320.1,1.0,4.0,594.9
2.0,6.0,36.6,1.0,6.0,168.9,1.0,6.0,431.5,1.0,6.0,68.7,1.0,6.0,418.4,1.0,5.0,740.6
3.0,2.0,8.6,3.0,1.0,66.0,2.0,1.0,138.4,2.0,1.0,100.4,2.0,1.0,672.5,2.0,1.0,706.7
3.0,4.0,12.4,3.0,4.0,127.8,2.0,4.0,273.5,2.0,3.0,213.8,2.0,3.0,1165.0,2.0,3.0,1467.0
3.0,5.0,28.5,3.0,5.0,444.3,2.0,5.0,522.2,2.0,5.0,153.5,2.0,4.0,827.5,2.0,4.0,978.5
3.0,6.0,56.0,3.0,6.0,661.4,2.0,6.0,779.3,2.0,6.0,189.2,2.0,6.0,1142.0,2.0,5.0,1382.0
4.0,2.0,12.6,4.0,1.0,111.9,4.0,1.0,285.0,3.0,1.0,235.7,3.0,1.0,1237.0,3.0,1.0,1648.0
4.0,3.0,18.7,4.0,3.0,216.9,4.0,2.0,411.2,3.0,2.0,297.9,3.0,2.0,1711.0,3.0,2.0,2139.0
4.0,5.0,29.1,4.0,5.0,453.3,4.0,5.0,674.7,3.0,5.0,424.6,3.0,4.0,1803.0,3.0,4.0,2185.0
4.0,6.0,45.1,4.0,6.0,448.3,4.0,6.0,863.0,3.0,6.0,548.6,3.0,6.0,2452.0,3.0,5.0,2935.0
5.0,2.0,64.9,5.0,1.0,500.2,5.0,1.0,718.1,5.0,1.0,73.7,4.0,1.0,260.8,4.0,1.0,714.3
5.0,3.0,91.9,5.0,3.0,820.7,5.0,2.0,895.6,5.0,2.0,106.2,4.0,2.0,407.0,4.0,2.0,801.1
5.0,4.0,76.1,5.0,4.0,807.5,5.0,4.0,1033.0,5.0,3.0,238.2,4.0,3.0,768.9,4.0,3.0,1803.0
5.0,6.0,134.2,5.0,6.0,1358.0,5.0,6.0,1546.0,5.0,6.0,99.2,4.0,6.0,366.9,4.0,5.0,1002.0
6.0,2.0,120.1,6.0,1.0,669.1,6.0,1.0,1293.0,6.0,1.0,148.9,6.0,1.0,909.8,5.0,1.0,1803.0
6.0,3.0,188.2,6.0,3.0,1211.0,6.0,2.0,1595.0,6.0,2.0,201.9,6.0,2.0,1506.0,5.0,2.0,2185.0
6.0,4.0,139.4,6.0,4.0,937.4,6.0,4.0,1811.0,6.0,3.0,400.9,6.0,3.0,2010.0,5.0,3.0,2717.0
6.0,5.0,207.0,6.0,5.0,1870.0,6.0,5.0,2272.0,6.0,5.0,170.7,6.0,4.0,990.5,5.0,4.0,1280.0
