1,堤 昇,堤 昇.1,2,向井田　佑紀,向井田　佑紀.1,3,赤峰 和也,赤峰 和也.1,4,栗原 謙治,栗原 謙治.1,5,若林 義人,若林 義人.1,6,間嶋 仁志,間嶋 仁志.1
2.0,3.0,56.9,1.0,3.0,99.5,1.0,2.0,292.7,1.0,2.0,757.5,1.0,2.0,22.7,1.0,2.0,44.4
2.0,4.0,86.3,1.0,4.0,159.4,1.0,4.0,386.4,1.0,3.0,907.4,1.0,3.0,86.4,1.0,3.0,189.7
2.0,5.0,9.9,1.0,5.0,23.4,1.0,5.0,262.8,1.0,5.0,686.5,1.0,4.0,111.6,1.0,4.0,179.8
2.0,6.0,13.6,1.0,6.0,32.0,1.0,6.0,334.1,1.0,6.0,777.2,1.0,6.0,17.5,1.0,5.0,39.3
3.0,2.0,141.9,3.0,1.0,312.8,2.0,1.0,404.4,2.0,1.0,975.2,2.0,1.0,35.2,2.0,1.0,74.7
3.0,4.0,248.1,3.0,4.0,604.9,2.0,4.0,621.1,2.0,3.0,1209.0,2.0,3.0,137.5,2.0,3.0,278.0
3.0,5.0,123.3,3.0,5.0,308.7,2.0,5.0,436.1,2.0,5.0,931.7,2.0,4.0,166.6,2.0,4.0,290.4
3.0,6.0,154.1,3.0,6.0,374.6,2.0,6.0,537.8,2.0,6.0,855.3,2.0,6.0,36.0,2.0,5.0,70.7
4.0,2.0,285.6,4.0,1.0,515.3,4.0,1.0,430.7,3.0,1.0,925.5,3.0,1.0,259.7,3.0,1.0,422.0
4.0,3.0,330.7,4.0,3.0,768.7,4.0,2.0,446.9,3.0,2.0,952.9,3.0,2.0,331.0,3.0,2.0,506.5
4.0,5.0,225.9,4.0,5.0,481.4,4.0,5.0,505.3,3.0,5.0,942.2,3.0,4.0,537.8,3.0,4.0,619.2
4.0,6.0,254.6,4.0,6.0,475.9,4.0,6.0,530.3,3.0,6.0,1000.0,3.0,6.0,261.3,3.0,5.0,375.7
5.0,2.0,10.5,5.0,1.0,35.7,5.0,1.0,410.0,5.0,1.0,933.7,4.0,1.0,427.2,4.0,1.0,543.4
5.0,3.0,51.8,5.0,3.0,136.0,5.0,2.0,473.2,5.0,2.0,1213.0,4.0,2.0,522.4,4.0,2.0,630.5
5.0,4.0,68.1,5.0,4.0,178.1,5.0,4.0,756.1,5.0,3.0,1444.0,4.0,3.0,712.2,4.0,3.0,808.9
5.0,6.0,10.3,5.0,6.0,36.7,5.0,6.0,486.4,5.0,6.0,810.4,4.0,6.0,341.2,4.0,5.0,454.6
6.0,2.0,19.8,6.0,1.0,63.0,6.0,1.0,645.1,6.0,1.0,1213.0,6.0,1.0,26.9,5.0,1.0,51.8
6.0,3.0,84.0,6.0,3.0,199.0,6.0,2.0,668.9,6.0,2.0,1013.0,6.0,2.0,36.2,5.0,2.0,66.8
6.0,4.0,94.9,6.0,4.0,223.8,6.0,4.0,858.8,6.0,3.0,1410.0,6.0,3.0,111.7,5.0,3.0,197.2
6.0,5.0,16.8,6.0,5.0,52.9,6.0,5.0,586.2,6.0,5.0,799.6,6.0,4.0,114.0,5.0,4.0,186.5
