1,古賀 繁輝,古賀 繁輝.1,2,久田 敏之,久田 敏之.1,3,羽野 直也,羽野 直也.1,4,赤坂 俊輔,赤坂 俊輔.1,5,春園 功太,春園 功太.1,6,篠崎 仁志,篠崎 仁志.1
2.0,3.0,7.7,1.0,3.0,37.0,1.0,2.0,33.2,1.0,2.0,208.0,1.0,2.0,159.1,1.0,2.0,572.2
2.0,4.0,16.8,1.0,4.0,62.9,1.0,4.0,35.8,1.0,3.0,215.5,1.0,3.0,104.5,1.0,3.0,504.7
2.0,5.0,19.9,1.0,5.0,79.7,1.0,5.0,33.0,1.0,5.0,279.5,1.0,4.0,304.3,1.0,4.0,958.0
2.0,6.0,26.7,1.0,6.0,97.6,1.0,6.0,48.2,1.0,6.0,289.5,1.0,6.0,157.6,1.0,5.0,680.4
3.0,2.0,8.8,3.0,1.0,80.1,2.0,1.0,76.0,2.0,1.0,326.1,2.0,1.0,340.2,2.0,1.0,825.0
3.0,4.0,12.1,3.0,4.0,126.0,2.0,4.0,107.8,2.0,3.0,391.9,2.0,3.0,464.5,2.0,3.0,806.7
3.0,5.0,11.9,3.0,5.0,164.4,2.0,5.0,134.9,2.0,5.0,494.4,2.0,4.0,834.5,2.0,4.0,1485.0
3.0,6.0,17.7,3.0,6.0,165.4,2.0,6.0,123.9,2.0,6.0,437.3,2.0,6.0,462.3,2.0,5.0,1323.0
4.0,2.0,37.2,4.0,1.0,191.7,4.0,1.0,107.9,3.0,1.0,307.2,3.0,1.0,198.8,3.0,1.0,622.3
4.0,3.0,31.5,4.0,3.0,235.6,4.0,2.0,153.1,3.0,2.0,406.7,3.0,2.0,451.5,3.0,2.0,820.4
4.0,5.0,51.2,4.0,5.0,373.8,4.0,5.0,158.4,3.0,5.0,475.8,3.0,4.0,539.3,3.0,4.0,1228.0
4.0,6.0,57.4,4.0,6.0,322.1,4.0,6.0,162.8,3.0,6.0,428.9,3.0,6.0,384.7,3.0,5.0,1070.0
5.0,2.0,36.0,5.0,1.0,266.7,5.0,1.0,80.2,5.0,1.0,442.6,4.0,1.0,672.6,4.0,1.0,1367.0
5.0,3.0,26.6,5.0,3.0,361.8,5.0,2.0,163.9,5.0,2.0,609.3,4.0,2.0,958.0,4.0,2.0,1664.0
5.0,4.0,64.4,5.0,4.0,561.1,5.0,4.0,185.8,5.0,3.0,565.5,4.0,3.0,782.9,4.0,3.0,1524.0
5.0,6.0,47.8,5.0,6.0,463.7,5.0,6.0,139.2,5.0,6.0,488.6,4.0,6.0,772.5,4.0,5.0,1831.0
6.0,2.0,87.2,6.0,1.0,400.6,6.0,1.0,185.5,6.0,1.0,584.8,6.0,1.0,321.8,5.0,1.0,748.7
6.0,3.0,73.9,6.0,3.0,472.8,6.0,2.0,304.3,6.0,2.0,713.8,6.0,2.0,544.3,5.0,2.0,1250.0
6.0,4.0,113.2,6.0,4.0,754.5,6.0,4.0,356.4,6.0,3.0,795.7,6.0,3.0,503.8,5.0,3.0,1090.0
6.0,5.0,109.0,6.0,5.0,844.2,6.0,5.0,303.7,6.0,5.0,768.4,6.0,4.0,851.6,5.0,4.0,1609.0
