1,大田 直弥,大田 直弥.1,2,北野 輝季,北野 輝季.1,3,森野 正弘,森野 正弘.1,4,井手 良太,井手 良太.1,5,佐々木　完太,佐々木　完太.1,6,松田 竜馬,松田 竜馬.1
2.0,3.0,14.1,1.0,3.0,18.4,1.0,2.0,30.0,1.0,2.0,294.8,1.0,2.0,105.6,1.0,2.0,840.9
2.0,4.0,51.6,1.0,4.0,66.8,1.0,4.0,89.6,1.0,3.0,330.5,1.0,3.0,90.2,1.0,3.0,816.8
2.0,5.0,22.4,1.0,5.0,24.8,1.0,5.0,27.6,1.0,5.0,308.2,1.0,4.0,322.2,1.0,4.0,1806.0
2.0,6.0,63.7,1.0,6.0,68.8,1.0,6.0,65.9,1.0,6.0,536.5,1.0,6.0,205.0,1.0,5.0,1165.0
3.0,2.0,16.0,3.0,1.0,21.6,2.0,1.0,33.7,2.0,1.0,373.8,2.0,1.0,106.1,2.0,1.0,1100.0
3.0,4.0,51.1,3.0,4.0,53.9,2.0,4.0,71.8,2.0,3.0,278.7,2.0,3.0,60.6,2.0,3.0,884.4
3.0,5.0,18.6,3.0,5.0,15.2,2.0,5.0,18.6,2.0,5.0,309.7,2.0,4.0,308.2,2.0,4.0,1357.0
3.0,6.0,58.8,3.0,6.0,49.9,2.0,6.0,60.2,2.0,6.0,534.3,2.0,6.0,168.8,2.0,5.0,946.4
4.0,2.0,107.4,4.0,1.0,185.1,4.0,1.0,160.0,3.0,1.0,389.8,3.0,1.0,92.8,3.0,1.0,942.9
4.0,3.0,114.6,4.0,3.0,145.7,4.0,2.0,128.5,3.0,2.0,271.1,3.0,2.0,60.3,3.0,2.0,857.8
4.0,5.0,180.5,4.0,5.0,151.5,4.0,5.0,102.8,3.0,5.0,253.7,3.0,4.0,219.4,3.0,4.0,1644.0
4.0,6.0,253.7,4.0,6.0,283.7,4.0,6.0,182.5,3.0,6.0,552.7,3.0,6.0,129.4,3.0,5.0,630.2
5.0,2.0,42.6,5.0,1.0,50.2,5.0,1.0,43.3,5.0,1.0,423.9,4.0,1.0,406.4,4.0,1.0,2137.0
5.0,3.0,38.9,5.0,3.0,31.0,5.0,2.0,24.8,5.0,2.0,360.7,4.0,2.0,436.9,4.0,2.0,1371.0
5.0,4.0,175.5,5.0,4.0,135.9,5.0,4.0,84.3,5.0,3.0,286.5,4.0,3.0,315.8,4.0,3.0,2490.0
5.0,6.0,123.4,5.0,6.0,102.6,5.0,6.0,39.8,5.0,6.0,428.2,4.0,6.0,509.9,4.0,5.0,2374.0
6.0,2.0,257.0,6.0,1.0,341.5,6.0,1.0,232.9,6.0,1.0,1073.0,6.0,1.0,435.4,5.0,1.0,1328.0
6.0,3.0,241.7,6.0,3.0,241.5,6.0,2.0,204.3,6.0,2.0,922.6,6.0,2.0,343.8,5.0,2.0,1030.0
6.0,4.0,511.9,6.0,4.0,572.5,6.0,4.0,338.8,6.0,3.0,1187.0,6.0,3.0,280.0,5.0,3.0,720.4
6.0,5.0,323.0,6.0,5.0,251.2,6.0,5.0,138.4,6.0,5.0,939.5,6.0,4.0,819.4,5.0,4.0,1973.0
