1,山田 哲也,山田 哲也.1,2,西川　新太郎,西川　新太郎.1,3,松井 賢治,松井 賢治.1,4,屋良 龍紀,屋良 龍紀.1,5,桑原 啓,桑原 啓.1,6,佃 來紀,佃 來紀.1
2.0,3.0,3.6,1.0,3.0,54.2,1.0,2.0,58.0,1.0,2.0,266.6,1.0,2.0,551.3,1.0,2.0,334.3
2.0,4.0,15.2,1.0,4.0,244.4,1.0,4.0,228.0,1.0,3.0,338.3,1.0,3.0,604.6,1.0,3.0,343.9
2.0,5.0,14.1,1.0,5.0,210.6,1.0,5.0,155.7,1.0,5.0,325.8,1.0,4.0,922.4,1.0,4.0,684.1
2.0,6.0,10.4,1.0,6.0,194.6,1.0,6.0,175.6,1.0,6.0,355.3,1.0,6.0,686.3,1.0,5.0,713.5
3.0,2.0,4.9,3.0,1.0,96.3,2.0,1.0,87.1,2.0,1.0,580.2,2.0,1.0,1015.0,2.0,1.0,659.0
3.0,4.0,19.1,3.0,4.0,605.4,2.0,4.0,533.6,2.0,3.0,1112.0,2.0,3.0,1641.0,2.0,3.0,1027.0
3.0,5.0,13.2,3.0,5.0,565.7,2.0,5.0,408.4,2.0,5.0,1115.0,2.0,4.0,2385.0,2.0,4.0,2095.0
3.0,6.0,11.0,3.0,6.0,546.4,2.0,6.0,450.1,2.0,6.0,1130.0,2.0,6.0,1635.0,2.0,5.0,2248.0
4.0,2.0,40.7,4.0,1.0,757.3,4.0,1.0,779.2,3.0,1.0,768.1,3.0,1.0,1098.0,3.0,1.0,724.3
4.0,3.0,49.0,4.0,3.0,1336.0,4.0,2.0,1081.0,3.0,2.0,1392.0,3.0,2.0,1876.0,3.0,2.0,1324.0
4.0,5.0,84.2,4.0,5.0,1401.0,4.0,5.0,1332.0,3.0,5.0,2055.0,3.0,4.0,3453.0,3.0,4.0,2272.0
4.0,6.0,64.9,4.0,6.0,1308.0,4.0,6.0,1558.0,3.0,6.0,1813.0,3.0,6.0,2803.0,3.0,5.0,2749.0
5.0,2.0,48.4,5.0,1.0,708.8,5.0,1.0,506.6,5.0,1.0,404.9,4.0,1.0,1182.0,4.0,1.0,1258.0
5.0,3.0,49.2,5.0,3.0,1173.0,5.0,2.0,808.4,5.0,2.0,707.7,4.0,2.0,1876.0,4.0,2.0,2017.0
5.0,4.0,122.1,5.0,4.0,2126.0,5.0,4.0,1575.0,5.0,3.0,1081.0,4.0,3.0,2803.0,4.0,3.0,2539.0
5.0,6.0,82.1,5.0,6.0,1558.0,5.0,6.0,1154.0,5.0,6.0,530.9,4.0,6.0,1254.0,4.0,5.0,1821.0
6.0,2.0,30.5,6.0,1.0,577.9,6.0,1.0,647.2,6.0,1.0,618.4,6.0,1.0,1251.0,5.0,1.0,1251.0
6.0,3.0,29.3,6.0,3.0,1040.0,6.0,2.0,910.7,6.0,2.0,987.8,6.0,2.0,2095.0,5.0,2.0,2320.0
6.0,4.0,101.3,6.0,4.0,1868.0,6.0,4.0,1719.0,6.0,3.0,1388.0,6.0,3.0,2524.0,5.0,3.0,2698.0
6.0,5.0,105.1,6.0,5.0,2055.0,6.0,5.0,1754.0,6.0,5.0,817.6,6.0,4.0,1821.0,5.0,4.0,1860.0
