1,本部　めぐみ,本部　めぐみ.1,2,筒井 美琴,筒井 美琴.1,3,神里 琴音,神里 琴音.1,4,角 ひとみ,角 ひとみ.1,5,清水 愛海,清水 愛海.1,6,水口 由紀,水口 由紀.1
2.0,3.0,92.7,1.0,3.0,210.2,1.0,2.0,95.1,1.0,2.0,282.6,1.0,2.0,173.2,1.0,2.0,1149.0
2.0,4.0,150.2,1.0,4.0,304.4,1.0,4.0,28.9,1.0,3.0,82.0,1.0,3.0,40.3,1.0,3.0,658.3
2.0,5.0,117.0,1.0,5.0,324.5,1.0,5.0,19.8,1.0,5.0,72.5,1.0,4.0,47.9,1.0,4.0,653.6
2.0,6.0,269.1,1.0,6.0,676.1,1.0,6.0,82.5,1.0,6.0,140.3,1.0,6.0,54.1,1.0,5.0,637.0
3.0,2.0,71.5,3.0,1.0,175.7,2.0,1.0,134.0,2.0,1.0,459.7,2.0,1.0,320.3,2.0,1.0,1779.0
3.0,4.0,23.0,3.0,4.0,147.2,2.0,4.0,114.1,2.0,3.0,419.8,2.0,3.0,223.1,2.0,3.0,1301.0
3.0,5.0,16.7,3.0,5.0,123.3,2.0,5.0,91.5,2.0,5.0,431.0,2.0,4.0,379.4,2.0,4.0,1768.0
3.0,6.0,59.6,3.0,6.0,363.4,2.0,6.0,250.7,2.0,6.0,615.7,2.0,6.0,406.2,2.0,5.0,1814.0
4.0,2.0,134.0,4.0,1.0,438.5,4.0,1.0,34.1,3.0,1.0,82.7,3.0,1.0,35.6,3.0,1.0,799.5
4.0,3.0,38.1,4.0,3.0,279.4,4.0,2.0,107.5,3.0,2.0,282.9,3.0,2.0,124.7,3.0,2.0,1178.0
4.0,5.0,30.8,4.0,5.0,337.2,4.0,5.0,15.6,3.0,5.0,48.3,3.0,4.0,33.6,3.0,4.0,637.0
4.0,6.0,70.2,4.0,6.0,621.2,4.0,6.0,52.3,3.0,6.0,119.3,3.0,6.0,44.8,3.0,5.0,496.1
5.0,2.0,95.2,5.0,1.0,387.9,5.0,1.0,20.1,5.0,1.0,67.5,4.0,1.0,62.9,4.0,1.0,696.6
5.0,3.0,23.9,5.0,3.0,202.2,5.0,2.0,69.8,5.0,2.0,260.4,4.0,2.0,254.2,4.0,2.0,1301.0
5.0,4.0,27.6,5.0,4.0,341.4,5.0,4.0,14.7,5.0,3.0,52.6,4.0,3.0,50.7,4.0,3.0,656.7
5.0,6.0,40.8,5.0,6.0,577.1,5.0,6.0,30.3,5.0,6.0,66.1,4.0,6.0,50.3,4.0,5.0,394.6
6.0,2.0,528.4,6.0,1.0,1414.0,6.0,1.0,213.0,6.0,1.0,285.2,6.0,1.0,107.8,5.0,1.0,635.6
6.0,3.0,209.1,6.0,3.0,999.4,6.0,2.0,439.9,6.0,2.0,676.1,6.0,2.0,362.4,5.0,2.0,1159.0
6.0,4.0,216.0,6.0,4.0,1301.0,6.0,4.0,153.1,6.0,3.0,252.8,6.0,3.0,100.6,5.0,3.0,440.6
6.0,5.0,136.4,6.0,5.0,1099.0,6.0,5.0,107.0,6.0,5.0,155.2,6.0,4.0,93.5,5.0,4.0,384.1
