1,中島 秀治,中島 秀治.1,2,佐藤 航,佐藤 航.1,3,中野 孝二,中野 孝二.1,4,西丸　侑太朗,西丸　侑太朗.1,5,川辺 郭人,川辺 郭人.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,13.2,1.0,3.0,63.7,1.0,2.0,173.1,1.0,2.0,13.8,1.0,2.0,456.1,1.0,2.0,921.8
2.0,4.0,5.9,1.0,4.0,33.6,1.0,4.0,94.5,1.0,3.0,29.4,1.0,3.0,540.7,1.0,3.0,1200.0
2.0,5.0,51.5,1.0,5.0,173.2,1.0,5.0,264.3,1.0,5.0,22.2,1.0,4.0,278.4,1.0,4.0,656.7
2.0,6.0,93.7,1.0,6.0,320.4,1.0,6.0,553.4,1.0,6.0,55.3,1.0,6.0,959.4,1.0,5.0,1530.0
3.0,2.0,17.7,3.0,1.0,220.0,2.0,1.0,308.8,2.0,1.0,35.4,2.0,1.0,625.8,2.0,1.0,1209.0
3.0,4.0,11.7,3.0,4.0,286.0,2.0,4.0,307.6,2.0,3.0,109.5,2.0,3.0,1239.0,2.0,3.0,2732.0
3.0,5.0,51.6,3.0,5.0,645.7,2.0,5.0,755.7,2.0,5.0,77.7,2.0,4.0,576.3,2.0,4.0,1492.0
3.0,6.0,126.2,3.0,6.0,1391.0,2.0,6.0,1478.0,2.0,6.0,159.4,2.0,6.0,2082.0,2.0,5.0,2860.0
4.0,2.0,5.9,4.0,1.0,76.5,4.0,1.0,131.5,3.0,1.0,86.2,3.0,1.0,686.2,3.0,1.0,2186.0
4.0,3.0,9.1,4.0,3.0,175.5,4.0,2.0,287.3,3.0,2.0,186.6,3.0,2.0,2372.0,3.0,2.0,3091.0
4.0,5.0,25.9,4.0,5.0,319.8,4.0,5.0,388.4,3.0,5.0,166.6,3.0,4.0,874.4,3.0,4.0,2571.0
4.0,6.0,53.8,4.0,6.0,684.7,4.0,6.0,753.8,3.0,6.0,392.8,3.0,6.0,2757.0,3.0,5.0,4027.0
5.0,2.0,160.1,5.0,1.0,592.0,5.0,1.0,623.3,5.0,1.0,37.2,4.0,1.0,253.3,4.0,1.0,715.1
5.0,3.0,166.7,5.0,3.0,1030.0,5.0,2.0,938.8,5.0,2.0,61.1,4.0,2.0,396.9,4.0,2.0,1280.0
5.0,4.0,108.9,5.0,4.0,678.6,5.0,4.0,905.5,5.0,3.0,146.5,4.0,3.0,606.0,4.0,3.0,1924.0
5.0,6.0,319.4,5.0,6.0,2468.0,5.0,6.0,3000.0,5.0,6.0,99.2,4.0,6.0,723.5,4.0,5.0,1443.0
6.0,2.0,347.4,6.0,1.0,1168.0,6.0,1.0,1585.0,6.0,1.0,130.4,6.0,1.0,1569.0,5.0,1.0,1974.0
6.0,3.0,405.9,6.0,3.0,2942.0,6.0,2.0,2807.0,6.0,2.0,200.6,6.0,2.0,2448.0,5.0,2.0,3221.0
6.0,4.0,225.7,6.0,4.0,1672.0,6.0,4.0,2661.0,6.0,3.0,379.7,6.0,3.0,2782.0,5.0,3.0,3326.0
6.0,5.0,461.6,6.0,5.0,2684.0,6.0,5.0,4027.0,6.0,5.0,158.4,6.0,4.0,1410.0,5.0,4.0,1987.0
