1,飛田 江己,飛田 江己.1,2,岩下 巧斗,岩下 巧斗.1,3,砂長 知輝,砂長 知輝.1,4,山本　稔太朗,山本　稔太朗.1,5,大森 翼,大森 翼.1,6,篠原 飛翔,篠原 飛翔.1
2.0,3.0,17.2,1.0,3.0,171.3,1.0,2.0,60.9,1.0,2.0,374.4,1.0,2.0,325.6,1.0,2.0,495.3
2.0,4.0,36.3,1.0,4.0,309.9,1.0,4.0,21.3,1.0,3.0,171.9,1.0,3.0,164.7,1.0,3.0,213.1
2.0,5.0,48.7,1.0,5.0,323.7,1.0,5.0,33.3,1.0,5.0,296.0,1.0,4.0,359.8,1.0,4.0,566.6
2.0,6.0,44.7,1.0,6.0,286.9,1.0,6.0,29.0,1.0,6.0,232.3,1.0,6.0,191.8,1.0,5.0,485.5
3.0,2.0,11.0,3.0,1.0,313.4,2.0,1.0,213.0,2.0,1.0,763.6,2.0,1.0,783.5,2.0,1.0,1115.0
3.0,4.0,5.5,3.0,4.0,706.5,2.0,4.0,434.5,2.0,3.0,1113.0,2.0,3.0,1128.0,2.0,3.0,1754.0
3.0,5.0,9.3,3.0,5.0,723.5,2.0,5.0,442.0,2.0,5.0,1257.0,2.0,4.0,1527.0,2.0,4.0,2211.0
3.0,6.0,7.5,3.0,6.0,732.3,2.0,6.0,434.2,2.0,6.0,1187.0,2.0,6.0,959.8,2.0,5.0,1816.0
4.0,2.0,45.9,4.0,1.0,751.5,4.0,1.0,56.7,3.0,1.0,229.3,3.0,1.0,260.1,3.0,1.0,369.4
4.0,3.0,14.9,4.0,3.0,1011.0,4.0,2.0,308.7,3.0,2.0,854.4,3.0,2.0,822.5,3.0,2.0,1355.0
4.0,5.0,44.4,4.0,5.0,1314.0,4.0,5.0,152.7,3.0,5.0,475.4,3.0,4.0,689.6,3.0,4.0,893.6
4.0,6.0,31.9,4.0,6.0,1144.0,4.0,6.0,109.9,3.0,6.0,360.2,3.0,6.0,405.9,3.0,5.0,918.5
5.0,2.0,60.8,5.0,1.0,830.8,5.0,1.0,99.2,5.0,1.0,360.2,4.0,1.0,686.0,4.0,1.0,988.5
5.0,3.0,25.6,5.0,3.0,1166.0,5.0,2.0,313.5,5.0,2.0,826.6,4.0,2.0,1276.0,4.0,2.0,1945.0
5.0,4.0,46.4,5.0,4.0,1731.0,5.0,4.0,208.3,5.0,3.0,539.8,4.0,3.0,865.6,4.0,3.0,1168.0
5.0,6.0,33.6,5.0,6.0,1250.0,5.0,6.0,142.8,5.0,6.0,438.5,4.0,6.0,733.1,4.0,5.0,1534.0
6.0,2.0,76.3,6.0,1.0,768.9,6.0,1.0,111.0,6.0,1.0,412.8,6.0,1.0,289.8,5.0,1.0,628.6
6.0,3.0,29.7,6.0,3.0,1366.0,6.0,2.0,386.0,6.0,2.0,1049.0,6.0,2.0,725.9,5.0,2.0,1466.0
6.0,4.0,65.4,6.0,4.0,1722.0,6.0,4.0,197.6,6.0,3.0,568.1,6.0,3.0,479.2,5.0,3.0,988.5
6.0,5.0,70.4,6.0,5.0,1431.0,6.0,5.0,211.5,6.0,5.0,623.3,6.0,4.0,758.4,5.0,4.0,1506.0
