1,真庭 明志,真庭 明志.1,2,永田 啓二,永田 啓二.1,3,高濱 芳久,高濱 芳久.1,4,佐藤 旭,佐藤 旭.1,5,鈴木 峻佑,鈴木 峻佑.1,6,中川 りな,中川 りな.1
2.0,3.0,6.6,1.0,3.0,10.1,1.0,2.0,129.1,1.0,2.0,119.1,1.0,2.0,177.3,1.0,2.0,209.7
2.0,4.0,7.2,1.0,4.0,8.7,1.0,4.0,282.8,1.0,3.0,324.0,1.0,3.0,391.7,1.0,3.0,596.4
2.0,5.0,17.0,1.0,5.0,21.6,1.0,5.0,340.5,1.0,5.0,356.4,1.0,4.0,445.9,1.0,4.0,536.6
2.0,6.0,16.4,1.0,6.0,18.3,1.0,6.0,363.0,1.0,6.0,284.5,1.0,6.0,279.2,1.0,5.0,641.8
3.0,2.0,20.6,3.0,1.0,42.8,2.0,1.0,136.4,2.0,1.0,128.4,2.0,1.0,203.7,2.0,1.0,240.1
3.0,4.0,48.1,3.0,4.0,63.6,2.0,4.0,199.6,2.0,3.0,311.6,2.0,3.0,371.1,2.0,3.0,556.2
3.0,5.0,85.7,3.0,5.0,95.5,2.0,5.0,256.8,2.0,5.0,259.5,2.0,4.0,394.4,2.0,4.0,469.8
3.0,6.0,85.7,3.0,6.0,96.6,2.0,6.0,282.2,2.0,6.0,257.3,2.0,6.0,293.8,2.0,5.0,541.7
4.0,2.0,25.9,4.0,1.0,36.1,4.0,1.0,643.9,3.0,1.0,619.7,3.0,1.0,819.9,3.0,1.0,1023.0
4.0,3.0,63.3,4.0,3.0,76.4,4.0,2.0,428.6,3.0,2.0,409.9,3.0,2.0,465.3,3.0,2.0,795.2
4.0,5.0,115.2,4.0,5.0,112.6,4.0,5.0,804.9,3.0,5.0,745.8,3.0,4.0,1064.0,3.0,4.0,1466.0
4.0,6.0,84.1,4.0,6.0,69.7,4.0,6.0,781.1,3.0,6.0,1161.0,3.0,6.0,729.3,3.0,5.0,1002.0
5.0,2.0,56.5,5.0,1.0,81.2,5.0,1.0,806.6,5.0,1.0,495.6,4.0,1.0,884.0,4.0,1.0,880.1
5.0,3.0,122.0,5.0,3.0,146.7,5.0,2.0,535.1,5.0,2.0,394.8,4.0,2.0,605.5,4.0,2.0,681.6
5.0,4.0,160.6,5.0,4.0,173.7,5.0,4.0,1042.0,5.0,3.0,938.4,4.0,3.0,1257.0,4.0,3.0,1565.0
5.0,6.0,133.0,5.0,6.0,144.0,5.0,6.0,655.7,5.0,6.0,509.7,4.0,6.0,874.2,4.0,5.0,1351.0
6.0,2.0,66.0,6.0,1.0,83.5,6.0,1.0,923.1,6.0,1.0,448.0,6.0,1.0,480.6,5.0,1.0,779.6
6.0,3.0,176.9,6.0,3.0,184.2,6.0,2.0,741.6,6.0,2.0,391.3,6.0,2.0,425.8,5.0,2.0,660.0
6.0,4.0,163.2,6.0,4.0,157.7,6.0,4.0,1249.0,6.0,3.0,949.7,6.0,3.0,530.8,5.0,3.0,908.3
6.0,5.0,168.8,6.0,5.0,208.8,6.0,5.0,781.1,6.0,5.0,657.8,6.0,4.0,870.4,5.0,4.0,1277.0
