1,前沢 丈史,前沢 丈史.1,2,冨田 秀幸,冨田 秀幸.1,3,平野 和明,平野 和明.1,4,大澤 大夢,大澤 大夢.1,5,西村 秀樹,西村 秀樹.1,6,赤羽 克也,赤羽 克也.1
2.0,3.0,9.2,1.0,3.0,108.9,1.0,2.0,62.9,1.0,2.0,157.9,1.0,2.0,933.9,1.0,2.0,186.6
2.0,4.0,18.6,1.0,4.0,159.6,1.0,4.0,45.0,1.0,3.0,104.9,1.0,3.0,868.0,1.0,3.0,92.8
2.0,5.0,69.8,1.0,5.0,344.1,1.0,5.0,111.9,1.0,5.0,232.4,1.0,4.0,1109.0,1.0,4.0,161.2
2.0,6.0,15.8,1.0,6.0,166.7,1.0,6.0,35.9,1.0,6.0,105.6,1.0,6.0,911.9,1.0,5.0,393.0
3.0,2.0,7.9,3.0,1.0,213.0,2.0,1.0,195.9,2.0,1.0,355.4,2.0,1.0,1381.0,2.0,1.0,465.3
3.0,4.0,7.6,3.0,4.0,665.4,2.0,4.0,437.5,2.0,3.0,739.9,2.0,3.0,2792.0,2.0,3.0,481.9
3.0,5.0,38.1,3.0,5.0,1162.0,2.0,5.0,652.6,2.0,5.0,1010.0,2.0,4.0,2735.0,2.0,4.0,765.0
3.0,6.0,6.8,3.0,6.0,491.5,2.0,6.0,297.2,2.0,6.0,558.4,2.0,6.0,2629.0,2.0,5.0,1396.0
4.0,2.0,23.7,4.0,1.0,365.0,4.0,1.0,127.6,3.0,1.0,192.0,3.0,1.0,1479.0,3.0,1.0,144.4
4.0,3.0,14.3,4.0,3.0,862.5,4.0,2.0,400.0,3.0,2.0,590.0,3.0,2.0,3186.0,3.0,2.0,347.2
4.0,5.0,67.0,4.0,5.0,1354.0,4.0,5.0,563.0,3.0,5.0,946.9,3.0,4.0,2976.0,3.0,4.0,404.8
4.0,6.0,17.4,4.0,6.0,731.9,4.0,6.0,178.6,3.0,6.0,345.0,3.0,6.0,2579.0,3.0,5.0,830.7
5.0,2.0,175.5,5.0,1.0,946.9,5.0,1.0,505.2,5.0,1.0,425.1,4.0,1.0,1417.0,4.0,1.0,413.4
5.0,3.0,142.0,5.0,3.0,2238.0,5.0,2.0,882.1,5.0,2.0,787.3,4.0,2.0,2067.0,4.0,2.0,843.7
5.0,4.0,179.7,5.0,4.0,2334.0,5.0,4.0,841.1,5.0,3.0,1010.0,4.0,3.0,2375.0,4.0,3.0,625.4
5.0,6.0,151.9,5.0,6.0,1893.0,5.0,6.0,696.2,5.0,6.0,584.9,4.0,6.0,1692.0,4.0,5.0,1187.0
6.0,2.0,27.0,6.0,1.0,521.8,6.0,1.0,93.3,6.0,1.0,206.2,6.0,1.0,1574.0,5.0,1.0,1193.0
6.0,3.0,15.6,6.0,3.0,752.3,6.0,2.0,229.7,6.0,2.0,476.8,6.0,2.0,2708.0,5.0,2.0,1893.0
6.0,4.0,27.2,6.0,4.0,1029.0,6.0,4.0,203.7,6.0,3.0,378.2,6.0,3.0,2166.0,5.0,3.0,1793.0
6.0,5.0,103.6,6.0,5.0,1631.0,6.0,5.0,468.5,6.0,5.0,563.0,6.0,4.0,2184.0,5.0,4.0,1781.0
