1,久田 武,久田 武.1,2,金田 大輔,金田 大輔.1,3,天野 友和,天野 友和.1,4,山田 真聖,山田 真聖.1,5,占部 一真,占部 一真.1,6,谷川 将太,谷川 将太.1
2.0,3.0,8.4,1.0,3.0,32.6,1.0,2.0,29.7,1.0,2.0,155.2,1.0,2.0,206.4,1.0,2.0,282.3
2.0,4.0,16.4,1.0,4.0,62.4,1.0,4.0,43.3,1.0,3.0,87.6,1.0,3.0,126.9,1.0,3.0,189.2
2.0,5.0,20.3,1.0,5.0,63.3,1.0,5.0,48.4,1.0,5.0,139.0,1.0,4.0,194.4,1.0,4.0,470.2
2.0,6.0,28.7,1.0,6.0,85.0,1.0,6.0,60.7,1.0,6.0,175.3,1.0,6.0,182.6,1.0,5.0,486.5
3.0,2.0,8.4,3.0,1.0,61.5,2.0,1.0,71.3,2.0,1.0,221.4,2.0,1.0,256.1,2.0,1.0,418.5
3.0,4.0,11.7,3.0,4.0,130.9,2.0,4.0,136.5,2.0,3.0,329.3,2.0,3.0,370.0,2.0,3.0,630.5
3.0,5.0,13.8,3.0,5.0,151.0,2.0,5.0,173.1,2.0,5.0,511.3,2.0,4.0,622.2,2.0,4.0,832.0
3.0,6.0,18.5,3.0,6.0,180.7,2.0,6.0,191.3,2.0,6.0,389.5,2.0,6.0,371.0,2.0,5.0,764.2
4.0,2.0,30.0,4.0,1.0,146.4,4.0,1.0,105.1,3.0,1.0,141.4,3.0,1.0,218.6,3.0,1.0,279.0
4.0,3.0,25.7,4.0,3.0,246.6,4.0,2.0,168.4,3.0,2.0,373.9,3.0,2.0,473.4,3.0,2.0,642.0
4.0,5.0,53.4,4.0,5.0,370.0,4.0,5.0,207.7,3.0,5.0,348.9,3.0,4.0,549.2,3.0,4.0,717.4
4.0,6.0,61.9,4.0,6.0,349.7,4.0,6.0,232.0,3.0,6.0,355.9,3.0,6.0,459.5,3.0,5.0,1011.0
5.0,2.0,43.3,5.0,1.0,183.5,5.0,1.0,150.0,5.0,1.0,206.4,4.0,1.0,334.8,4.0,1.0,808.1
5.0,3.0,36.9,5.0,3.0,255.2,5.0,2.0,274.1,5.0,2.0,418.5,4.0,2.0,717.4,4.0,2.0,1143.0
5.0,4.0,73.2,5.0,4.0,435.3,5.0,4.0,379.0,5.0,3.0,399.4,4.0,3.0,571.6,4.0,3.0,1181.0
5.0,6.0,77.6,5.0,6.0,309.7,5.0,6.0,338.8,5.0,6.0,287.5,4.0,6.0,467.1,4.0,5.0,1181.0
6.0,2.0,72.2,6.0,1.0,274.6,6.0,1.0,194.7,6.0,1.0,321.7,6.0,1.0,356.8,5.0,1.0,713.7
6.0,3.0,50.9,6.0,3.0,453.6,6.0,2.0,398.3,6.0,2.0,551.4,6.0,2.0,456.5,5.0,2.0,785.5
6.0,4.0,127.4,6.0,4.0,578.6,6.0,4.0,471.8,6.0,3.0,493.3,6.0,3.0,585.9,5.0,3.0,1098.0
6.0,5.0,127.6,6.0,5.0,479.9,6.0,5.0,453.6,6.0,5.0,468.7,6.0,4.0,616.7,5.0,4.0,937.4
