1,眞田 英二,眞田 英二.1,2,菊池 宏志,菊池 宏志.1,3,中尾 彩香,中尾 彩香.1,4,西村 秀樹,西村 秀樹.1,5,出畑 孝典,出畑 孝典.1,6,大澤 大夢,大澤 大夢.1
2.0,3.0,23.8,1.0,3.0,64.7,1.0,2.0,138.3,1.0,2.0,209.7,1.0,2.0,15.8,1.0,2.0,703.9
2.0,4.0,35.6,1.0,4.0,79.2,1.0,4.0,228.5,1.0,3.0,346.1,1.0,3.0,36.5,1.0,3.0,912.1
2.0,5.0,10.1,1.0,5.0,24.8,1.0,5.0,102.0,1.0,5.0,117.1,1.0,4.0,36.0,1.0,4.0,832.4
2.0,6.0,57.6,1.0,6.0,123.6,1.0,6.0,264.2,1.0,6.0,294.6,1.0,6.0,27.4,1.0,5.0,374.6
3.0,2.0,35.5,3.0,1.0,173.9,2.0,1.0,193.5,2.0,1.0,297.1,2.0,1.0,25.5,2.0,1.0,971.2
3.0,4.0,60.9,3.0,4.0,365.4,2.0,4.0,380.0,2.0,3.0,563.9,2.0,3.0,70.4,2.0,3.0,1234.0
3.0,5.0,22.2,3.0,5.0,141.7,2.0,5.0,162.1,2.0,5.0,182.1,2.0,4.0,67.1,2.0,4.0,1589.0
3.0,6.0,123.4,3.0,6.0,492.4,2.0,6.0,429.8,2.0,6.0,511.6,2.0,6.0,57.5,2.0,5.0,560.9
4.0,2.0,71.1,4.0,1.0,184.0,4.0,1.0,359.2,3.0,1.0,411.3,3.0,1.0,100.2,3.0,1.0,1840.0
4.0,3.0,84.9,4.0,3.0,422.9,4.0,2.0,452.1,3.0,2.0,631.8,3.0,2.0,123.9,3.0,2.0,2056.0
4.0,5.0,41.0,4.0,5.0,135.6,4.0,5.0,229.0,3.0,5.0,301.4,3.0,4.0,204.0,3.0,4.0,2056.0
4.0,6.0,164.9,4.0,6.0,516.7,4.0,6.0,639.5,3.0,6.0,743.9,3.0,6.0,214.5,3.0,5.0,1081.0
5.0,2.0,9.9,5.0,1.0,32.4,5.0,1.0,119.4,5.0,1.0,78.0,4.0,1.0,63.0,4.0,1.0,1362.0
5.0,3.0,18.1,5.0,3.0,85.1,5.0,2.0,134.4,5.0,2.0,120.5,4.0,2.0,90.9,4.0,2.0,2558.0
5.0,4.0,26.9,5.0,4.0,80.7,5.0,4.0,169.7,5.0,3.0,208.5,4.0,3.0,156.0,4.0,3.0,1979.0
5.0,6.0,28.9,5.0,6.0,94.5,5.0,6.0,212.3,5.0,6.0,93.9,4.0,6.0,67.7,4.0,5.0,613.4
6.0,2.0,189.6,6.0,1.0,412.9,6.0,1.0,760.0,6.0,1.0,579.5,6.0,1.0,50.8,5.0,1.0,366.7
6.0,3.0,292.1,6.0,3.0,888.9,6.0,2.0,1104.0,6.0,2.0,749.2,6.0,2.0,71.1,5.0,2.0,478.9
6.0,4.0,297.9,6.0,4.0,928.2,6.0,4.0,1059.0,6.0,3.0,962.3,6.0,3.0,161.6,5.0,3.0,819.4
6.0,5.0,105.9,6.0,5.0,307.6,6.0,5.0,563.9,6.0,5.0,300.5,6.0,4.0,87.0,5.0,4.0,492.4
