1,三川 昂暁,三川 昂暁.1,2,浜本 裕己,浜本 裕己.1,3,石川 哲秀,石川 哲秀.1,4,山口 亮,山口 亮.1,5,齋藤 勇,齋藤 勇.1,6,林 祐介,林 祐介.1
2.0,3.0,9.2,1.0,3.0,16.3,1.0,2.0,47.4,1.0,2.0,150.9,1.0,2.0,372.3,1.0,2.0,142.7
2.0,4.0,10.2,1.0,4.0,23.2,1.0,4.0,86.0,1.0,3.0,243.7,1.0,3.0,412.8,1.0,3.0,321.0
2.0,5.0,26.2,1.0,5.0,47.0,1.0,5.0,113.6,1.0,5.0,184.4,1.0,4.0,532.3,1.0,4.0,410.0
2.0,6.0,11.7,1.0,6.0,17.3,1.0,6.0,57.6,1.0,6.0,126.9,1.0,6.0,333.4,1.0,5.0,509.9
3.0,2.0,15.2,3.0,1.0,55.0,2.0,1.0,68.4,2.0,1.0,193.2,2.0,1.0,449.5,2.0,1.0,171.4
3.0,4.0,25.5,3.0,4.0,93.9,2.0,4.0,125.6,2.0,3.0,359.0,2.0,3.0,632.1,2.0,3.0,342.8
3.0,5.0,44.4,3.0,5.0,148.7,2.0,5.0,158.0,2.0,5.0,396.6,2.0,4.0,713.9,2.0,4.0,340.9
3.0,6.0,24.0,3.0,6.0,78.5,2.0,6.0,76.1,2.0,6.0,225.6,2.0,6.0,449.5,2.0,5.0,391.5
4.0,2.0,26.5,4.0,1.0,76.4,4.0,1.0,173.3,3.0,1.0,329.8,3.0,1.0,501.5,3.0,1.0,489.4
4.0,3.0,36.8,4.0,3.0,119.4,4.0,2.0,220.6,3.0,2.0,367.8,3.0,2.0,948.2,3.0,2.0,518.6
4.0,5.0,71.1,4.0,5.0,198.9,4.0,5.0,381.6,3.0,5.0,589.1,3.0,4.0,963.2,3.0,4.0,905.7
4.0,6.0,43.7,4.0,6.0,104.2,4.0,6.0,206.4,3.0,6.0,394.0,3.0,6.0,798.5,3.0,5.0,1046.0
5.0,2.0,80.3,5.0,1.0,145.5,5.0,1.0,293.1,5.0,1.0,224.7,4.0,1.0,705.6,4.0,1.0,705.6
5.0,3.0,93.3,5.0,3.0,239.8,5.0,2.0,329.8,5.0,2.0,449.5,4.0,2.0,645.6,4.0,2.0,713.9
5.0,4.0,135.7,5.0,4.0,267.3,5.0,4.0,446.2,5.0,3.0,749.2,4.0,3.0,1189.0,4.0,3.0,1444.0
5.0,6.0,82.2,5.0,6.0,176.4,5.0,6.0,288.9,5.0,6.0,209.9,4.0,6.0,632.1,4.0,5.0,948.2
6.0,2.0,38.7,6.0,1.0,71.8,6.0,1.0,170.9,6.0,1.0,192.0,6.0,1.0,449.5,5.0,1.0,567.1
6.0,3.0,60.6,6.0,3.0,130.7,6.0,2.0,148.3,6.0,2.0,314.4,6.0,2.0,424.3,5.0,2.0,527.7
6.0,4.0,80.8,6.0,4.0,147.6,6.0,4.0,321.0,6.0,3.0,705.6,6.0,3.0,842.8,5.0,3.0,919.5
6.0,5.0,101.8,6.0,5.0,186.7,6.0,5.0,350.7,6.0,5.0,269.7,6.0,4.0,681.8,5.0,4.0,892.4
