1,長野　壮志郎,長野　壮志郎.1,2,多田 有佑,多田 有佑.1,3,小林 文彦,小林 文彦.1,4,照屋 厚仁,照屋 厚仁.1,5,乙津 康志,乙津 康志.1,6,中越 博紀,中越 博紀.1
2.0,3.0,11.9,1.0,3.0,174.6,1.0,2.0,182.6,1.0,2.0,117.9,1.0,2.0,589.5,1.0,2.0,454.1
2.0,4.0,13.1,1.0,4.0,190.1,1.0,4.0,80.8,1.0,3.0,68.5,1.0,3.0,471.3,1.0,3.0,369.0
2.0,5.0,33.0,1.0,5.0,328.9,1.0,5.0,174.6,1.0,5.0,84.0,1.0,4.0,380.8,1.0,4.0,303.9
2.0,6.0,32.6,1.0,6.0,298.7,1.0,6.0,157.2,1.0,6.0,71.4,1.0,6.0,447.5,1.0,5.0,643.8
3.0,2.0,11.8,3.0,1.0,462.5,2.0,1.0,446.4,2.0,1.0,383.9,2.0,1.0,1278.0,2.0,1.0,1000.0
3.0,4.0,5.7,3.0,4.0,1056.0,2.0,4.0,772.9,2.0,3.0,861.9,2.0,3.0,2288.0,2.0,3.0,2382.0
3.0,5.0,16.2,3.0,5.0,1545.0,2.0,5.0,1224.0,2.0,5.0,705.3,2.0,4.0,1970.0,2.0,4.0,2023.0
3.0,6.0,16.7,3.0,6.0,1514.0,2.0,6.0,1156.0,2.0,6.0,613.6,2.0,6.0,2071.0,2.0,5.0,3425.0
4.0,2.0,13.7,4.0,1.0,516.8,4.0,1.0,186.2,3.0,1.0,177.1,3.0,1.0,1025.0,3.0,1.0,879.3
4.0,3.0,7.0,4.0,3.0,1122.0,4.0,2.0,725.8,3.0,2.0,713.0,3.0,2.0,2404.0,3.0,2.0,2308.0
4.0,5.0,15.5,4.0,5.0,1472.0,4.0,5.0,556.3,3.0,5.0,479.0,3.0,4.0,1933.0,3.0,4.0,1313.0
4.0,6.0,13.1,4.0,6.0,1188.0,4.0,6.0,410.0,3.0,6.0,420.6,3.0,6.0,1941.0,3.0,5.0,2220.0
5.0,2.0,60.9,5.0,1.0,1284.0,5.0,1.0,631.4,5.0,1.0,163.4,4.0,1.0,470.4,4.0,1.0,535.8
5.0,3.0,38.9,5.0,3.0,2165.0,5.0,2.0,1729.0,5.0,2.0,427.8,4.0,2.0,1156.0,4.0,2.0,1729.0
5.0,4.0,39.7,5.0,4.0,2211.0,5.0,4.0,1080.0,5.0,3.0,477.3,4.0,3.0,1294.0,4.0,3.0,1230.0
5.0,6.0,61.4,5.0,6.0,2121.0,5.0,6.0,1169.0,5.0,6.0,208.3,4.0,6.0,665.9,4.0,5.0,1484.0
6.0,2.0,69.4,6.0,1.0,1236.0,6.0,1.0,612.2,6.0,1.0,172.0,6.0,1.0,900.5,5.0,1.0,1468.0
6.0,3.0,47.2,6.0,3.0,2371.0,6.0,2.0,1735.0,6.0,2.0,485.2,6.0,2.0,1653.0,5.0,2.0,3064.0
6.0,4.0,40.5,6.0,4.0,2047.0,6.0,4.0,762.8,6.0,3.0,428.8,6.0,3.0,1845.0,5.0,3.0,3047.0
6.0,5.0,87.2,6.0,5.0,2544.0,6.0,5.0,1541.0,6.0,5.0,311.2,6.0,4.0,1202.0,5.0,4.0,2071.0
