1,末永 由楽,末永 由楽.1,2,東 潤樹,東 潤樹.1,3,野見山　拓己,野見山　拓己.1,4,丸尾 義孝,丸尾 義孝.1,5,西村 秀樹,西村 秀樹.1,6,四宮 与寛,四宮 与寛.1
2.0,3.0,22.5,1.0,3.0,187.4,1.0,2.0,165.9,1.0,2.0,53.3,1.0,2.0,752.9,1.0,2.0,206.4
2.0,4.0,12.7,1.0,4.0,137.3,1.0,4.0,98.1,1.0,3.0,50.5,1.0,3.0,604.6,1.0,3.0,212.0
2.0,5.0,57.3,1.0,5.0,360.8,1.0,5.0,246.0,1.0,5.0,110.2,1.0,4.0,568.4,1.0,4.0,111.1
2.0,6.0,21.4,1.0,6.0,171.9,1.0,6.0,88.8,1.0,6.0,34.7,1.0,6.0,513.4,1.0,5.0,404.6
3.0,2.0,26.1,3.0,1.0,291.6,2.0,1.0,273.0,2.0,1.0,138.5,2.0,1.0,1404.0,2.0,1.0,457.2
3.0,4.0,11.4,3.0,4.0,436.8,2.0,4.0,400.5,2.0,3.0,247.5,2.0,3.0,1566.0,2.0,3.0,900.0
3.0,5.0,45.7,3.0,5.0,602.3,2.0,5.0,702.2,2.0,5.0,337.1,2.0,4.0,2320.0,2.0,4.0,644.4
3.0,6.0,17.0,3.0,6.0,432.0,2.0,6.0,333.5,2.0,6.0,201.6,2.0,6.0,1945.0,2.0,5.0,1373.0
4.0,2.0,9.3,4.0,1.0,228.4,4.0,1.0,145.9,3.0,1.0,137.4,3.0,1.0,807.2,3.0,1.0,308.2
4.0,3.0,7.9,4.0,3.0,381.4,4.0,2.0,308.2,3.0,2.0,300.2,3.0,2.0,1392.0,3.0,2.0,697.5
4.0,5.0,33.4,4.0,5.0,841.9,4.0,5.0,552.3,3.0,5.0,455.2,3.0,4.0,1450.0,3.0,4.0,456.5
4.0,6.0,7.1,4.0,6.0,371.9,4.0,6.0,185.7,3.0,6.0,221.0,3.0,6.0,921.1,3.0,5.0,855.7
5.0,2.0,124.3,5.0,1.0,879.7,5.0,1.0,425.5,5.0,1.0,320.9,4.0,1.0,796.9,4.0,1.0,164.8
5.0,3.0,96.7,5.0,3.0,937.7,5.0,2.0,745.7,5.0,2.0,547.5,4.0,2.0,1730.0,4.0,2.0,471.6
5.0,4.0,81.8,5.0,4.0,1527.0,5.0,4.0,686.8,5.0,3.0,592.0,4.0,3.0,1355.0,4.0,3.0,435.6
5.0,6.0,72.1,5.0,6.0,1122.0,5.0,6.0,380.1,5.0,6.0,353.5,4.0,6.0,1181.0,4.0,5.0,784.9
6.0,2.0,36.0,6.0,1.0,401.5,6.0,1.0,139.8,6.0,1.0,77.2,6.0,1.0,758.3,5.0,1.0,730.0
6.0,3.0,28.5,6.0,3.0,667.8,6.0,2.0,345.3,6.0,2.0,224.5,6.0,2.0,1392.0,5.0,2.0,1385.0
6.0,4.0,16.3,6.0,4.0,526.3,6.0,4.0,194.7,6.0,3.0,248.1,6.0,3.0,1016.0,5.0,3.0,1126.0
6.0,5.0,69.5,6.0,5.0,984.9,6.0,5.0,346.8,6.0,5.0,328.6,6.0,4.0,1213.0,5.0,4.0,1040.0
