1,梶山 涼斗,梶山 涼斗.1,2,山地 正樹,山地 正樹.1,3,藤田 俊祐,藤田 俊祐.1,4,小林 一樹,小林 一樹.1,5,岡本 大,岡本 大.1,6,鐘ヶ江　真司,鐘ヶ江　真司.1
2.0,3.0,9.7,1.0,3.0,24.2,1.0,2.0,27.2,1.0,2.0,51.6,1.0,2.0,541.5,1.0,2.0,1924.0
2.0,4.0,12.2,1.0,4.0,26.1,1.0,4.0,16.2,1.0,3.0,40.3,1.0,3.0,432.9,1.0,3.0,2566.0
2.0,5.0,47.6,1.0,5.0,105.7,1.0,5.0,50.3,1.0,5.0,86.8,1.0,4.0,639.2,1.0,4.0,3279.0
2.0,6.0,333.4,1.0,6.0,497.4,1.0,6.0,296.6,1.0,6.0,571.2,1.0,6.0,2012.0,1.0,5.0,3613.0
3.0,2.0,9.4,3.0,1.0,44.5,2.0,1.0,53.1,2.0,1.0,68.8,2.0,1.0,823.6,2.0,1.0,2724.0
3.0,4.0,7.3,3.0,4.0,42.7,2.0,4.0,42.0,2.0,3.0,77.9,2.0,3.0,504.4,2.0,3.0,3279.0
3.0,5.0,39.7,3.0,5.0,134.9,2.0,5.0,120.1,2.0,5.0,126.0,2.0,4.0,994.8,2.0,4.0,3689.0
3.0,6.0,292.6,3.0,6.0,675.8,2.0,6.0,498.8,2.0,6.0,694.4,2.0,6.0,2724.0,2.0,5.0,4118.0
4.0,2.0,18.3,4.0,1.0,54.8,4.0,1.0,22.2,3.0,1.0,43.2,3.0,1.0,608.5,3.0,1.0,4216.0
4.0,3.0,14.3,4.0,3.0,59.9,4.0,2.0,30.6,3.0,2.0,59.0,3.0,2.0,578.6,3.0,2.0,3935.0
4.0,5.0,57.7,4.0,5.0,156.5,4.0,5.0,61.3,3.0,5.0,92.5,3.0,4.0,648.6,3.0,4.0,3279.0
4.0,6.0,375.1,4.0,6.0,747.1,4.0,6.0,337.9,3.0,6.0,549.9,3.0,6.0,2159.0,3.0,5.0,4118.0
5.0,2.0,145.0,5.0,1.0,399.7,5.0,1.0,189.1,5.0,1.0,141.3,4.0,1.0,648.6,4.0,1.0,4426.0
5.0,3.0,131.0,5.0,3.0,339.8,5.0,2.0,206.1,5.0,2.0,159.6,4.0,2.0,694.4,4.0,2.0,4024.0
5.0,4.0,161.5,5.0,4.0,458.7,5.0,4.0,178.6,5.0,3.0,162.9,4.0,3.0,544.8,4.0,3.0,3767.0
5.0,6.0,983.7,5.0,6.0,2270.0,5.0,6.0,868.0,5.0,6.0,505.9,4.0,6.0,2392.0,4.0,5.0,5712.0
6.0,2.0,1264.0,6.0,1.0,2012.0,6.0,1.0,1488.0,6.0,1.0,1394.0,6.0,1.0,3001.0,5.0,1.0,5533.0
6.0,3.0,1264.0,6.0,3.0,3106.0,6.0,2.0,1863.0,6.0,2.0,1553.0,6.0,2.0,3849.0,5.0,2.0,5712.0
6.0,4.0,1149.0,6.0,4.0,2642.0,6.0,4.0,1372.0,6.0,3.0,1264.0,6.0,3.0,2642.0,5.0,3.0,5059.0
6.0,5.0,1945.0,6.0,5.0,3341.0,6.0,5.0,1654.0,6.0,5.0,1351.0,6.0,4.0,3472.0,5.0,4.0,5902.0
