1,山地 正樹,山地 正樹.1,2,伊藤 尚汰,伊藤 尚汰.1,3,永田 義紘,永田 義紘.1,4,井手 良太,井手 良太.1,5,丸尾 義孝,丸尾 義孝.1,6,小林 一樹,小林 一樹.1
2.0,3.0,29.4,1.0,3.0,72.9,1.0,2.0,109.5,1.0,2.0,60.9,1.0,2.0,147.5,1.0,2.0,487.7
2.0,4.0,24.4,1.0,4.0,60.1,1.0,4.0,81.3,1.0,3.0,62.2,1.0,3.0,198.2,1.0,3.0,558.9
2.0,5.0,37.4,1.0,5.0,73.4,1.0,5.0,91.8,1.0,5.0,34.3,1.0,4.0,86.7,1.0,4.0,310.1
2.0,6.0,62.4,1.0,6.0,94.0,1.0,6.0,120.2,1.0,6.0,53.5,1.0,6.0,82.4,1.0,5.0,239.1
3.0,2.0,35.8,3.0,1.0,120.9,2.0,1.0,152.8,2.0,1.0,98.9,2.0,1.0,190.7,2.0,1.0,657.0
3.0,4.0,31.5,3.0,4.0,129.6,2.0,4.0,147.0,2.0,3.0,140.2,2.0,3.0,224.5,2.0,3.0,766.5
3.0,5.0,39.5,3.0,5.0,161.2,2.0,5.0,167.5,2.0,5.0,76.1,2.0,4.0,151.0,2.0,4.0,476.2
3.0,6.0,72.0,3.0,6.0,179.0,2.0,6.0,183.7,2.0,6.0,95.8,2.0,6.0,214.9,2.0,5.0,553.1
4.0,2.0,28.2,4.0,1.0,93.5,4.0,1.0,103.9,3.0,1.0,97.0,3.0,1.0,308.9,3.0,1.0,781.3
4.0,3.0,32.5,4.0,3.0,112.4,4.0,2.0,120.3,3.0,2.0,141.0,3.0,2.0,360.1,3.0,2.0,838.3
4.0,5.0,24.6,4.0,5.0,83.1,4.0,5.0,95.8,3.0,5.0,86.9,3.0,4.0,296.4,3.0,4.0,515.9
4.0,6.0,38.7,4.0,6.0,89.8,4.0,6.0,94.1,3.0,6.0,97.2,3.0,6.0,279.4,3.0,5.0,527.7
5.0,2.0,58.7,5.0,1.0,150.1,5.0,1.0,175.7,5.0,1.0,33.4,4.0,1.0,77.8,4.0,1.0,294.8
5.0,3.0,66.4,5.0,3.0,164.2,5.0,2.0,207.1,5.0,2.0,52.0,4.0,2.0,105.9,4.0,2.0,342.4
5.0,4.0,41.1,5.0,4.0,117.2,5.0,4.0,150.4,5.0,3.0,73.6,4.0,3.0,189.3,4.0,3.0,360.1
5.0,6.0,39.8,5.0,6.0,133.5,5.0,6.0,162.1,5.0,6.0,16.6,4.0,6.0,43.7,4.0,5.0,115.5
6.0,2.0,160.1,6.0,1.0,306.6,6.0,1.0,338.1,6.0,1.0,76.9,6.0,1.0,96.1,5.0,1.0,215.4
6.0,3.0,162.4,6.0,3.0,371.7,6.0,2.0,431.5,6.0,2.0,102.0,6.0,2.0,190.7,5.0,2.0,376.9
6.0,4.0,106.8,6.0,4.0,212.3,6.0,4.0,199.7,6.0,3.0,141.2,6.0,3.0,206.3,5.0,3.0,352.2
6.0,5.0,81.9,6.0,5.0,247.6,6.0,5.0,279.4,6.0,5.0,35.0,6.0,4.0,63.2,5.0,4.0,108.3
