1,川口 貴久,川口 貴久.1,2,嶋田 貴支,嶋田 貴支.1,3,深川 和仁,深川 和仁.1,4,井上 大輔,井上 大輔.1,5,岩崎 正哉,岩崎 正哉.1,6,香月 大輝,香月 大輝.1
2.0,3.0,13.8,1.0,3.0,45.5,1.0,2.0,46.8,1.0,2.0,50.3,1.0,2.0,127.4,1.0,2.0,1615.0
2.0,4.0,11.8,1.0,4.0,41.0,1.0,4.0,31.1,1.0,3.0,67.8,1.0,3.0,176.9,1.0,3.0,2172.0
2.0,5.0,13.9,1.0,5.0,39.6,1.0,5.0,34.1,1.0,5.0,38.3,1.0,4.0,110.7,1.0,4.0,1415.0
2.0,6.0,191.4,1.0,6.0,500.0,1.0,6.0,367.3,1.0,6.0,268.6,1.0,6.0,490.2,1.0,5.0,2423.0
3.0,2.0,13.6,3.0,1.0,100.8,2.0,1.0,99.0,2.0,1.0,84.6,2.0,1.0,204.2,2.0,1.0,2520.0
3.0,4.0,12.4,3.0,4.0,153.2,2.0,4.0,113.9,2.0,3.0,162.1,2.0,3.0,425.6,2.0,3.0,3500.0
3.0,5.0,16.0,3.0,5.0,161.9,2.0,5.0,114.7,2.0,5.0,83.2,2.0,4.0,218.7,2.0,4.0,2625.0
3.0,6.0,176.4,3.0,6.0,1086.0,2.0,6.0,728.3,2.0,6.0,577.9,2.0,6.0,919.7,2.0,5.0,2100.0
4.0,2.0,14.9,4.0,1.0,79.2,4.0,1.0,51.8,3.0,1.0,98.3,3.0,1.0,307.3,3.0,1.0,2680.0
4.0,3.0,19.1,4.0,3.0,177.2,4.0,2.0,92.4,3.0,2.0,145.8,3.0,2.0,479.0,3.0,2.0,3230.0
4.0,5.0,18.4,4.0,5.0,114.3,4.0,5.0,54.8,3.0,5.0,94.9,3.0,4.0,292.3,3.0,4.0,2250.0
4.0,6.0,134.0,4.0,6.0,834.4,4.0,6.0,413.1,3.0,6.0,550.2,3.0,6.0,851.3,3.0,5.0,2377.0
5.0,2.0,31.6,5.0,1.0,142.2,5.0,1.0,89.8,5.0,1.0,45.1,4.0,1.0,112.1,4.0,1.0,1909.0
5.0,3.0,39.6,5.0,3.0,288.3,5.0,2.0,153.2,5.0,2.0,66.9,4.0,2.0,153.1,4.0,2.0,2100.0
5.0,4.0,41.6,5.0,4.0,178.2,5.0,4.0,95.5,5.0,3.0,92.5,4.0,3.0,214.6,4.0,3.0,2210.0
5.0,6.0,329.8,5.0,6.0,1115.0,5.0,6.0,580.6,5.0,6.0,191.4,4.0,6.0,366.2,4.0,5.0,1448.0
6.0,2.0,782.6,6.0,1.0,1536.0,6.0,1.0,1518.0,6.0,1.0,773.0,6.0,1.0,1536.0,5.0,1.0,2863.0
6.0,3.0,857.1,6.0,3.0,3230.0,6.0,2.0,1594.0,6.0,2.0,875.0,6.0,2.0,1448.0,5.0,2.0,2470.0
6.0,4.0,649.4,6.0,4.0,2032.0,6.0,4.0,1448.0,6.0,3.0,1145.0,6.0,3.0,1155.0,5.0,3.0,2250.0
6.0,5.0,1008.0,6.0,5.0,2800.0,6.0,5.0,1909.0,6.0,5.0,649.4,6.0,4.0,828.9,5.0,4.0,1369.0
