1,麻生 慎介,麻生 慎介.1,2,濱崎 直矢,濱崎 直矢.1,3,石原 翼,石原 翼.1,4,篠原 晟弥,篠原 晟弥.1,5,川原 正明,川原 正明.1,6,萩原 知哉,萩原 知哉.1
2.0,3.0,5.5,1.0,3.0,32.8,1.0,2.0,52.2,1.0,2.0,166.4,1.0,2.0,137.5,1.0,2.0,215.7
2.0,4.0,12.4,1.0,4.0,65.2,1.0,4.0,95.4,1.0,3.0,225.7,1.0,3.0,206.9,1.0,3.0,319.5
2.0,5.0,9.5,1.0,5.0,46.0,1.0,5.0,100.1,1.0,5.0,239.0,1.0,4.0,349.3,1.0,4.0,422.5
2.0,6.0,20.2,1.0,6.0,82.2,1.0,6.0,144.9,1.0,6.0,214.8,1.0,6.0,316.4,1.0,5.0,369.0
3.0,2.0,8.6,3.0,1.0,77.7,2.0,1.0,94.5,2.0,1.0,289.6,2.0,1.0,204.0,2.0,1.0,319.0
3.0,4.0,15.5,3.0,4.0,232.6,2.0,4.0,236.6,2.0,3.0,538.0,2.0,3.0,375.0,2.0,3.0,546.5
3.0,5.0,16.8,3.0,5.0,201.2,2.0,5.0,245.6,2.0,5.0,492.7,2.0,4.0,596.9,2.0,4.0,608.7
3.0,6.0,32.9,3.0,6.0,273.6,2.0,6.0,377.3,2.0,6.0,432.4,2.0,6.0,366.8,2.0,5.0,489.2
4.0,2.0,30.5,4.0,1.0,245.7,4.0,1.0,209.0,3.0,1.0,395.5,3.0,1.0,388.2,3.0,1.0,730.6
4.0,3.0,35.3,4.0,3.0,423.8,4.0,2.0,295.0,3.0,2.0,586.1,3.0,2.0,527.7,3.0,2.0,948.2
4.0,5.0,55.0,4.0,5.0,442.5,4.0,5.0,449.3,3.0,5.0,716.4,3.0,4.0,892.9,3.0,4.0,1014.0
4.0,6.0,63.5,4.0,6.0,407.2,4.0,6.0,356.8,3.0,6.0,588.6,3.0,6.0,837.3,3.0,5.0,1334.0
5.0,2.0,18.9,5.0,1.0,120.5,5.0,1.0,290.4,5.0,1.0,456.4,4.0,1.0,762.0,4.0,1.0,713.6
5.0,3.0,26.7,5.0,3.0,206.4,5.0,2.0,407.5,5.0,2.0,563.9,4.0,2.0,892.9,4.0,2.0,724.9
5.0,4.0,54.8,5.0,4.0,343.0,5.0,4.0,631.8,5.0,3.0,837.3,4.0,3.0,1202.0,4.0,3.0,992.6
5.0,6.0,56.5,5.0,6.0,201.5,5.0,6.0,667.0,5.0,6.0,561.6,4.0,6.0,839.8,4.0,5.0,1049.0
6.0,2.0,55.1,6.0,1.0,221.2,6.0,1.0,352.7,6.0,1.0,352.9,6.0,1.0,665.3,5.0,1.0,907.6
6.0,3.0,78.9,6.0,3.0,400.6,6.0,2.0,531.2,6.0,2.0,406.9,6.0,2.0,637.6,5.0,2.0,780.3
6.0,4.0,129.3,6.0,4.0,482.0,6.0,4.0,578.1,6.0,3.0,566.8,6.0,3.0,1099.0,5.0,3.0,1290.0
6.0,5.0,103.1,6.0,5.0,340.9,6.0,5.0,757.8,6.0,5.0,534.3,6.0,4.0,1045.0,5.0,4.0,1249.0
