1,大橋　栄里佳,大橋　栄里佳.1,2,吉永 浩則,吉永 浩則.1,3,川崎 公靖,川崎 公靖.1,4,近藤　雄一郎,近藤　雄一郎.1,5,安達 美帆,安達 美帆.1,6,松尾 基成,松尾 基成.1
2.0,3.0,14.1,1.0,3.0,43.9,1.0,2.0,54.2,1.0,2.0,73.3,1.0,2.0,452.8,1.0,2.0,85.2
2.0,4.0,20.2,1.0,4.0,52.6,1.0,4.0,46.5,1.0,3.0,75.8,1.0,3.0,521.5,1.0,3.0,74.7
2.0,5.0,56.4,1.0,5.0,159.4,1.0,5.0,124.8,1.0,5.0,86.7,1.0,4.0,379.7,1.0,4.0,74.9
2.0,6.0,19.7,1.0,6.0,57.6,1.0,6.0,47.2,1.0,6.0,74.1,1.0,6.0,556.8,1.0,5.0,174.9
3.0,2.0,16.1,3.0,1.0,76.3,2.0,1.0,89.1,2.0,1.0,95.9,2.0,1.0,597.1,2.0,1.0,122.0
3.0,4.0,19.7,3.0,4.0,77.9,2.0,4.0,80.0,2.0,3.0,107.5,2.0,3.0,876.7,2.0,3.0,143.0
3.0,5.0,61.2,3.0,5.0,212.9,2.0,5.0,247.4,2.0,5.0,169.9,2.0,4.0,925.9,2.0,4.0,135.3
3.0,6.0,22.2,3.0,6.0,80.1,2.0,6.0,91.3,2.0,6.0,93.1,2.0,6.0,876.7,2.0,5.0,352.1
4.0,2.0,29.8,4.0,1.0,119.6,4.0,1.0,73.6,3.0,1.0,106.8,3.0,1.0,615.0,3.0,1.0,99.1
4.0,3.0,34.1,4.0,3.0,116.5,4.0,2.0,89.8,3.0,2.0,124.1,3.0,2.0,915.6,3.0,2.0,136.4
4.0,5.0,75.3,4.0,5.0,282.2,4.0,5.0,159.0,3.0,5.0,177.9,3.0,4.0,704.3,3.0,4.0,85.9
4.0,6.0,48.1,4.0,6.0,109.1,4.0,6.0,64.6,3.0,6.0,91.9,3.0,6.0,807.9,3.0,5.0,289.1
5.0,2.0,175.7,5.0,1.0,379.7,5.0,1.0,260.7,5.0,1.0,118.0,4.0,1.0,443.0,4.0,1.0,77.2
5.0,3.0,180.7,5.0,3.0,424.7,5.0,2.0,304.0,5.0,2.0,168.8,4.0,2.0,675.4,4.0,2.0,93.5
5.0,4.0,186.0,5.0,4.0,462.9,5.0,4.0,236.1,5.0,3.0,162.2,4.0,3.0,692.5,4.0,3.0,78.4
5.0,6.0,202.4,5.0,6.0,440.6,5.0,6.0,285.1,5.0,6.0,167.5,4.0,6.0,515.0,4.0,5.0,134.0
6.0,2.0,35.2,6.0,1.0,104.4,6.0,1.0,72.7,6.0,1.0,94.0,6.0,1.0,716.6,5.0,1.0,320.6
6.0,3.0,33.8,6.0,3.0,110.0,6.0,2.0,99.4,6.0,2.0,98.5,6.0,2.0,958.2,5.0,2.0,388.7
6.0,4.0,46.1,6.0,4.0,115.7,6.0,4.0,69.7,6.0,3.0,93.4,6.0,3.0,832.4,5.0,3.0,355.2
6.0,5.0,125.2,6.0,5.0,379.7,6.0,5.0,199.0,6.0,5.0,164.4,6.0,4.0,556.8,5.0,4.0,286.1
