1,桑原 将光,桑原 将光.1,2,重富 伸也,重富 伸也.1,3,山崎 哲司,山崎 哲司.1,4,菅 章哉,菅 章哉.1,5,竹田 吉行,竹田 吉行.1,6,鈴木 成美,鈴木 成美.1
2.0,3.0,139.2,1.0,3.0,240.0,1.0,2.0,83.0,1.0,2.0,38.1,1.0,2.0,243.1,1.0,2.0,577.4
2.0,4.0,128.4,1.0,4.0,247.2,1.0,4.0,27.3,1.0,3.0,15.2,1.0,3.0,114.8,1.0,3.0,495.2
2.0,5.0,231.4,1.0,5.0,436.1,1.0,5.0,35.3,1.0,5.0,23.3,1.0,4.0,114.8,1.0,4.0,374.9
2.0,6.0,368.0,1.0,6.0,538.3,1.0,6.0,137.7,1.0,6.0,43.1,1.0,6.0,292.3,1.0,5.0,798.8
3.0,2.0,80.4,3.0,1.0,245.3,2.0,1.0,172.1,2.0,1.0,37.8,2.0,1.0,469.2,2.0,1.0,657.4
3.0,4.0,19.7,3.0,4.0,208.5,2.0,4.0,166.6,2.0,3.0,34.3,2.0,3.0,548.2,2.0,3.0,791.7
3.0,5.0,32.4,3.0,5.0,334.6,2.0,5.0,236.3,2.0,5.0,52.5,2.0,4.0,303.6,2.0,4.0,453.4
3.0,6.0,100.0,3.0,6.0,650.7,2.0,6.0,581.9,2.0,6.0,43.1,2.0,6.0,704.2,2.0,5.0,997.2
4.0,2.0,64.1,4.0,1.0,176.1,4.0,1.0,32.0,3.0,1.0,15.5,3.0,1.0,138.2,3.0,1.0,526.2
4.0,3.0,19.5,4.0,3.0,147.0,4.0,2.0,86.0,3.0,2.0,31.5,3.0,2.0,353.2,3.0,2.0,755.5
4.0,5.0,33.3,4.0,5.0,253.5,4.0,5.0,40.2,3.0,5.0,21.4,3.0,4.0,120.7,3.0,4.0,363.5
4.0,6.0,78.5,4.0,6.0,255.7,4.0,6.0,129.6,3.0,6.0,43.9,3.0,6.0,399.7,3.0,5.0,741.7
5.0,2.0,162.4,5.0,1.0,579.6,5.0,1.0,75.0,5.0,1.0,27.9,4.0,1.0,93.7,4.0,1.0,265.9
5.0,3.0,55.5,5.0,3.0,468.2,5.0,2.0,209.3,5.0,2.0,60.2,4.0,2.0,148.9,4.0,2.0,293.2
5.0,4.0,60.7,5.0,4.0,454.3,5.0,4.0,73.6,5.0,3.0,28.3,4.0,3.0,90.8,4.0,3.0,274.3
5.0,6.0,177.1,5.0,6.0,862.2,5.0,6.0,255.0,5.0,6.0,51.1,4.0,6.0,159.8,4.0,5.0,378.0
6.0,2.0,320.4,6.0,1.0,624.3,6.0,1.0,383.2,6.0,1.0,41.1,6.0,1.0,508.2,5.0,1.0,1041.0
6.0,3.0,259.4,6.0,3.0,768.5,6.0,2.0,483.4,6.0,2.0,43.2,6.0,2.0,590.4,5.0,2.0,1151.0
6.0,4.0,213.1,6.0,4.0,429.8,6.0,4.0,291.3,6.0,3.0,38.6,6.0,3.0,527.5,5.0,3.0,1010.0
6.0,5.0,352.6,6.0,5.0,906.0,6.0,5.0,467.2,6.0,5.0,59.6,6.0,4.0,350.1,5.0,4.0,664.3
