1,大塚 康雅,大塚 康雅.1,2,平瀬 城啓,平瀬 城啓.1,3,金子 貴志,金子 貴志.1,4,村田 敦,村田 敦.1,5,三苫 晃幸,三苫 晃幸.1,6,大崎 翔,大崎 翔.1
2.0,3.0,23.0,1.0,3.0,165.2,1.0,2.0,61.0,1.0,2.0,376.1,1.0,2.0,117.6,1.0,2.0,849.0
2.0,4.0,68.4,1.0,4.0,358.0,1.0,4.0,25.4,1.0,3.0,121.5,1.0,3.0,39.5,1.0,3.0,534.7
2.0,5.0,39.3,1.0,5.0,209.8,1.0,5.0,15.0,1.0,5.0,131.5,1.0,4.0,131.5,1.0,4.0,1194.0
2.0,6.0,85.4,1.0,6.0,446.7,1.0,6.0,39.4,1.0,6.0,237.6,1.0,6.0,75.5,1.0,5.0,465.3
3.0,2.0,17.9,3.0,1.0,247.9,2.0,1.0,166.7,2.0,1.0,623.1,2.0,1.0,259.7,2.0,1.0,1489.0
3.0,4.0,12.7,3.0,4.0,523.2,2.0,4.0,344.8,2.0,3.0,774.3,2.0,3.0,333.3,2.0,3.0,1659.0
3.0,5.0,7.7,3.0,5.0,318.0,2.0,5.0,191.4,2.0,5.0,715.2,2.0,4.0,684.8,2.0,4.0,2639.0
3.0,6.0,20.1,3.0,6.0,517.6,2.0,6.0,307.6,2.0,6.0,716.9,2.0,6.0,397.7,2.0,5.0,1640.0
4.0,2.0,96.4,4.0,1.0,874.6,4.0,1.0,52.0,3.0,1.0,115.4,3.0,1.0,48.2,3.0,1.0,641.0
4.0,3.0,27.0,4.0,3.0,1037.0,4.0,2.0,202.7,3.0,2.0,470.6,3.0,2.0,225.4,3.0,2.0,1423.0
4.0,5.0,39.1,4.0,5.0,1008.0,4.0,5.0,40.4,3.0,5.0,104.5,3.0,4.0,126.8,3.0,4.0,789.0
4.0,6.0,94.8,4.0,6.0,1466.0,4.0,6.0,75.9,3.0,6.0,169.4,3.0,6.0,94.7,3.0,5.0,498.0
5.0,2.0,41.8,5.0,1.0,319.7,5.0,1.0,24.4,5.0,1.0,132.5,4.0,1.0,187.7,4.0,1.0,1528.0
5.0,3.0,12.7,5.0,3.0,351.9,5.0,2.0,115.7,5.0,2.0,375.1,4.0,2.0,495.5,4.0,2.0,2323.0
5.0,4.0,36.9,5.0,4.0,676.8,5.0,4.0,39.5,5.0,3.0,122.9,4.0,3.0,183.0,4.0,3.0,1033.0
5.0,6.0,39.1,5.0,6.0,666.0,5.0,6.0,42.2,5.0,6.0,152.5,4.0,6.0,208.4,4.0,5.0,977.6
6.0,2.0,181.1,6.0,1.0,991.0,6.0,1.0,152.9,6.0,1.0,386.6,6.0,1.0,124.7,5.0,1.0,427.6
6.0,3.0,68.4,6.0,3.0,1185.0,6.0,2.0,379.0,6.0,2.0,670.6,6.0,2.0,295.6,5.0,2.0,882.6
6.0,4.0,225.6,6.0,4.0,2002.0,6.0,4.0,176.3,6.0,3.0,359.8,6.0,3.0,142.1,5.0,3.0,436.6
6.0,5.0,104.3,6.0,5.0,1055.0,6.0,5.0,128.0,6.0,5.0,297.5,6.0,4.0,271.6,5.0,4.0,797.7
