1,宇野 弥生,宇野 弥生.1,2,山下 友貴,山下 友貴.1,3,犬童 千秋,犬童 千秋.1,4,松尾 怜実,松尾 怜実.1,5,喜多　那由夏,喜多　那由夏.1,6,新田 芳美,新田 芳美.1
2.0,3.0,6.9,1.0,3.0,65.8,1.0,2.0,24.9,1.0,2.0,316.5,1.0,2.0,332.5,1.0,2.0,486.6
2.0,4.0,27.2,1.0,4.0,186.9,1.0,4.0,33.5,1.0,3.0,219.3,1.0,3.0,206.5,1.0,3.0,370.1
2.0,5.0,22.6,1.0,5.0,177.9,1.0,5.0,24.0,1.0,5.0,315.8,1.0,4.0,527.5,1.0,4.0,869.4
2.0,6.0,30.6,1.0,6.0,185.8,1.0,6.0,31.8,1.0,6.0,339.7,1.0,6.0,344.9,1.0,5.0,743.7
3.0,2.0,5.4,3.0,1.0,124.1,2.0,1.0,68.1,2.0,1.0,667.4,2.0,1.0,732.2,2.0,1.0,776.4
3.0,4.0,12.7,3.0,4.0,544.2,2.0,4.0,226.4,2.0,3.0,1050.0,2.0,3.0,1169.0,2.0,3.0,1171.0
3.0,5.0,8.8,3.0,5.0,490.0,2.0,5.0,198.7,2.0,5.0,1260.0,2.0,4.0,2119.0,2.0,4.0,1880.0
3.0,6.0,12.6,3.0,6.0,554.9,2.0,6.0,197.7,2.0,6.0,1341.0,2.0,6.0,1720.0,2.0,5.0,1918.0
4.0,2.0,52.5,4.0,1.0,563.2,4.0,1.0,68.5,3.0,1.0,238.8,3.0,1.0,262.2,3.0,1.0,459.0
4.0,3.0,38.4,4.0,3.0,858.9,4.0,2.0,177.6,3.0,2.0,615.9,3.0,2.0,772.1,3.0,2.0,1101.0
4.0,5.0,75.2,4.0,5.0,1136.0,4.0,5.0,90.1,3.0,5.0,367.5,3.0,4.0,641.0,3.0,4.0,949.6
4.0,6.0,88.7,4.0,6.0,1034.0,4.0,6.0,105.6,3.0,6.0,424.3,3.0,6.0,540.0,3.0,5.0,884.4
5.0,2.0,49.5,5.0,1.0,628.9,5.0,1.0,64.4,5.0,1.0,424.3,4.0,1.0,778.5,4.0,1.0,1525.0
5.0,3.0,33.8,5.0,3.0,1007.0,5.0,2.0,168.3,5.0,2.0,844.8,4.0,2.0,1763.0,4.0,2.0,2237.0
5.0,4.0,93.6,5.0,4.0,1443.0,5.0,4.0,121.7,5.0,3.0,507.6,4.0,3.0,888.5,4.0,3.0,1292.0
5.0,6.0,65.6,5.0,6.0,1367.0,5.0,6.0,90.0,5.0,6.0,537.0,4.0,6.0,1255.0,4.0,5.0,1938.0
6.0,2.0,76.3,6.0,1.0,582.3,6.0,1.0,109.4,6.0,1.0,628.9,6.0,1.0,736.0,5.0,1.0,1181.0
6.0,3.0,56.0,6.0,3.0,984.3,6.0,2.0,244.6,6.0,2.0,1155.0,6.0,2.0,1594.0,5.0,2.0,2329.0
6.0,4.0,133.6,6.0,4.0,1354.0,6.0,4.0,224.8,6.0,3.0,715.5,6.0,3.0,815.5,5.0,3.0,1201.0
6.0,5.0,113.7,6.0,5.0,1621.0,6.0,5.0,159.5,6.0,5.0,789.4,6.0,4.0,1493.0,5.0,4.0,2007.0
