1,岩崎 芳美,岩崎 芳美.1,2,向井 美鈴,向井 美鈴.1,3,土屋 千明,土屋 千明.1,4,笠野　友紀恵,笠野　友紀恵.1,5,筒井 美琴,筒井 美琴.1,6,橋谷田　佳織,橋谷田　佳織.1
2.0,3.0,4.1,1.0,3.0,27.4,1.0,2.0,17.7,1.0,2.0,324.0,1.0,2.0,1205.0,1.0,2.0,1397.0
2.0,4.0,13.3,1.0,4.0,76.5,1.0,4.0,29.7,1.0,3.0,278.5,1.0,3.0,895.8,1.0,3.0,1157.0
2.0,5.0,53.6,1.0,5.0,289.6,1.0,5.0,98.9,1.0,5.0,734.2,1.0,4.0,1933.0,1.0,4.0,2882.0
2.0,6.0,40.8,1.0,6.0,188.7,1.0,6.0,55.3,1.0,6.0,657.2,1.0,6.0,2148.0,1.0,5.0,3866.0
3.0,2.0,3.5,3.0,1.0,58.3,2.0,1.0,47.1,2.0,1.0,507.1,2.0,1.0,1487.0,2.0,1.0,1933.0
3.0,4.0,6.3,3.0,4.0,193.8,2.0,4.0,129.4,2.0,3.0,655.4,2.0,3.0,2158.0,2.0,3.0,2508.0
3.0,5.0,30.7,3.0,5.0,617.8,2.0,5.0,323.5,2.0,5.0,1487.0,2.0,4.0,3267.0,2.0,4.0,3932.0
3.0,6.0,16.8,3.0,6.0,413.5,2.0,6.0,236.9,2.0,6.0,1281.0,2.0,6.0,3222.0,2.0,5.0,4549.0
4.0,2.0,32.5,4.0,1.0,318.0,4.0,1.0,99.4,3.0,1.0,365.9,3.0,1.0,1163.0,3.0,1.0,1389.0
4.0,3.0,24.8,4.0,3.0,383.5,4.0,2.0,162.3,3.0,2.0,582.2,3.0,2.0,1886.0,3.0,2.0,2035.0
4.0,5.0,132.0,4.0,5.0,1414.0,4.0,5.0,463.5,3.0,5.0,1477.0,3.0,4.0,3093.0,3.0,4.0,2955.0
4.0,6.0,106.2,4.0,6.0,956.7,4.0,6.0,286.6,3.0,6.0,1205.0,3.0,6.0,3013.0,3.0,5.0,4257.0
5.0,2.0,200.3,5.0,1.0,1250.0,5.0,1.0,465.4,5.0,1.0,1281.0,4.0,1.0,2682.0,4.0,1.0,3682.0
5.0,3.0,171.6,5.0,3.0,1506.0,5.0,2.0,822.7,5.0,2.0,1651.0,4.0,2.0,4070.0,4.0,2.0,4000.0
5.0,4.0,341.2,5.0,4.0,1974.0,5.0,4.0,960.7,5.0,3.0,1974.0,4.0,3.0,3625.0,4.0,3.0,3899.0
5.0,6.0,515.5,5.0,6.0,2209.0,5.0,6.0,1140.0,5.0,6.0,1757.0,4.0,6.0,3073.0,4.0,5.0,3899.0
6.0,2.0,196.1,6.0,1.0,877.1,6.0,1.0,323.8,6.0,1.0,1208.0,6.0,1.0,4035.0,5.0,1.0,4833.0
6.0,3.0,150.9,6.0,3.0,1084.0,6.0,2.0,591.1,6.0,2.0,1737.0,6.0,2.0,4833.0,5.0,2.0,4783.0
6.0,4.0,374.8,6.0,4.0,1687.0,6.0,4.0,767.0,6.0,3.0,1826.0,6.0,3.0,4936.0,5.0,3.0,4549.0
6.0,5.0,687.4,6.0,5.0,3387.0,6.0,5.0,1410.0,6.0,5.0,2026.0,6.0,4.0,4106.0,5.0,4.0,3462.0
