1,清水 攻二,清水 攻二.1,2,眞田 英二,眞田 英二.1,3,安井 瑞紀,安井 瑞紀.1,4,中岡 健人,中岡 健人.1,5,宮本 夏樹,宮本 夏樹.1,6,長尾 章平,長尾 章平.1
2.0,3.0,11.7,1.0,3.0,38.6,1.0,2.0,65.4,1.0,2.0,305.5,1.0,2.0,137.2,1.0,2.0,61.8
2.0,4.0,27.9,1.0,4.0,67.5,1.0,4.0,159.1,1.0,3.0,419.2,1.0,3.0,161.4,1.0,3.0,92.7
2.0,5.0,18.5,1.0,5.0,54.5,1.0,5.0,99.2,1.0,5.0,270.7,1.0,4.0,257.4,1.0,4.0,185.1
2.0,6.0,9.2,1.0,6.0,24.8,1.0,6.0,59.5,1.0,6.0,186.3,1.0,6.0,73.9,1.0,5.0,79.8
3.0,2.0,20.0,3.0,1.0,114.1,2.0,1.0,104.9,2.0,1.0,445.1,2.0,1.0,263.4,2.0,1.0,125.9
3.0,4.0,40.9,3.0,4.0,390.6,2.0,4.0,287.7,2.0,3.0,926.7,2.0,3.0,485.7,2.0,3.0,285.0
3.0,5.0,24.6,3.0,5.0,286.9,2.0,5.0,228.0,2.0,5.0,718.1,2.0,4.0,633.8,2.0,4.0,389.6
3.0,6.0,16.5,3.0,6.0,149.1,2.0,6.0,114.5,2.0,6.0,365.4,2.0,6.0,233.1,2.0,5.0,240.7
4.0,2.0,61.3,4.0,1.0,249.2,4.0,1.0,358.2,3.0,1.0,640.0,3.0,1.0,335.1,3.0,1.0,184.9
4.0,3.0,72.4,4.0,3.0,576.5,4.0,2.0,466.7,3.0,2.0,876.5,3.0,2.0,543.3,3.0,2.0,332.9
4.0,5.0,71.1,4.0,5.0,563.6,4.0,5.0,423.5,3.0,5.0,804.9,3.0,4.0,829.9,3.0,4.0,487.8
4.0,6.0,49.1,4.0,6.0,279.5,4.0,6.0,274.3,3.0,6.0,571.4,3.0,6.0,289.5,3.0,5.0,265.0
5.0,2.0,36.9,5.0,1.0,199.8,5.0,1.0,182.6,5.0,1.0,256.0,4.0,1.0,364.2,4.0,1.0,325.7
5.0,3.0,40.4,5.0,3.0,402.4,5.0,2.0,296.3,5.0,2.0,463.8,4.0,2.0,552.6,4.0,2.0,452.7
5.0,4.0,80.3,5.0,4.0,583.2,5.0,4.0,418.4,5.0,3.0,531.8,4.0,3.0,741.6,4.0,3.0,599.4
5.0,6.0,23.0,5.0,6.0,201.5,5.0,6.0,139.6,5.0,6.0,166.9,4.0,6.0,224.1,4.0,5.0,333.7
6.0,2.0,17.7,6.0,1.0,90.1,6.0,1.0,104.3,6.0,1.0,227.8,6.0,1.0,95.5,5.0,1.0,119.9
6.0,3.0,26.6,6.0,3.0,210.3,6.0,2.0,166.2,6.0,2.0,346.4,6.0,2.0,189.6,5.0,2.0,199.1
6.0,4.0,55.6,6.0,4.0,312.7,6.0,4.0,268.1,6.0,3.0,458.6,6.0,3.0,215.0,5.0,3.0,259.8
6.0,5.0,25.7,6.0,5.0,205.2,6.0,5.0,139.1,6.0,5.0,192.9,6.0,4.0,209.0,5.0,4.0,283.0
