1,市橋 卓士,市橋 卓士.1,2,廣瀬 真也,廣瀬 真也.1,3,高田 明,高田 明.1,4,枝尾 賢,枝尾 賢.1,5,金田 諭,金田 諭.1,6,小坂 尚哉,小坂 尚哉.1
2.0,3.0,9.8,1.0,3.0,48.6,1.0,2.0,68.2,1.0,2.0,169.5,1.0,2.0,172.4,1.0,2.0,332.2
2.0,4.0,12.8,1.0,4.0,61.2,1.0,4.0,58.6,1.0,3.0,183.6,1.0,3.0,153.0,1.0,3.0,339.4
2.0,5.0,14.8,1.0,5.0,60.9,1.0,5.0,56.4,1.0,5.0,146.6,1.0,4.0,218.7,1.0,4.0,400.2
2.0,6.0,26.9,1.0,6.0,103.3,1.0,6.0,99.6,1.0,6.0,186.9,1.0,6.0,184.3,1.0,5.0,352.4
3.0,2.0,10.9,3.0,1.0,115.2,2.0,1.0,144.8,2.0,1.0,342.8,2.0,1.0,319.9,2.0,1.0,497.6
3.0,4.0,11.0,3.0,4.0,237.9,2.0,4.0,266.8,2.0,3.0,681.2,2.0,3.0,604.5,2.0,3.0,860.3
3.0,5.0,12.2,3.0,5.0,176.3,2.0,5.0,200.0,2.0,5.0,573.6,2.0,4.0,720.1,2.0,4.0,1004.0
3.0,6.0,26.3,3.0,6.0,275.4,2.0,6.0,309.5,2.0,6.0,663.7,2.0,6.0,530.9,2.0,5.0,844.9
4.0,2.0,18.9,4.0,1.0,213.6,4.0,1.0,168.3,3.0,1.0,341.1,3.0,1.0,292.6,3.0,1.0,545.4
4.0,3.0,22.5,4.0,3.0,362.1,4.0,2.0,333.4,3.0,2.0,653.7,3.0,2.0,682.3,3.0,2.0,1058.0
4.0,5.0,23.4,4.0,5.0,357.2,4.0,5.0,217.3,3.0,5.0,473.9,3.0,4.0,773.0,3.0,4.0,1081.0
4.0,6.0,33.6,4.0,6.0,457.3,4.0,6.0,304.0,3.0,6.0,528.0,3.0,6.0,525.8,3.0,5.0,821.8
5.0,2.0,23.1,5.0,1.0,209.5,5.0,1.0,159.0,5.0,1.0,267.4,4.0,1.0,403.0,4.0,1.0,595.1
5.0,3.0,23.8,5.0,3.0,317.1,5.0,2.0,267.7,5.0,2.0,464.6,4.0,2.0,723.9,4.0,2.0,954.8
5.0,4.0,35.9,5.0,4.0,444.6,5.0,4.0,298.9,5.0,3.0,590.4,4.0,3.0,888.5,4.0,3.0,1298.0
5.0,6.0,38.1,5.0,6.0,397.7,5.0,6.0,278.2,5.0,6.0,288.0,4.0,6.0,480.7,4.0,5.0,980.8
6.0,2.0,62.7,6.0,1.0,383.5,6.0,1.0,340.6,6.0,1.0,425.9,6.0,1.0,356.2,5.0,1.0,537.6
6.0,3.0,68.5,6.0,3.0,588.1,6.0,2.0,488.2,6.0,2.0,675.7,6.0,2.0,620.6,5.0,2.0,987.3
6.0,4.0,77.0,6.0,4.0,721.7,6.0,4.0,555.3,6.0,3.0,765.5,6.0,3.0,590.6,5.0,3.0,810.9
6.0,5.0,74.2,6.0,5.0,613.7,6.0,5.0,451.7,6.0,5.0,425.9,6.0,4.0,596.8,5.0,4.0,939.0
