1,豊田 泰洋,豊田 泰洋.1,2,杉村 賢也,杉村 賢也.1,3,筒井 美琴,筒井 美琴.1,4,木村 光宏,木村 光宏.1,5,渡邊　伸太郎,渡邊　伸太郎.1,6,浦田 信義,浦田 信義.1
2.0,3.0,96.6,1.0,3.0,227.7,1.0,2.0,466.7,1.0,2.0,28.6,1.0,2.0,99.2,1.0,2.0,311.8
2.0,4.0,21.5,1.0,4.0,52.8,1.0,4.0,498.2,1.0,3.0,115.8,1.0,3.0,304.7,1.0,3.0,646.5
2.0,5.0,31.6,1.0,5.0,66.7,1.0,5.0,583.8,1.0,5.0,15.3,1.0,4.0,49.9,1.0,4.0,208.4
2.0,6.0,69.0,1.0,6.0,102.5,1.0,6.0,716.4,1.0,6.0,24.3,1.0,6.0,74.6,1.0,5.0,269.9
3.0,2.0,185.8,3.0,1.0,498.2,2.0,1.0,530.1,2.0,1.0,58.1,2.0,1.0,144.2,2.0,1.0,357.2
3.0,4.0,197.8,3.0,4.0,646.5,2.0,4.0,605.2,2.0,3.0,228.9,2.0,3.0,485.5,2.0,3.0,625.2
3.0,5.0,276.1,3.0,5.0,693.9,2.0,5.0,761.7,2.0,5.0,44.7,2.0,4.0,96.6,2.0,4.0,293.8
3.0,6.0,383.0,3.0,6.0,770.6,2.0,6.0,844.2,2.0,6.0,61.4,2.0,6.0,130.5,2.0,5.0,361.1
4.0,2.0,18.3,4.0,1.0,73.8,4.0,1.0,625.2,3.0,1.0,311.1,3.0,1.0,613.6,3.0,1.0,1162.0
4.0,3.0,110.8,4.0,3.0,361.1,4.0,2.0,724.2,3.0,2.0,449.3,3.0,2.0,712.6,3.0,2.0,1043.0
4.0,5.0,14.4,4.0,5.0,66.9,4.0,5.0,573.7,3.0,5.0,251.0,3.0,4.0,528.0,3.0,4.0,808.2
4.0,6.0,28.5,4.0,6.0,105.8,4.0,6.0,652.9,3.0,6.0,304.0,3.0,6.0,597.0,3.0,5.0,1123.0
5.0,2.0,34.9,5.0,1.0,114.7,5.0,1.0,818.1,5.0,1.0,16.0,4.0,1.0,34.1,4.0,1.0,189.3
5.0,3.0,207.1,5.0,3.0,470.0,5.0,2.0,793.6,5.0,2.0,21.7,4.0,2.0,50.8,4.0,2.0,235.0
5.0,4.0,27.4,5.0,4.0,92.1,5.0,4.0,748.8,5.0,3.0,77.9,4.0,3.0,165.8,4.0,3.0,455.4
5.0,6.0,46.8,5.0,6.0,141.1,5.0,6.0,640.3,5.0,6.0,14.4,4.0,6.0,30.9,4.0,5.0,135.1
6.0,2.0,131.1,6.0,1.0,338.9,6.0,1.0,1172.0,6.0,1.0,44.3,6.0,1.0,106.1,5.0,1.0,310.4
6.0,3.0,364.1,6.0,3.0,788.9,6.0,2.0,996.5,6.0,2.0,58.4,6.0,2.0,136.7,5.0,2.0,410.3
6.0,4.0,78.0,6.0,4.0,216.2,6.0,4.0,907.8,6.0,3.0,145.3,6.0,3.0,321.7,5.0,3.0,818.1
6.0,5.0,92.7,6.0,5.0,237.1,6.0,5.0,1142.0,6.0,5.0,30.6,6.0,4.0,63.3,5.0,4.0,161.0
