1,胡本 悟志,胡本 悟志.1,2,粟田 祥,粟田 祥.1,3,加藤 翔馬,加藤 翔馬.1,4,杉山 太陽,杉山 太陽.1,5,西原 明生,西原 明生.1,6,塩田 北斗,塩田 北斗.1
2.0,3.0,37.6,1.0,3.0,86.0,1.0,2.0,38.8,1.0,2.0,526.6,1.0,2.0,675.9,1.0,2.0,39.5
2.0,4.0,212.8,1.0,4.0,413.7,1.0,4.0,130.2,1.0,3.0,622.3,1.0,3.0,374.3,1.0,3.0,14.3
2.0,5.0,160.0,1.0,5.0,311.6,1.0,5.0,63.1,1.0,5.0,829.0,1.0,4.0,969.1,1.0,4.0,119.5
2.0,6.0,41.2,1.0,6.0,74.4,1.0,6.0,13.5,1.0,6.0,463.3,1.0,6.0,339.5,1.0,5.0,57.5
3.0,2.0,25.8,3.0,1.0,99.9,2.0,1.0,63.0,2.0,1.0,663.2,2.0,1.0,832.2,2.0,1.0,74.4
3.0,4.0,118.1,3.0,4.0,345.6,2.0,4.0,286.4,2.0,3.0,663.2,2.0,3.0,695.8,2.0,3.0,57.9
3.0,5.0,57.7,3.0,5.0,232.4,2.0,5.0,159.6,2.0,5.0,829.0,2.0,4.0,1226.0,2.0,4.0,263.9
3.0,6.0,10.1,3.0,6.0,63.5,2.0,6.0,40.4,2.0,6.0,544.1,2.0,6.0,591.1,2.0,5.0,150.2
4.0,2.0,413.7,4.0,1.0,914.8,4.0,1.0,417.7,3.0,1.0,669.5,3.0,1.0,395.9,3.0,1.0,13.7
4.0,3.0,333.1,4.0,3.0,869.8,4.0,2.0,444.9,3.0,2.0,691.3,3.0,2.0,592.8,3.0,2.0,29.7
4.0,5.0,408.9,4.0,5.0,1360.0,4.0,5.0,360.3,3.0,5.0,783.1,3.0,4.0,866.2,3.0,4.0,75.6
4.0,6.0,238.1,4.0,6.0,682.4,4.0,6.0,201.5,3.0,6.0,406.5,3.0,6.0,237.1,3.0,5.0,30.4
5.0,2.0,273.1,5.0,1.0,695.8,5.0,1.0,169.7,5.0,1.0,1179.0,4.0,1.0,1128.0,4.0,1.0,247.0
5.0,3.0,162.2,5.0,3.0,522.7,5.0,2.0,276.3,5.0,2.0,1128.0,4.0,2.0,1369.0,4.0,2.0,326.5
5.0,4.0,444.0,5.0,4.0,1302.0,5.0,4.0,397.4,5.0,3.0,771.7,4.0,3.0,1005.0,4.0,3.0,193.1
5.0,6.0,146.2,5.0,6.0,535.9,5.0,6.0,90.0,5.0,6.0,584.6,4.0,6.0,803.9,4.0,5.0,233.2
6.0,2.0,28.8,6.0,1.0,95.0,6.0,1.0,13.2,6.0,1.0,432.2,6.0,1.0,305.8,5.0,1.0,93.6
6.0,3.0,11.2,6.0,3.0,69.0,6.0,2.0,23.5,6.0,2.0,599.5,6.0,2.0,512.6,5.0,2.0,148.2
6.0,4.0,90.6,6.0,4.0,358.5,6.0,4.0,68.1,6.0,3.0,373.6,6.0,3.0,219.9,5.0,3.0,74.4
6.0,5.0,46.6,6.0,5.0,215.4,6.0,5.0,27.7,6.0,5.0,537.3,6.0,4.0,691.3,5.0,4.0,189.6
