1,石川 真二,石川 真二.1,2,大澤 大夢,大澤 大夢.1,3,屋良 龍紀,屋良 龍紀.1,4,峰重 侑治,峰重 侑治.1,5,中渡 修作,中渡 修作.1,6,吉原 快誓,吉原 快誓.1
2.0,3.0,12.7,1.0,3.0,92.0,1.0,2.0,91.1,1.0,2.0,28.5,1.0,2.0,223.4,1.0,2.0,2342.0
2.0,4.0,6.3,1.0,4.0,48.1,1.0,4.0,53.0,1.0,3.0,43.6,1.0,3.0,299.2,1.0,3.0,3243.0
2.0,5.0,23.0,1.0,5.0,139.9,1.0,5.0,118.4,1.0,5.0,33.7,1.0,4.0,162.4,1.0,4.0,2941.0
2.0,6.0,305.0,1.0,6.0,912.1,1.0,6.0,731.1,1.0,6.0,373.8,1.0,6.0,1256.0,1.0,5.0,4684.0
3.0,2.0,17.0,3.0,1.0,237.6,2.0,1.0,197.8,2.0,1.0,52.4,2.0,1.0,415.6,2.0,1.0,4080.0
3.0,4.0,10.9,3.0,4.0,296.6,2.0,4.0,223.7,2.0,3.0,157.1,2.0,3.0,790.5,2.0,3.0,5499.0
3.0,5.0,27.1,3.0,5.0,542.8,2.0,5.0,416.0,2.0,5.0,122.9,2.0,4.0,462.7,2.0,4.0,4169.0
3.0,6.0,316.2,3.0,6.0,2480.0,2.0,6.0,2299.0,2.0,6.0,1109.0,2.0,6.0,2480.0,2.0,5.0,6899.0
4.0,2.0,6.1,4.0,1.0,92.3,4.0,1.0,77.1,3.0,1.0,86.0,3.0,1.0,512.7,3.0,1.0,5663.0
4.0,3.0,8.3,4.0,3.0,267.2,4.0,2.0,146.1,3.0,2.0,155.0,3.0,2.0,821.3,3.0,2.0,5837.0
4.0,5.0,10.7,4.0,5.0,291.8,4.0,5.0,134.0,3.0,5.0,150.6,3.0,4.0,631.3,3.0,4.0,5499.0
4.0,6.0,211.5,4.0,6.0,1916.0,4.0,6.0,843.2,3.0,6.0,1039.0,3.0,6.0,3035.0,3.0,5.0,6220.0
5.0,2.0,43.9,5.0,1.0,360.3,5.0,1.0,270.2,5.0,1.0,54.5,4.0,1.0,157.5,4.0,1.0,3720.0
5.0,3.0,49.0,5.0,3.0,682.4,5.0,2.0,462.7,5.0,2.0,87.0,4.0,2.0,245.5,4.0,2.0,4124.0
5.0,4.0,38.9,5.0,4.0,441.2,5.0,4.0,325.9,5.0,3.0,130.1,4.0,3.0,340.6,4.0,3.0,4263.0
5.0,6.0,404.9,5.0,6.0,2219.0,5.0,6.0,2371.0,5.0,6.0,427.3,4.0,6.0,977.9,4.0,5.0,6899.0
6.0,2.0,715.9,6.0,1.0,3188.0,6.0,1.0,3243.0,6.0,1.0,1106.0,6.0,1.0,3060.0,5.0,1.0,6431.0
6.0,3.0,763.4,6.0,3.0,4627.0,6.0,2.0,3683.0,6.0,2.0,1926.0,6.0,2.0,2790.0,5.0,2.0,5837.0
6.0,4.0,728.3,6.0,4.0,3513.0,6.0,4.0,3513.0,6.0,3.0,2051.0,6.0,3.0,4803.0,5.0,3.0,7026.0
6.0,5.0,914.3,6.0,5.0,3328.0,6.0,5.0,5197.0,6.0,5.0,1290.0,6.0,4.0,3871.0,5.0,4.0,5928.0
