1,伏田 裕隆,伏田 裕隆.1,2,堀之内紀代子,堀之内紀代子.1,3,木下 陽介,木下 陽介.1,4,中辻 崇人,中辻 崇人.1,5,坂井 滉哉,坂井 滉哉.1,6,木場 悠介,木場 悠介.1
2.0,3.0,60.7,1.0,3.0,92.6,1.0,2.0,164.3,1.0,2.0,25.5,1.0,2.0,151.0,1.0,2.0,521.5
2.0,4.0,36.0,1.0,4.0,46.8,1.0,4.0,76.1,1.0,3.0,33.6,1.0,3.0,237.7,1.0,3.0,929.1
2.0,5.0,83.9,1.0,5.0,134.8,1.0,5.0,135.4,1.0,5.0,23.2,1.0,4.0,102.5,1.0,4.0,400.8
2.0,6.0,99.5,1.0,6.0,120.4,1.0,6.0,163.9,1.0,6.0,23.9,1.0,6.0,145.6,1.0,5.0,655.4
3.0,2.0,69.3,3.0,1.0,170.7,2.0,1.0,228.7,2.0,1.0,35.1,2.0,1.0,297.1,2.0,1.0,717.4
3.0,4.0,37.1,3.0,4.0,122.2,2.0,4.0,147.2,2.0,3.0,58.3,2.0,3.0,444.9,2.0,3.0,985.8
3.0,5.0,70.0,3.0,5.0,323.7,2.0,5.0,344.4,2.0,5.0,43.3,2.0,4.0,196.0,2.0,4.0,335.4
3.0,6.0,98.3,3.0,6.0,281.0,2.0,6.0,349.9,2.0,6.0,41.1,2.0,6.0,268.8,2.0,5.0,836.2
4.0,2.0,29.4,4.0,1.0,50.3,4.0,1.0,76.4,3.0,1.0,50.5,3.0,1.0,324.6,3.0,1.0,1031.0
4.0,3.0,32.5,4.0,3.0,85.5,4.0,2.0,101.0,3.0,2.0,61.0,3.0,2.0,466.3,3.0,2.0,1010.0
4.0,5.0,34.0,4.0,5.0,97.3,4.0,5.0,86.3,3.0,5.0,58.6,3.0,4.0,233.1,3.0,4.0,603.2
4.0,6.0,39.3,4.0,6.0,92.1,4.0,6.0,92.7,3.0,6.0,56.3,3.0,6.0,319.5,3.0,5.0,915.1
5.0,2.0,98.2,5.0,1.0,261.3,5.0,1.0,209.7,5.0,1.0,20.4,4.0,1.0,73.8,4.0,1.0,279.0
5.0,3.0,115.0,5.0,3.0,424.7,5.0,2.0,338.2,5.0,2.0,26.9,4.0,2.0,84.4,4.0,2.0,229.8
5.0,4.0,69.3,5.0,4.0,189.7,5.0,4.0,136.0,5.0,3.0,52.0,4.0,3.0,159.2,4.0,3.0,417.4
5.0,6.0,130.1,5.0,6.0,377.1,5.0,6.0,178.7,5.0,6.0,15.2,4.0,6.0,61.9,4.0,5.0,215.7
6.0,2.0,227.9,6.0,1.0,348.4,6.0,1.0,388.0,6.0,1.0,40.8,6.0,1.0,214.6,5.0,1.0,592.9
6.0,3.0,245.2,6.0,3.0,538.9,6.0,2.0,450.7,6.0,2.0,46.6,6.0,2.0,226.6,5.0,2.0,581.5
6.0,4.0,139.2,6.0,4.0,221.6,6.0,4.0,209.9,6.0,3.0,67.9,6.0,3.0,310.5,5.0,3.0,717.4
6.0,5.0,241.5,6.0,5.0,521.5,6.0,5.0,319.9,6.0,5.0,29.9,6.0,4.0,123.6,5.0,4.0,275.8
