1,佐々木　完太,佐々木　完太.1,2,山本 浩輔,山本 浩輔.1,3,吉武 真也,吉武 真也.1,4,若林 義人,若林 義人.1,5,杉山 正樹,杉山 正樹.1,6,大田 直弥,大田 直弥.1
2.0,3.0,39.7,1.0,3.0,332.6,1.0,2.0,275.1,1.0,2.0,44.6,1.0,2.0,119.2,1.0,2.0,1421.0
2.0,4.0,18.9,1.0,4.0,191.6,1.0,4.0,129.2,1.0,3.0,52.1,1.0,3.0,132.3,1.0,3.0,2494.0
2.0,5.0,25.4,1.0,5.0,242.3,1.0,5.0,147.3,1.0,5.0,14.0,1.0,4.0,45.6,1.0,4.0,780.0
2.0,6.0,88.3,1.0,6.0,565.0,1.0,6.0,369.8,1.0,6.0,46.4,1.0,6.0,110.9,1.0,5.0,902.4
3.0,2.0,39.3,3.0,1.0,517.4,2.0,1.0,417.7,2.0,1.0,135.7,2.0,1.0,352.1,2.0,1.0,2260.0
3.0,4.0,14.6,3.0,4.0,701.4,2.0,4.0,509.5,2.0,3.0,365.7,2.0,3.0,811.1,2.0,3.0,3185.0
3.0,5.0,26.1,3.0,5.0,947.7,2.0,5.0,694.0,2.0,5.0,155.0,2.0,4.0,469.6,2.0,4.0,2319.0
3.0,6.0,109.6,3.0,6.0,1271.0,2.0,6.0,986.6,2.0,6.0,306.0,2.0,6.0,661.0,2.0,5.0,3724.0
4.0,2.0,12.4,4.0,1.0,278.6,4.0,1.0,186.3,3.0,1.0,162.7,3.0,1.0,427.1,3.0,1.0,3264.0
4.0,3.0,12.1,4.0,3.0,654.5,4.0,2.0,432.7,3.0,2.0,366.7,3.0,2.0,1144.0,3.0,2.0,3888.0
4.0,5.0,6.5,4.0,5.0,432.0,4.0,5.0,199.1,3.0,5.0,162.8,3.0,4.0,553.2,3.0,4.0,1916.0
4.0,6.0,25.6,4.0,6.0,986.6,4.0,6.0,403.0,3.0,6.0,337.2,3.0,6.0,1218.0,3.0,5.0,4334.0
5.0,2.0,29.1,5.0,1.0,468.8,5.0,1.0,325.2,5.0,1.0,17.6,4.0,1.0,45.2,4.0,1.0,831.5
5.0,3.0,33.5,5.0,3.0,994.1,5.0,2.0,732.4,5.0,2.0,66.6,4.0,2.0,171.9,4.0,2.0,1823.0
5.0,4.0,14.0,5.0,4.0,619.2,5.0,4.0,352.5,5.0,3.0,84.8,4.0,3.0,185.9,4.0,3.0,1862.0
5.0,6.0,47.2,5.0,6.0,1399.0,5.0,6.0,757.6,5.0,6.0,31.7,4.0,6.0,78.3,4.0,5.0,643.3
6.0,2.0,243.4,6.0,1.0,1511.0,6.0,1.0,927.8,6.0,1.0,123.2,6.0,1.0,318.2,5.0,1.0,850.2
6.0,3.0,310.3,6.0,3.0,1930.0,6.0,2.0,1196.0,6.0,2.0,298.1,6.0,2.0,699.5,5.0,2.0,2671.0
6.0,4.0,128.0,6.0,4.0,1798.0,6.0,4.0,861.3,6.0,3.0,384.9,6.0,3.0,954.6,5.0,3.0,3672.0
6.0,5.0,132.2,6.0,5.0,2082.0,6.0,5.0,1041.0,6.0,5.0,113.6,6.0,4.0,252.3,5.0,4.0,666.0
