1,島田 賢人,島田 賢人.1,2,村田 敦,村田 敦.1,3,川村 正輝,川村 正輝.1,4,田村 隆信,田村 隆信.1,5,上野 秀和,上野 秀和.1,6,黒柳 浩孝,黒柳 浩孝.1
2.0,3.0,23.6,1.0,3.0,308.1,1.0,2.0,279.4,1.0,2.0,75.3,1.0,2.0,594.8,1.0,2.0,215.8
2.0,4.0,15.0,1.0,4.0,271.0,1.0,4.0,123.5,1.0,3.0,70.0,1.0,3.0,589.8,1.0,3.0,173.0
2.0,5.0,41.5,1.0,5.0,582.5,1.0,5.0,236.8,1.0,5.0,86.8,1.0,4.0,321.2,1.0,4.0,106.3
2.0,6.0,27.4,1.0,6.0,412.4,1.0,6.0,152.9,1.0,6.0,38.7,1.0,6.0,376.4,1.0,5.0,272.4
3.0,2.0,24.8,3.0,1.0,556.5,2.0,1.0,593.0,2.0,1.0,285.5,2.0,1.0,1125.0,2.0,1.0,436.8
3.0,4.0,8.4,3.0,4.0,1200.0,2.0,4.0,1002.0,2.0,3.0,776.7,2.0,3.0,2309.0,2.0,3.0,734.6
3.0,5.0,28.6,3.0,5.0,1414.0,2.0,5.0,1504.0,2.0,5.0,757.4,2.0,4.0,2227.0,2.0,4.0,639.4
3.0,6.0,15.4,3.0,6.0,1419.0,2.0,6.0,1115.0,2.0,6.0,457.9,2.0,6.0,2031.0,2.0,5.0,1477.0
4.0,2.0,12.3,4.0,1.0,441.1,4.0,1.0,233.5,3.0,1.0,236.5,3.0,1.0,1510.0,3.0,1.0,405.8
4.0,3.0,8.2,4.0,3.0,1170.0,4.0,2.0,893.7,3.0,2.0,882.3,3.0,2.0,2933.0,3.0,2.0,1142.0
4.0,5.0,13.9,4.0,5.0,1525.0,4.0,5.0,629.3,3.0,5.0,704.7,3.0,4.0,1889.0,3.0,4.0,689.9
4.0,6.0,7.2,4.0,6.0,930.9,4.0,6.0,349.2,3.0,6.0,374.2,3.0,6.0,2288.0,3.0,5.0,1409.0
5.0,2.0,65.2,5.0,1.0,1156.0,5.0,1.0,944.8,5.0,1.0,188.1,4.0,1.0,448.9,4.0,1.0,169.2
5.0,3.0,55.5,5.0,3.0,1547.0,5.0,2.0,1808.0,5.0,2.0,599.5,4.0,2.0,1419.0,4.0,2.0,597.2
5.0,4.0,33.4,5.0,4.0,1710.0,5.0,4.0,1172.0,5.0,3.0,546.9,4.0,3.0,1316.0,4.0,3.0,508.4
5.0,6.0,42.5,5.0,6.0,2075.0,5.0,6.0,1008.0,5.0,6.0,205.9,4.0,6.0,652.6,4.0,5.0,648.7
6.0,2.0,40.2,6.0,1.0,917.4,6.0,1.0,390.9,6.0,1.0,78.9,6.0,1.0,724.1,5.0,1.0,592.1
6.0,3.0,25.8,6.0,3.0,1658.0,6.0,2.0,919.7,6.0,2.0,311.2,6.0,2.0,2058.0,5.0,2.0,1680.0
6.0,4.0,17.4,6.0,4.0,1270.0,6.0,4.0,599.1,6.0,3.0,282.4,6.0,3.0,1942.0,5.0,3.0,1399.0
6.0,5.0,41.7,6.0,5.0,2295.0,6.0,5.0,1080.0,6.0,5.0,226.9,6.0,4.0,982.7,5.0,4.0,853.5
