1,横田 茂,横田 茂.1,2,長尾　京志郎,長尾　京志郎.1,3,前原 大道,前原 大道.1,4,井川 大作,井川 大作.1,5,村越 篤,村越 篤.1,6,石丸 海渡,石丸 海渡.1
2.0,3.0,15.2,1.0,3.0,40.1,1.0,2.0,32.4,1.0,2.0,264.1,1.0,2.0,174.1,1.0,2.0,218.4
2.0,4.0,44.0,1.0,4.0,100.9,1.0,4.0,45.7,1.0,3.0,202.8,1.0,3.0,158.7,1.0,3.0,130.9
2.0,5.0,30.4,1.0,5.0,77.0,1.0,5.0,28.0,1.0,5.0,211.3,1.0,4.0,312.5,1.0,4.0,385.7
2.0,6.0,27.6,1.0,6.0,75.4,1.0,6.0,24.6,1.0,6.0,200.2,1.0,6.0,145.8,1.0,5.0,238.7
3.0,2.0,13.6,3.0,1.0,84.5,2.0,1.0,77.8,2.0,1.0,324.7,2.0,1.0,214.8,2.0,1.0,402.2
3.0,4.0,26.6,3.0,4.0,215.4,2.0,4.0,131.4,2.0,3.0,496.7,2.0,3.0,277.0,2.0,3.0,344.4
3.0,5.0,12.0,3.0,5.0,113.2,2.0,5.0,98.2,2.0,5.0,307.7,2.0,4.0,356.6,2.0,4.0,741.2
3.0,6.0,12.8,3.0,6.0,99.7,2.0,6.0,82.7,2.0,6.0,368.6,2.0,6.0,263.1,2.0,5.0,459.6
4.0,2.0,79.9,4.0,1.0,230.9,4.0,1.0,144.4,3.0,1.0,269.6,3.0,1.0,186.5,3.0,1.0,139.7
4.0,3.0,58.4,4.0,3.0,340.3,4.0,2.0,177.1,3.0,2.0,374.5,3.0,2.0,260.7,3.0,2.0,221.2
4.0,5.0,83.5,4.0,5.0,281.4,4.0,5.0,124.8,3.0,5.0,250.5,3.0,4.0,404.5,3.0,4.0,283.1
4.0,6.0,87.2,4.0,6.0,349.5,4.0,6.0,106.6,3.0,6.0,210.9,3.0,6.0,136.2,3.0,5.0,130.1
5.0,2.0,57.2,5.0,1.0,218.4,5.0,1.0,73.5,5.0,1.0,236.3,4.0,1.0,399.9,4.0,1.0,649.4
5.0,3.0,39.4,5.0,3.0,192.8,5.0,2.0,107.2,5.0,2.0,253.7,4.0,2.0,378.5,4.0,2.0,847.7
5.0,4.0,98.3,5.0,4.0,303.1,5.0,4.0,139.3,5.0,3.0,309.1,4.0,3.0,416.4,4.0,3.0,580.2
5.0,6.0,45.4,5.0,6.0,145.6,5.0,6.0,44.2,5.0,6.0,132.4,4.0,6.0,224.7,4.0,5.0,345.3
6.0,2.0,55.9,6.0,1.0,212.2,6.0,1.0,55.0,6.0,1.0,239.1,6.0,1.0,176.5,5.0,1.0,263.1
6.0,3.0,32.9,6.0,3.0,188.7,6.0,2.0,96.7,6.0,2.0,352.1,6.0,2.0,251.9,5.0,2.0,397.6
6.0,4.0,114.4,6.0,4.0,392.1,6.0,4.0,130.4,6.0,3.0,265.1,6.0,3.0,135.0,5.0,3.0,169.7
6.0,5.0,52.8,6.0,5.0,205.7,6.0,5.0,49.3,6.0,5.0,182.9,6.0,4.0,235.1,5.0,4.0,287.1
