1,鈴木 雅希,鈴木 雅希.1,2,藤原 仙二,藤原 仙二.1,3,東本 勝利,東本 勝利.1,4,宮下 元胤,宮下 元胤.1,5,三原 司,三原 司.1,6,笠置 博之,笠置 博之.1
2.0,3.0,11.9,1.0,3.0,47.8,1.0,2.0,43.4,1.0,2.0,86.8,1.0,2.0,676.8,1.0,2.0,783.5
2.0,4.0,16.4,1.0,4.0,56.5,1.0,4.0,20.2,1.0,3.0,51.7,1.0,3.0,551.6,1.0,3.0,511.9
2.0,5.0,54.2,1.0,5.0,150.9,1.0,5.0,65.3,1.0,5.0,97.6,1.0,4.0,546.9,1.0,4.0,599.7
2.0,6.0,45.2,1.0,6.0,121.5,1.0,6.0,38.2,1.0,6.0,68.8,1.0,6.0,631.9,1.0,5.0,1212.0
3.0,2.0,10.0,3.0,1.0,103.0,2.0,1.0,107.9,2.0,1.0,163.0,2.0,1.0,1124.0,2.0,1.0,1239.0
3.0,4.0,6.6,3.0,4.0,145.0,2.0,4.0,122.8,2.0,3.0,239.2,2.0,3.0,1796.0,2.0,3.0,1457.0
3.0,5.0,27.3,3.0,5.0,386.3,2.0,5.0,292.4,2.0,5.0,315.3,2.0,4.0,1592.0,2.0,4.0,1609.0
3.0,6.0,18.0,3.0,6.0,283.5,2.0,6.0,218.5,2.0,6.0,271.6,2.0,6.0,1804.0,2.0,5.0,2204.0
4.0,2.0,18.3,4.0,1.0,137.5,4.0,1.0,36.3,3.0,1.0,72.3,3.0,1.0,793.3,3.0,1.0,573.6
4.0,3.0,11.1,4.0,3.0,206.0,4.0,2.0,95.2,3.0,2.0,194.6,3.0,2.0,1826.0,3.0,2.0,1420.0
4.0,5.0,34.3,4.0,5.0,470.4,4.0,5.0,107.0,3.0,5.0,208.1,3.0,4.0,1147.0,3.0,4.0,475.4
4.0,6.0,23.8,4.0,6.0,322.3,4.0,6.0,54.5,3.0,6.0,103.6,3.0,6.0,1355.0,3.0,5.0,1953.0
5.0,2.0,154.6,5.0,1.0,580.3,5.0,1.0,262.2,5.0,1.0,171.8,4.0,1.0,622.2,4.0,1.0,669.8
5.0,3.0,106.6,5.0,3.0,902.0,5.0,2.0,517.8,5.0,2.0,307.9,4.0,2.0,1174.0,4.0,2.0,1476.0
5.0,4.0,125.7,5.0,4.0,1019.0,5.0,4.0,290.5,5.0,3.0,281.7,4.0,3.0,943.9,4.0,3.0,508.4
5.0,6.0,169.0,5.0,6.0,1065.0,5.0,6.0,347.9,5.0,6.0,197.5,4.0,6.0,692.6,4.0,5.0,1278.0
6.0,2.0,117.5,6.0,1.0,469.0,6.0,1.0,161.4,6.0,1.0,161.8,6.0,1.0,1165.0,5.0,1.0,1768.0
6.0,3.0,76.6,6.0,3.0,693.6,6.0,2.0,348.7,6.0,2.0,318.6,6.0,2.0,1920.0,5.0,2.0,2294.0
6.0,4.0,87.1,6.0,4.0,657.0,6.0,4.0,152.0,6.0,3.0,170.1,6.0,3.0,1420.0,5.0,3.0,2033.0
6.0,5.0,185.1,6.0,5.0,1102.0,6.0,5.0,355.6,6.0,5.0,260.2,6.0,4.0,1021.0,5.0,4.0,1327.0
