1,市橋 卓士,市橋 卓士.1,2,篠崎 仁志,篠崎 仁志.1,3,久田 敏之,久田 敏之.1,4,下條　雄太郎,下條　雄太郎.1,5,高倉 和士,高倉 和士.1,6,宮地 元輝,宮地 元輝.1
2.0,3.0,18.7,1.0,3.0,52.0,1.0,2.0,90.7,1.0,2.0,62.0,1.0,2.0,341.2,1.0,2.0,734.7
2.0,4.0,14.7,1.0,4.0,37.1,1.0,4.0,53.6,1.0,3.0,63.4,1.0,3.0,352.2,1.0,3.0,753.0
2.0,5.0,46.1,1.0,5.0,112.2,1.0,5.0,97.9,1.0,5.0,73.1,1.0,4.0,254.2,1.0,4.0,499.8
2.0,6.0,36.9,1.0,6.0,76.2,1.0,6.0,93.2,1.0,6.0,61.6,1.0,6.0,312.9,1.0,5.0,1113.0
3.0,2.0,22.4,3.0,1.0,93.8,2.0,1.0,122.5,2.0,1.0,87.8,2.0,1.0,513.3,2.0,1.0,863.0
3.0,4.0,16.0,3.0,4.0,41.9,2.0,4.0,51.2,2.0,3.0,66.2,2.0,3.0,475.6,2.0,3.0,737.1
3.0,5.0,38.4,3.0,5.0,110.8,2.0,5.0,118.4,2.0,5.0,108.2,2.0,4.0,396.3,2.0,4.0,335.7
3.0,6.0,39.8,3.0,6.0,80.2,2.0,6.0,83.5,2.0,6.0,54.7,2.0,6.0,414.5,2.0,5.0,1179.0
4.0,2.0,20.5,4.0,1.0,68.5,4.0,1.0,64.9,3.0,1.0,100.0,3.0,1.0,558.3,3.0,1.0,1200.0
4.0,3.0,20.5,4.0,3.0,48.6,4.0,2.0,49.0,3.0,2.0,71.3,3.0,2.0,517.6,3.0,2.0,853.8
4.0,5.0,37.1,4.0,5.0,98.6,4.0,5.0,62.7,3.0,5.0,93.4,3.0,4.0,384.9,3.0,4.0,524.1
4.0,6.0,30.8,4.0,6.0,48.2,4.0,6.0,46.4,3.0,6.0,67.4,3.0,6.0,493.1,3.0,5.0,1462.0
5.0,2.0,87.8,5.0,1.0,290.7,5.0,1.0,206.8,5.0,1.0,97.9,4.0,1.0,302.3,4.0,1.0,548.1
5.0,3.0,86.1,5.0,3.0,238.3,5.0,2.0,179.2,5.0,2.0,101.0,4.0,2.0,298.9,4.0,2.0,305.9
5.0,4.0,72.7,5.0,4.0,221.2,5.0,4.0,129.4,5.0,3.0,122.3,4.0,3.0,335.2,4.0,3.0,460.8
5.0,6.0,105.8,5.0,6.0,254.6,5.0,6.0,163.7,5.0,6.0,65.7,4.0,6.0,217.8,4.0,5.0,573.3
6.0,2.0,139.0,6.0,1.0,259.5,6.0,1.0,262.2,6.0,1.0,93.5,6.0,1.0,547.8,5.0,1.0,1396.0
6.0,3.0,134.4,6.0,3.0,241.2,6.0,2.0,232.9,6.0,2.0,71.4,6.0,2.0,593.5,5.0,2.0,1401.0
6.0,4.0,105.0,6.0,4.0,140.2,6.0,4.0,144.6,6.0,3.0,105.5,6.0,3.0,664.3,5.0,3.0,1525.0
6.0,5.0,184.9,6.0,5.0,390.1,6.0,5.0,305.7,6.0,5.0,92.5,6.0,4.0,393.3,5.0,4.0,741.5
