1,黒崎 竜也,黒崎 竜也.1,2,下河 雅史,下河 雅史.1,3,森 智哉,森 智哉.1,4,富山 弘幸,富山 弘幸.1,5,岩永 雅人,岩永 雅人.1,6,田中 駿兵,田中 駿兵.1
2.0,3.0,7.9,1.0,3.0,96.7,1.0,2.0,120.7,1.0,2.0,173.3,1.0,2.0,115.3,1.0,2.0,713.8
2.0,4.0,7.1,1.0,4.0,90.0,1.0,4.0,99.6,1.0,3.0,281.2,1.0,3.0,152.5,1.0,3.0,1098.0
2.0,5.0,8.0,1.0,5.0,91.9,1.0,5.0,86.7,1.0,5.0,137.4,1.0,4.0,136.9,1.0,4.0,991.5
2.0,6.0,43.2,1.0,6.0,290.7,1.0,6.0,239.2,1.0,6.0,384.9,1.0,6.0,210.5,1.0,5.0,810.1
3.0,2.0,10.6,3.0,1.0,260.6,2.0,1.0,293.0,2.0,1.0,296.8,2.0,1.0,266.0,2.0,1.0,1192.0
3.0,4.0,12.5,3.0,4.0,554.0,2.0,4.0,584.2,2.0,3.0,804.5,2.0,3.0,713.8,2.0,3.0,2181.0
3.0,5.0,11.5,3.0,5.0,543.8,2.0,5.0,549.9,2.0,5.0,534.4,2.0,4.0,561.9,2.0,4.0,1618.0
3.0,6.0,45.2,3.0,6.0,1182.0,2.0,6.0,1187.0,2.0,6.0,1163.0,2.0,6.0,771.9,2.0,5.0,1574.0
4.0,2.0,12.9,4.0,1.0,253.5,4.0,1.0,293.3,3.0,1.0,593.7,3.0,1.0,357.1,3.0,1.0,1963.0
4.0,3.0,22.7,4.0,3.0,628.5,4.0,2.0,692.0,3.0,2.0,1216.0,3.0,2.0,739.8,3.0,2.0,2617.0
4.0,5.0,16.2,4.0,5.0,434.0,4.0,5.0,486.7,3.0,5.0,915.9,3.0,4.0,840.1,3.0,4.0,2887.0
4.0,6.0,66.8,4.0,6.0,1096.0,4.0,6.0,1015.0,3.0,6.0,2059.0,3.0,6.0,1234.0,3.0,5.0,3035.0
5.0,2.0,16.1,5.0,1.0,266.2,5.0,1.0,231.6,5.0,1.0,180.4,4.0,1.0,230.2,4.0,1.0,1969.0
5.0,3.0,20.6,5.0,3.0,728.9,5.0,2.0,627.2,5.0,2.0,405.3,4.0,2.0,478.8,4.0,2.0,2571.0
5.0,4.0,23.6,5.0,4.0,578.5,5.0,4.0,536.8,5.0,3.0,623.8,4.0,3.0,714.7,4.0,3.0,3327.0
5.0,6.0,48.2,5.0,6.0,1076.0,5.0,6.0,866.1,5.0,6.0,518.4,4.0,6.0,638.7,4.0,5.0,2239.0
6.0,2.0,122.1,6.0,1.0,1100.0,6.0,1.0,930.4,6.0,1.0,1038.0,6.0,1.0,523.0,5.0,1.0,1194.0
6.0,3.0,151.3,6.0,3.0,2133.0,6.0,2.0,2222.0,6.0,2.0,1529.0,6.0,2.0,861.0,5.0,2.0,1645.0
6.0,4.0,168.3,6.0,4.0,2247.0,6.0,4.0,2239.0,6.0,3.0,2126.0,6.0,3.0,1395.0,5.0,3.0,2817.0
6.0,5.0,143.7,6.0,5.0,1881.0,6.0,5.0,1989.0,6.0,5.0,1109.0,6.0,4.0,1001.0,5.0,4.0,2157.0
