1,山崎 善庸,山崎 善庸.1,2,井上 遥妃,井上 遥妃.1,3,鈴木 峻佑,鈴木 峻佑.1,4,下河 雅史,下河 雅史.1,5,宗行 治哉,宗行 治哉.1,6,永田 啓二,永田 啓二.1
2.0,3.0,78.6,1.0,3.0,126.6,1.0,2.0,156.0,1.0,2.0,227.3,1.0,2.0,263.2,1.0,2.0,145.0
2.0,4.0,103.6,1.0,4.0,136.2,1.0,4.0,114.4,1.0,3.0,217.9,1.0,3.0,183.5,1.0,3.0,124.1
2.0,5.0,113.4,1.0,5.0,117.4,1.0,5.0,81.5,1.0,5.0,109.4,1.0,4.0,155.4,1.0,4.0,96.9
2.0,6.0,86.1,1.0,6.0,83.0,1.0,6.0,65.9,1.0,6.0,92.5,1.0,6.0,90.8,1.0,5.0,70.8
3.0,2.0,87.0,3.0,1.0,154.9,2.0,1.0,185.5,2.0,1.0,345.5,2.0,1.0,340.6,2.0,1.0,196.8
3.0,4.0,76.9,3.0,4.0,167.0,2.0,4.0,167.6,2.0,3.0,321.4,2.0,3.0,269.8,2.0,3.0,175.2
3.0,5.0,60.8,3.0,5.0,121.6,2.0,5.0,118.4,2.0,5.0,190.6,2.0,4.0,233.4,2.0,4.0,144.0
3.0,6.0,51.1,3.0,6.0,90.6,2.0,6.0,88.5,2.0,6.0,150.3,2.0,6.0,117.7,2.0,5.0,118.0
4.0,2.0,148.0,4.0,1.0,210.5,4.0,1.0,152.9,3.0,1.0,264.7,3.0,1.0,260.4,3.0,1.0,165.5
4.0,3.0,108.5,4.0,3.0,207.8,4.0,2.0,175.5,3.0,2.0,323.0,3.0,2.0,298.6,3.0,2.0,168.2
4.0,5.0,72.0,4.0,5.0,132.6,4.0,5.0,69.5,3.0,5.0,126.5,3.0,4.0,178.0,3.0,4.0,94.3
4.0,6.0,61.0,4.0,6.0,94.5,4.0,6.0,51.9,3.0,6.0,98.2,3.0,6.0,68.2,3.0,5.0,52.9
5.0,2.0,156.4,5.0,1.0,217.6,5.0,1.0,118.2,5.0,1.0,108.2,4.0,1.0,163.0,4.0,1.0,108.4
5.0,3.0,92.0,5.0,3.0,199.6,5.0,2.0,143.8,5.0,2.0,128.7,4.0,2.0,164.6,4.0,2.0,133.3
5.0,4.0,106.2,5.0,4.0,170.9,5.0,4.0,75.2,5.0,3.0,116.6,4.0,3.0,140.4,4.0,3.0,95.7
5.0,6.0,49.5,5.0,6.0,87.2,5.0,6.0,38.8,5.0,6.0,27.5,4.0,6.0,31.2,4.0,5.0,27.3
6.0,2.0,101.7,6.0,1.0,143.5,6.0,1.0,103.2,6.0,1.0,84.6,6.0,1.0,68.8,5.0,1.0,64.9
6.0,3.0,67.7,6.0,3.0,126.3,6.0,2.0,101.2,6.0,2.0,100.1,6.0,2.0,70.8,5.0,2.0,85.7
6.0,4.0,65.7,6.0,4.0,108.7,6.0,4.0,58.2,6.0,3.0,74.1,6.0,3.0,47.7,5.0,3.0,43.6
6.0,5.0,48.1,6.0,5.0,87.5,6.0,5.0,40.7,6.0,5.0,26.4,6.0,4.0,25.4,5.0,4.0,23.6
