1,桑原 啓,桑原 啓.1,2,吉本 玲緒,吉本 玲緒.1,3,吉永 泰弘,吉永 泰弘.1,4,白井 友晴,白井 友晴.1,5,小林 甘寧,小林 甘寧.1,6,柴田 大輔,柴田 大輔.1
2.0,3.0,43.3,1.0,3.0,179.1,1.0,2.0,115.9,1.0,2.0,71.7,1.0,2.0,689.5,1.0,2.0,91.5
2.0,4.0,42.6,1.0,4.0,166.3,1.0,4.0,37.7,1.0,3.0,29.3,1.0,3.0,652.6,1.0,3.0,53.1
2.0,5.0,168.6,1.0,5.0,605.7,1.0,5.0,335.2,1.0,5.0,151.8,1.0,4.0,565.1,1.0,4.0,36.6
2.0,6.0,73.2,1.0,6.0,256.7,1.0,6.0,46.1,1.0,6.0,20.9,1.0,6.0,505.2,1.0,5.0,130.3
3.0,2.0,34.5,3.0,1.0,262.3,2.0,1.0,197.9,2.0,1.0,163.4,2.0,1.0,1107.0,2.0,1.0,197.5
3.0,4.0,9.4,3.0,4.0,278.9,2.0,4.0,175.4,2.0,3.0,195.7,2.0,3.0,1589.0,2.0,3.0,297.1
3.0,5.0,135.0,3.0,5.0,1064.0,2.0,5.0,648.7,2.0,5.0,489.4,2.0,4.0,1501.0,2.0,4.0,186.4
3.0,6.0,19.0,3.0,6.0,415.3,2.0,6.0,256.7,2.0,6.0,142.7,2.0,6.0,1178.0,2.0,5.0,421.7
4.0,2.0,29.0,4.0,1.0,264.1,4.0,1.0,50.5,3.0,1.0,45.3,3.0,1.0,726.1,3.0,1.0,99.9
4.0,3.0,8.9,4.0,3.0,325.3,4.0,2.0,140.9,3.0,2.0,139.6,3.0,2.0,1423.0,3.0,2.0,245.8
4.0,5.0,99.1,4.0,5.0,836.9,4.0,5.0,384.7,3.0,5.0,304.5,3.0,4.0,978.9,3.0,4.0,91.6
4.0,6.0,11.5,4.0,6.0,278.9,4.0,6.0,48.5,3.0,6.0,49.0,3.0,6.0,1107.0,3.0,5.0,406.0
5.0,2.0,333.2,5.0,1.0,961.7,5.0,1.0,622.9,5.0,1.0,304.5,4.0,1.0,644.9,4.0,1.0,39.7
5.0,3.0,375.4,5.0,3.0,1191.0,5.0,2.0,1118.0,5.0,2.0,664.5,4.0,2.0,1154.0,4.0,2.0,98.4
5.0,4.0,290.8,5.0,4.0,1274.0,5.0,4.0,777.6,5.0,3.0,527.1,4.0,3.0,1044.0,4.0,3.0,59.6
5.0,6.0,317.8,5.0,6.0,1405.0,5.0,6.0,970.2,5.0,6.0,249.1,4.0,6.0,568.0,4.0,5.0,139.8
6.0,2.0,55.3,6.0,1.0,348.0,6.0,1.0,82.9,6.0,1.0,24.7,6.0,1.0,595.8,5.0,1.0,220.1
6.0,3.0,26.2,6.0,3.0,483.0,6.0,2.0,213.7,6.0,2.0,75.2,6.0,2.0,1005.0,5.0,2.0,404.5
6.0,4.0,18.1,6.0,4.0,364.2,6.0,4.0,72.8,6.0,3.0,37.6,6.0,3.0,884.2,5.0,3.0,365.4
6.0,5.0,103.8,6.0,5.0,996.7,6.0,5.0,512.3,6.0,5.0,102.0,6.0,4.0,609.1,5.0,4.0,245.8
